bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,4,NC,0,I1,3.057142857142857,
1,37,1,Eb,1,A1,3.5062131519274375,4/4
1,37,2,,1,,3.959002267573696,
1,37,3,C7,1,,4.377551020408164,
1,37,4,,1,,4.788820861678005,
2,37,1,F7,1,,5.211065759637188,
2,37,2,,1,,5.623446712018141,
2,37,3,Bb7,1,,6.065170068027211,
2,37,4,,1,,6.496190476190476,
3,37,1,Eb,1,,6.933582766439909,
3,37,2,,1,,7.365555555555556,
3,37,3,C7,1,,7.768208616780045,
3,37,4,,1,,8.199546485260772,
4,37,1,F7,1,,8.65233560090703,
4,37,2,,1,,9.09061224489796,
4,37,3,Bb7,1,,9.52530612244898,
4,37,4,,1,,9.942086167800454,
5,37,1,Eb,1,,10.34453514739229,
5,37,2,,1,,10.756031746031747,
5,38,3,,1,,11.194920634920635,
5,37,4,,1,,11.625374149659864,
6,37,1,,1,,12.051156462585034,
6,37,2,,1,,12.501043083900226,
6,37,3,C7,1,,12.935442176870747,
6,37,4,,1,,13.347845804988662,
7,37,1,F7,1,,13.766530612244898,
7,37,2,,1,,14.167324263038548,
7,48,3,,1,,14.585102040816327,
7,37,4,,1,,15.0162358276644,
8,37,1,Bb7,1,,15.467732426303854,
8,37,2,,1,,15.870090702947845,
8,37,3,,1,,16.317505668934242,
8,37,4,,1,,16.749410430839003,
9,37,1,Eb,1,B1,17.170544217687073,
9,37,2,,1,,17.582879818594105,
9,37,3,C7,1,,18.02045351473923,
9,37,4,,1,,18.427256235827663,
10,37,1,F7,1,,18.848639455782312,
10,37,2,,1,,19.276190476190475,
10,37,3,Bb7,1,,19.69843537414966,
10,37,4,,1,,20.095328798185943,
11,37,1,C-,1,,20.532902494331065,
11,37,2,,1,,20.964081632653063,
11,37,3,B-,1,,21.38591836734694,
11,37,4,Bb,1,,21.81800453514739,
12,37,1,A,1,,22.227301587301586,
12,37,2,,1,,22.632108843537416,
12,37,3,D7,1,,23.054172335600907,
12,37,4,,1,,23.476462585034014,
13,37,1,Eb,1,,23.87909297052154,
13,37,2,,1,,24.284943310657596,
13,37,3,C7,1,,24.697301587301588,
13,37,4,,1,,25.119614512471657,
14,37,1,F7,1,,25.547120181405894,
14,37,2,,1,,25.943219954648526,
14,37,3,Bb7,1,,26.35562358276644,
14,37,4,,1,,26.758344671201815,
15,37,1,Eb,1,,27.190249433106576,
15,37,2,,1,,27.60263038548753,
15,37,3,,1,,28.03374149659864,
15,37,4,,1,,28.44609977324263,
16,37,1,,1,,28.848503401360546,
16,37,2,,1,,29.27077097505669,
16,37,3,,1,,29.676712018140588,
16,37,4,,1,,30.09467120181406,
17,37,1,Eb,2,A1,30.54609977324263,
