bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,37,1,A-7,1,A1,6.969138321995465,4/4
1,37,2,,1,,7.495827664399093,
1,43,3,D7,1,,8.017120181405895,
1,52,4,,1,,8.528458049886622,
2,50,1,G,1,,9.058684807256236,
2,45,2,,1,,9.58984126984127,
2,42,3,E7,1,,10.115192743764172,
2,38,4,,1,,10.65249433106576,
3,47,1,A-7,1,,11.209024943310657,
3,42,2,,1,,11.755102040816327,
3,40,3,D7,1,,12.266485260770976,
3,47,4,,1,,12.807256235827664,
4,48,1,D-7,1,,13.318820861678004,
4,45,2,,1,,13.859410430839002,
4,50,3,G7,1,,14.399274376417234,
4,47,4,,1,,14.930430839002268,
5,43,1,C,1,,15.45297052154195,
5,47,2,,1,,15.981133786848073,
5,38,3,F7,1,,16.500566893424036,
5,43,4,,1,,17.012131519274377,
6,48,1,Bb,1,,17.52360544217687,
6,40,2,,1,,18.047709750566895,
6,43,3,Bb-7,1,,18.58108843537415,
6,45,4,Eb7,1,,19.101995464852607,
7,47,1,A-7,1,,19.632925170068027,
7,50,2,,1,,20.154172335600908,
7,47,3,D7,1,,20.662857142857142,
7,50,4,,1,,21.182290249433105,
8,45,1,G,1,,21.716462585034012,
8,47,2,,1,,22.250226757369614,
8,47,3,C,1,,22.761473922902493,
8,38,4,,1,,23.281632653061223,
9,42,1,A-7,1,A2,23.81358276643991,
9,43,2,,1,,24.324625850340137,
9,52,3,D7,1,,24.86097505668934,
9,45,4,,1,,25.396825396825395,
10,47,1,G,1,,25.938049886621314,
10,48,2,,1,,26.46909297052154,
10,49,3,E7,1,,26.985873015873015,
10,50,4,,1,,27.516689342403627,
11,47,1,A-7,1,,28.046802721088437,
11,42,2,,1,,28.560544217687074,
11,41,3,D7,1,,29.08541950113379,
11,40,4,,1,,29.602539682539682,
12,45,1,D-7,1,,30.12766439909297,
12,40,2,,1,,30.63922902494331,
12,39,3,G7,1,,31.1437641723356,
12,38,4,,1,,31.67705215419501,
13,43,1,Cj7,1,,32.220589569161,
13,47,2,,1,,32.738956916099774,
13,40,3,F7,1,,33.26566893424036,
13,38,4,,1,,33.77922902494331,
14,48,1,Bb,1,,34.32328798185941,
14,43,2,,1,,34.84154195011338,
14,45,3,Bb-7,1,,35.35818594104308,
14,42,4,Eb7,1,,35.89641723356009,
15,50,1,A-7,1,,36.4231746031746,
15,48,2,,1,,36.95417233560091,
15,47,3,D7,1,,37.477006802721085,
15,42,4,,1,,38.01170068027211,
16,45,1,G,1,,38.532766439909295,
16,38,2,,1,,39.044331065759636,
16,43,3,C,1,,39.57086167800453,
16,47,4,,1,,40.09210884353742,
17,48,1,D-7,1,B1,40.62308390022676,
17,43,2,,1,,41.12544217687075,
17,45,3,G7,1,,41.647891156462585,
17,38,4,,1,,42.16689342403628,
18,42,1,Cj7,1,,42.689886621315196,
18,51,2,,1,,43.19201814058957,
18,50,3,A7,1,,43.69705215419501,
18,47,4,,1,,44.228208616780044,
19,48,1,D-7,1,,44.75065759637188,
19,43,2,,1,,45.29052154195011,
19,40,3,G7,1,,45.80580498866213,
19,39,4,,1,,46.31689342403628,
20,39,1,Cj7,1,,46.84045351473923,
20,38,2,,1,,47.34839002267574,
20,37,3,,1,,47.88052154195012,
20,47,4,,1,,48.40698412698413,
21,48,1,C-7,1,,48.91829931972789,
21,43,2,,1,,49.47011337868481,
21,48,3,F7,1,,49.99526077097506,
21,44,4,,1,,50.52637188208617,
22,45,1,Bb,1,,51.04907029478458,
22,41,2,,1,,51.57151927437642,
22,42,3,,1,,52.09396825396826,
22,50,4,,1,,52.62195011337869,
23,52,1,A-7,1,,53.127755102040815,
23,48,2,,1,,53.63936507936508,
23,45,3,D7,1,,54.18555555555555,
23,43,4,,1,,54.69673469387755,
24,49,1,B-7,1,,55.23446712018141,
24,52,2,,1,,55.76401360544218,
24,50,3,E7,1,,56.29070294784581,
24,42,4,,1,,56.802517006802724,
25,38,1,A-7,1,A3,57.32716553287982,
25,38,2,,1,,57.87863945578231,
25,43,3,D7,1,,58.409795918367344,
25,52,4,,1,,58.938049886621314,
26,42,1,G,1,,59.448526077097505,
26,42,2,,1,,59.97931972789116,
26,50,3,E7,1,,60.4809977324263,
26,47,4,,1,,61.00222222222222,
27,47,1,A-,1,,61.53843537414966,
27,52,2,,1,,62.034467120181404,
27,47,3,D7,1,,62.570907029478455,
27,40,4,,1,,63.08238095238095,
28,42,1,D-7,1,,63.61342403628118,
28,45,2,,1,,64.12487528344671,
28,38,3,G7,1,,64.65124716553288,
28,42,4,,1,,65.17183673469388,
29,42,1,C,1,,65.71825396825396,
29,47,2,,1,,66.22410430839003,
29,38,3,F7,1,,66.74102040816327,
29,37,4,,1,,67.28170068027211,
30,48,1,Bb,1,,67.78315192743764,
30,48,2,,1,,68.2848299319728,
30,37,3,Bb-7,1,,68.82569160997733,
30,37,4,Eb7,1,,69.34249433106577,
31,38,1,A-7,1,,69.88333333333334,
31,38,2,,1,,70.4087074829932,
31,39,3,D7,1,,70.931179138322,
31,39,4,,1,,71.48714285714286,
32,40,1,G,1,,72.00802721088435,
32,40,2,,1,,72.49997732426304,
32,41,3,C,1,,73.03106575963719,
32,42,4,,1,,73.54244897959184,
33,43,1,NC,1,I1,74.06585034013605,
33,47,2,,1,,74.58925170068028,
33,40,3,,1,,75.12995464852608,
33,38,4,,1,,75.65662131519274,
