bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,Db7,1,A1,6.322834467120181,4/4
1,44,2,,1,,6.801337868480726,
1,42,3,,1,,7.280657596371882,
1,42,4,,1,,7.797324263038549,
2,41,1,Gb7,1,,8.304648526077097,
2,41,2,,1,,8.793628117913832,
2,40,3,,1,,9.287981859410431,
2,40,4,,1,,9.77092970521542,
3,39,1,Db7,1,,10.258979591836734,
3,41,2,,1,,10.748163265306122,
3,42,3,,1,,11.236462585034014,
3,43,4,,1,,11.733174603174604,
4,42,1,,1,,12.249750566893423,
4,41,2,,1,,12.747755102040816,
4,37,3,,1,,13.27251700680272,
4,50,4,,1,,13.788072562358277,
5,37,1,Gb7,1,,14.27702947845805,
5,47,2,,1,,14.765238095238095,
5,42,3,,1,,15.281678004535147,
5,44,4,,1,,15.752471655328797,
6,43,1,,1,,16.241632653061224,
6,42,2,,1,,16.748321995464853,
6,40,3,,1,,17.22673469387755,
6,45,4,,1,,17.734625850340137,
7,44,1,Db7,1,,18.223673469387755,
7,42,2,,1,,18.712108843537415,
7,44,3,,1,,19.21845804988662,
7,49,4,,1,,19.697074829931974,
8,48,1,,1,,20.213968253968254,
8,42,2,,1,,20.721655328798185,
8,41,3,Bb7,1,,21.21,
8,42,4,,1,,21.706961451247164,
9,37,1,Eb-7,1,,22.205850340136056,
9,48,2,,1,,22.722244897959182,
9,37,3,,1,,23.218798185941043,
9,50,4,,1,,23.707142857142856,
10,38,1,Ab79,1,,24.20591836734694,
10,41,2,,1,,24.684331065759636,
10,40,3,,1,,25.17249433106576,
10,33,4,,1,,25.671473922902493,
11,44,1,Db7,1,,26.149909297052154,
11,40,2,,1,,26.639138321995464,
11,41,3,,1,,27.144761904761904,
11,42,4,,1,,27.605963718820863,
12,42,1,Ab7,1,,28.104875283446713,
12,44,2,,1,,28.593038548752833,
12,37,3,,1,,29.099727891156462,
12,33,4,,1,,29.55090702947846,
13,44,1,Db7,2,A1,30.03154195011338,
13,42,2,,2,,30.53827664399093,
13,41,3,,2,,31.036462585034013,
13,40,4,,2,,31.506009070294784,
14,51,1,Gb7,2,,32.00403628117914,
14,40,2,,2,,32.483378684807256,
14,41,3,,2,,32.99122448979592,
14,43,4,,2,,33.50748299319728,
15,44,1,Db7,2,,34.023877551020405,
15,48,2,,2,,34.499047619047616,
15,37,3,,2,,35.015691609977324,
15,50,4,,2,,35.542857142857144,
16,38,1,,2,,36.03192743764173,
16,47,2,,2,,36.52015873015873,
16,45,3,,2,,37.01886621315193,
16,37,4,,2,,37.534399092970524,
17,37,1,Gb7,2,,38.013673469387754,
17,40,2,,2,,38.53011337868481,
17,41,3,,2,,39.01063492063492,
17,42,4,,2,,39.50659863945578,
18,44,1,,2,,40.01337868480726,
18,37,2,,2,,40.48408163265306,
18,50,3,,2,,40.99081632653061,
18,50,4,,2,,41.499478458049886,
19,51,1,Db7,2,,41.987755102040815,
19,38,2,,2,,42.49426303854875,
19,48,3,,2,,42.9553514739229,
19,37,4,,2,,43.443492063492066,
20,47,1,,2,,43.940226757369615,
20,40,2,,2,,44.4208843537415,
20,47,3,Bb7,2,,44.927392290249436,
20,43,4,,2,,45.41578231292517,
21,42,1,Eb-7,2,,45.91467120181406,
21,41,2,,2,,46.40283446712018,
21,40,3,,2,,46.937709750566896,
21,41,4,,2,,47.435759637188205,
22,40,1,Ab79,2,,47.93244897959184,
22,45,2,,2,,48.439024943310656,
22,51,3,,2,,48.93709750566894,
22,45,4,,2,,49.435102040816325,
23,44,1,Db7,2,,49.92433106575964,
23,43,2,,2,,50.43054421768707,
23,42,3,,2,,50.937233560090704,
23,47,4,,2,,51.4352380952381,
24,47,1,Ab7,2,,51.91471655328798,
24,47,2,,2,,52.402902494331066,
24,47,3,,2,,52.90174603174603,
24,51,4,,2,,53.41739229024943,
25,44,1,Db7,3,A1,53.914036281179136,
25,51,2,,3,,54.38478458049887,
25,41,3,,3,,54.90102040816326,
25,43,4,,3,,55.39020408163265,
26,49,1,Gb7,3,,55.89691609977324,
26,44,2,,3,,56.412290249433106,
26,51,3,,3,,56.91138321995465,
26,43,4,,3,,57.40938775510204,
27,44,1,Db7,3,,57.88879818594104,
27,51,2,,3,,58.37698412698413,
27,43,3,,3,,58.86528344671202,
27,44,4,,3,,59.37167800453515,
28,47,1,,3,,59.87814058956916,
28,48,2,,3,,60.35875283446712,
28,47,3,,3,,60.85548752834467,
28,50,4,,3,,61.35356009070295,
29,37,1,Gb7,3,,61.852766439909296,
29,48,2,,3,,62.34108843537415,
29,37,3,,3,,62.85605442176871,
29,50,4,,3,,63.354126984126985,
30,37,1,,3,,63.8607029478458,
30,48,2,,3,,64.34884353741496,
30,49,3,,3,,64.84777777777778,
30,43,4,,3,,65.31877551020408,
31,44,1,Db7,3,,65.78743764172336,
31,51,2,,3,,66.30380952380952,
31,47,3,,3,,66.80961451247165,
31,40,4,,3,,67.33643990929706,
32,48,1,,3,,67.84424036281179,
32,42,2,,3,,68.35083900226758,
32,41,3,Bb7,3,,68.82936507936508,
32,41,4,,3,,69.31843537414966,
33,34,1,Eb-7,3,,69.79698412698413,
33,44,2,,3,,70.29591836734694,
33,43,3,,3,,70.79396825396826,
33,38,4,,3,,71.27242630385487,
34,43,1,Ab79,3,,71.77140589569161,
34,42,2,,3,,72.27809523809523,
34,40,3,,3,,72.76628117913832,
34,45,4,,3,,73.2728798185941,
35,44,1,Db7,3,,73.76115646258503,
35,48,2,,3,,74.26009070294785,
35,42,3,,3,,74.72879818594105,
35,47,4,,3,,75.22761904761904,
36,47,1,Ab7,3,,75.70616780045351,
36,41,2,,3,,76.20424036281179,
36,52,3,,3,,76.69349206349206,
36,45,4,,3,,77.20002267573696,
37,44,1,Db7,4,A1,77.682358276644,
