bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,49,1,Fsus7913,1,A1,2.284263038548753,4/4
1,47,2,NC,1,,2.4961451247165534,
1,40,3,,1,,2.6964172335600907,
1,50,4,,1,,2.8879818594104307,
2,50,1,,1,,3.0870521541950113,
2,50,2,,1,,3.291451247165533,
2,48,3,,1,,3.4896145124716553,
2,48,4,,1,,3.708253968253968,
3,43,1,,1,,3.911768707482993,
3,43,2,,1,,4.126099773242631,
3,47,3,,1,,4.333968253968254,
3,50,4,,1,,4.536598639455782,
4,38,1,Gbsus7913,1,,4.74609977324263,
4,42,2,,1,,4.960702947845805,
4,42,3,,1,,5.149024943310658,
4,50,4,,1,,5.337732426303855,
5,50,1,Fsus7913,1,,5.535963718820861,
5,38,2,,1,,5.724308390022676,
5,37,3,,1,,5.939002267573696,
5,50,4,,1,,6.136666666666667,
6,50,1,,1,,6.354965986394558,
6,49,2,,1,,6.54936507936508,
6,42,3,,1,,6.767641723356009,
6,42,4,,1,,6.971746031746032,
7,48,1,F7,1,,7.179773242630385,
7,48,2,,1,,7.384308390022675,
7,42,3,Eb7,1,,7.592131519274377,
7,50,4,,1,,7.7963265306122445,
8,50,1,D79,1,,7.99469387755102,
8,40,2,,1,,8.209002267573696,
8,48,3,,1,,8.396780045351473,
8,37,4,,1,,8.605759637188209,
9,47,1,Ebj7911#,1,,8.803718820861677,
9,42,2,,1,,9.008004535147393,
9,47,3,,1,,9.207074829931972,
9,50,4,,1,,9.404897959183673,
10,45,1,,1,,9.603696145124717,
10,40,2,,1,,9.807891156462585,
10,45,3,,1,,10.006031746031747,
10,50,4,,1,,10.2102947845805,
11,47,1,,1,,10.418208616780046,
11,50,2,,1,,10.607029478458049,
11,50,3,,1,,10.81469387755102,
11,47,4,,1,,11.017868480725623,
12,50,1,,1,,11.207981859410431,
12,45,2,,1,,11.416621315192744,
12,50,3,,1,,11.620816326530612,
12,37,4,,1,,11.828888888888889,
13,49,1,Fsus7913,2,A1,12.032925170068028,
13,37,2,,2,,12.225306122448979,
13,37,3,,2,,12.420181405895692,
13,49,4,,2,,12.63358276643991,
14,48,1,,2,,12.84235827664399,
14,37,2,,2,,13.046621315192743,
14,37,3,,2,,13.254308390022675,
14,37,4,,2,,13.458321995464853,
15,37,1,,2,,13.667278911564626,
15,38,2,,2,,13.871020408163265,
15,37,3,,2,,14.085804988662131,
15,37,4,,2,,14.300589569160998,
16,50,1,Gbsus7913,2,,14.500725623582767,
16,50,2,,2,,14.699523809523809,
16,43,3,,2,,14.898571428571428,
16,50,4,,2,,15.102131519274376,
17,51,1,Fsus7913,2,,15.300975056689342,
17,50,2,,2,,15.502222222222223,
17,43,3,,2,,15.69358276643991,
17,50,4,,2,,15.891587301587302,
18,50,1,,2,,16.09092970521542,
18,43,2,,2,,16.28918367346939,
18,38,3,,2,,16.489795918367346,
18,37,4,,2,,16.681609977324264,
19,43,1,F7,2,,16.880498866213152,
19,38,2,,2,,17.083764172335602,
19,37,3,Eb7,2,,17.28235827664399,
19,50,4,,2,,17.491133786848074,
20,50,1,D79,2,,17.705396825396825,
20,37,2,,2,,17.913673469387756,
20,37,3,,2,,18.117142857142856,
20,49,4,,2,,18.326077097505667,
21,49,1,Ebj7911#,2,,18.529410430839004,
21,50,2,,2,,18.728072562358278,
21,37,3,,2,,18.9421768707483,
21,51,4,,2,,19.13013605442177,
22,50,1,,2,,19.34888888888889,
22,45,2,,2,,19.542766439909297,
22,50,3,,2,,19.73190476190476,
22,50,4,,2,,19.950068027210886,
23,43,1,,2,,20.153832199546486,
23,43,2,,2,,20.352448979591838,
23,45,3,,2,,20.566621315192744,
23,45,4,,2,,20.774308390022675,
24,50,1,,2,,20.98845804988662,
24,45,2,,2,,21.186258503401362,
24,50,3,,2,,21.395215419501135,
24,50,4,,2,,21.598684807256237,
25,45,1,Fsus7913,3,A1,21.80736961451247,
25,37,2,,3,,22.011065759637187,
25,47,3,,3,,22.219637188208615,
25,40,4,,3,,22.407868480725625,
26,38,1,,3,,22.622176870748298,
26,40,2,,3,,22.829954648526076,
26,40,3,,3,,23.044104308390022,
26,40,4,,3,,23.25292517006803,
27,40,1,,3,,23.456326530612245,
27,40,2,,3,,23.665034013605442,
27,38,3,,3,,23.859546485260772,
27,40,4,,3,,24.06718820861678,
28,40,1,Gbsus7913,3,,24.256303854875284,
28,40,2,,3,,24.457142857142856,
28,40,3,,3,,24.668185941043085,
28,40,4,,3,,24.877074829931974,
29,47,1,Fsus7913,3,,25.080544217687073,
29,47,2,,3,,25.27956916099773,
29,37,3,,3,,25.492789115646257,
29,49,4,,3,,25.70140589569161,
30,48,1,,3,,25.898956916099774,
30,50,2,,3,,26.1137641723356,
30,37,3,,3,,26.312448979591835,
30,37,4,,3,,26.515918367346938,
31,48,1,F7,3,,26.715079365079365,
31,50,2,,3,,26.922607709750565,
31,50,3,Eb7,3,,27.117278911564625,
31,38,4,,3,,27.320408163265306,
32,50,1,D79,3,,27.53061224489796,
32,45,2,,3,,27.744897959183675,
32,47,3,,3,,27.96142857142857,
32,50,4,,3,,28.160068027210883,
33,50,1,Ebj7911#,3,,28.348390022675737,
33,50,2,,3,,28.54716553287982,
33,50,3,,3,,28.75077097505669,
33,51,4,,3,,28.959251700680273,
34,50,1,,3,,29.153968253968255,
34,50,2,,3,,29.352290249433107,
34,50,3,,3,,29.550249433106575,
34,50,4,,3,,29.759092970521543,
35,48,1,,3,,29.95301587301587,
35,40,2,,3,,30.1615873015873,
35,45,3,,3,,30.35,
35,50,4,,3,,30.554353741496598,
36,50,1,,3,,30.761904761904763,
36,45,2,,3,,30.976145124716552,
36,37,3,,3,,31.18455782312925,
36,50,4,,3,,31.382789115646258,
37,49,1,Fsus7913,4,A1,31.577165532879818,
37,48,2,,4,,31.785918367346937,
37,37,3,,4,,31.989274376417235,
37,48,4,,4,,32.197868480725624,
38,37,1,,4,,32.41208616780045,
38,48,2,,4,,32.61031746031746,
38,37,3,,4,,32.8244671201814,
38,49,4,,4,,33.022290249433105,
39,37,1,,4,,33.231043083900225,
39,48,2,,4,,33.42972789115646,
39,37,3,,4,,33.62353741496599,
39,37,4,,4,,33.83201814058957,
40,48,1,Gbsus7913,4,,34.0362358276644,
40,48,2,,4,,34.23446712018141,
40,48,3,,4,,34.44820861678004,
40,37,4,,4,,34.64702947845805,
