bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,45,1,Dm7b5,0,I1,3.2,
0,42,2,,0,,3.5903854875283447,
0,48,3,G+7,0,,3.9938775510204083,
0,50,4,,0,,4.408163265306122,
1,45,1,Dm7b5,1,A1,4.8,4/4
1,48,2,,1,,5.163265306122449,
1,51,3,,1,,5.548979591836734,
1,37,4,,1,,5.930612244897959,
2,42,1,G+7,1,,6.298412698412698,
2,42,2,,1,,6.678639455782313,
2,42,3,,1,,7.061224489795919,
2,37,4,,1,,7.420408163265306,
3,51,1,Abj7,1,,7.812244897959184,
3,43,2,,1,,8.206122448979592,
3,49,3,Gbj7,1,,8.585714285714285,
3,41,4,,1,,8.981632653061224,
4,47,1,E-7,1,,9.373469387755103,
4,42,2,,1,,9.76734693877551,
4,40,3,A7,1,,10.157142857142857,
4,40,4,,1,,10.544897959183674,
5,38,1,F-7,1,,10.922448979591836,
5,42,2,,1,,11.289795918367346,
5,50,3,Bb7,1,,11.693877551020408,
5,47,4,,1,,12.091836734693878,
6,48,1,Ebj7,1,,12.465306122448979,
6,37,2,,1,,12.822448979591837,
6,45,3,Dm7b5,1,,13.206122448979592,
6,42,4,G7,1,,13.614285714285714,
7,42,1,C-7,1,,14.012244897959183,
7,37,2,,1,,14.381632653061224,
7,50,3,C-7/Bb,1,,14.771428571428572,
7,50,4,,1,,15.159183673469387,
8,51,1,Ab-7,1,,15.520408163265307,
8,42,2,,1,,15.924489795918367,
8,44,3,Db7,1,,16.30204081632653,
8,50,4,,1,,16.70408163265306,
9,50,1,G+7,1,,17.10612244897959,
9,50,2,,1,,17.510204081632654,
9,49,3,Gb7,1,,17.8734693877551,
9,49,4,,1,,18.238775510204082,
10,48,1,F7,1,,18.63877551020408,
10,48,2,,1,,19.026530612244898,
10,50,3,,1,,19.43265306122449,
10,48,4,,1,,19.818367346938775,
11,47,1,Ej7,1,,20.19795918367347,
11,47,2,,1,,20.591836734693878,
11,47,3,,1,,20.953061224489797,
11,47,4,,1,,21.33061224489796,
12,38,1,F-7,1,,21.742857142857144,
12,38,2,,1,,22.132653061224488,
12,41,3,Bb+7,1,,22.516326530612243,
12,38,4,,1,,22.881632653061224,
13,37,1,Ebj7,1,,23.271428571428572,
13,50,2,,1,,23.65918367346939,
13,50,3,,1,,24.051020408163264,
13,34,4,,1,,24.43877551020408,
14,45,1,Dm7b5,1,,24.824489795918367,
14,43,2,,1,,25.23469387755102,
14,42,3,G+7,1,,25.6,
14,50,4,,1,,25.97142857142857,
15,38,1,Dm7b5,2,A1,26.353061224489796,
15,44,2,,2,,26.726530612244897,
15,45,3,,2,,27.124489795918368,
15,50,4,,2,,27.510204081632654,
16,42,1,G+7,2,,27.916326530612245,
16,38,2,,2,,28.291836734693877,
16,48,3,,2,,28.691836734693876,
16,42,4,,2,,29.069387755102042,
17,51,1,Abj7,2,,29.457142857142856,
17,51,2,,2,,29.848979591836734,
17,49,3,Gbj7,2,,30.23673469387755,
17,43,4,,2,,30.64081632653061,
18,47,1,E-7,2,,31.042857142857144,
18,42,2,,2,,31.420408163265307,
18,37,3,A7,2,,31.783673469387754,
18,40,4,,2,,32.173469387755105,
19,48,1,F-7,2,,32.57551020408163,
19,51,2,,2,,32.953061224489794,
19,41,3,Bb7,2,,33.340816326530614,
19,47,4,,2,,33.734693877551024,
20,47,1,Ebj7,2,,34.14489795918367,
20,42,2,,2,,34.522448979591836,
20,45,3,Dm7b5,2,,34.92857142857143,
20,48,4,G7,2,,35.340816326530614,
21,44,1,C-7,2,,35.72244897959184,
21,45,2,,2,,36.11020408163265,
21,34,3,C-7/Bb,2,,36.50204081632653,
21,50,4,,2,,36.8795918367347,
22,51,1,Ab-7,2,,37.2469387755102,
22,42,2,,2,,37.64489795918367,
22,37,3,Db7,2,,38.01428571428571,
22,50,4,,2,,38.39795918367347,
23,50,1,G+7,2,,38.80612244897959,
23,49,2,,2,,39.19387755102041,
23,49,3,Gb7,2,,39.57959183673469,
23,48,4,,2,,39.97959183673469,
24,48,1,F7,2,,40.36326530612245,
24,48,2,,2,,40.755102040816325,
24,48,3,,2,,41.142857142857146,
24,47,4,,2,,41.53877551020408,
25,47,1,Ej7,2,,41.946938775510205,
25,47,2,,2,,42.33877551020408,
25,47,3,,2,,42.73061224489796,
25,47,4,,2,,43.11020408163265,
26,48,1,F-7,2,,43.51020408163265,
26,43,2,,2,,43.885714285714286,
26,50,3,Bb+7,2,,44.285714285714285,
26,45,4,,2,,44.66938775510204,
27,34,1,Ebj7,2,,45.077551020408166,
27,42,2,,2,,45.457142857142856,
27,50,3,,2,,45.84344671201814,
27,47,4,,2,,46.21786848072562,
28,45,1,Dm7b5,2,,46.61224489795919,
28,38,2,,2,,47.00408163265306,
28,37,3,G+7,2,,47.391836734693875,
28,48,4,,2,,47.775510204081634,
29,42,1,Dm7b5,3,A1,48.142857142857146,
