bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,48,1,F7,1,A1,0.45714285714285713,4/4
1,40,2,,1,,0.9462131519274376,
1,45,3,,1,,1.4036281179138321,
1,43,4,,1,,1.8452607709750566,
2,41,1,Bb7,1,,2.329387755102041,
2,48,2,,1,,2.796031746031746,
2,45,3,,1,,3.2716326530612245,
2,44,4,,1,,3.7382993197278913,
3,43,1,F7,1,,4.195442176870748,
3,45,2,,1,,4.68172335600907,
3,34,3,,1,,5.169342403628118,
3,50,4,,1,,5.6540589569161,
4,48,1,F7,1,,6.132267573696145,
4,37,2,,1,,6.598888888888889,
4,48,3,,1,,7.059297052154195,
4,42,4,,1,,7.531587301587302,
5,41,1,Bb7,1,,7.988548752834467,
5,48,2,,1,,8.449886621315192,
5,43,3,,1,,8.906848072562358,
5,42,4,,1,,9.39859410430839,
6,41,1,Bb7,1,,9.862675736961451,
6,50,2,,1,,10.338684807256236,
6,50,3,,1,,10.798049886621316,
6,49,4,,1,,11.284240362811792,
7,48,1,F7,1,,11.728979591836735,
7,43,2,,1,,12.198049886621316,
7,48,3,,1,,12.674807256235828,
7,47,4,,1,,13.131768707482994,
8,34,1,A-7,1,,13.57798185941043,
8,40,2,,1,,14.05467120181406,
8,39,3,D7,1,,14.531224489795918,
8,37,4,,1,,14.988208616780046,
9,42,1,G-7,1,,15.425487528344672,
9,45,2,,1,,15.892312925170067,
9,43,3,,1,,16.36888888888889,
9,50,4,,1,,16.86079365079365,
10,43,1,C7,1,,17.30160997732426,
10,43,2,,1,,17.768185941043082,
10,43,3,,1,,18.22766439909297,
10,43,4,,1,,18.701678004535147,
11,44,1,F7,1,,19.158730158730158,
11,44,2,,1,,19.625532879818593,
11,44,3,,1,,20.06784580498866,
11,45,4,,1,,20.51344671201814,
12,50,1,G-7,1,,20.960566893424037,
12,44,2,,1,,21.42750566893424,
12,43,3,C7,1,,21.869251700680273,
12,47,4,,1,,22.326213151927437,
13,48,1,F7,2,A1,22.79206349206349,
13,48,2,,2,,23.283809523809524,
13,40,3,,2,,23.76034013605442,
13,42,4,,2,,24.192244897959185,
14,41,1,Bb7,2,,24.64920634920635,
14,47,2,,2,,25.11607709750567,
14,42,3,,2,,25.592585034013606,
14,47,4,,2,,26.04698412698413,
15,48,1,F7,2,,26.486031746031745,
15,34,2,,2,,26.972426303854874,
15,45,3,,2,,27.464195011337868,
15,44,4,,2,,27.93111111111111,
16,43,1,F7,2,,28.38795918367347,
16,50,2,,2,,28.84498866213152,
16,44,3,,2,,29.331360544217688,
16,42,4,,2,,29.779591836734692,
17,41,1,Bb7,2,,30.229160997732425,
17,48,2,,2,,30.66655328798186,
17,42,3,,2,,31.143083900226756,
17,43,4,,2,,31.60984126984127,
18,41,1,Bb7,2,,32.08648526077098,
18,48,2,,2,,32.53267573696145,
18,47,3,,2,,32.9895918367347,
18,50,4,,2,,33.45918367346939,
19,48,1,F7,2,,33.948095238095235,
19,43,2,,2,,34.38988662131519,
19,42,3,,2,,34.85684807256236,
