bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,1,NC,0,I1,2.306122448979592,
0,42,2,,0,,2.6612244897959183,
0,37,3,,0,,3.016326530612245,
0,37,4,,0,,3.3714285714285714,
1,37,1,Ab,1,A1,3.726530612244898,4/4
1,37,2,,1,,4.080861678004535,
1,37,3,,1,,4.446281179138322,
1,37,4,,1,,4.7903401360544215,
2,37,1,,1,,5.103492063492063,
2,37,2,,1,,5.423197278911565,
2,37,3,Abo,1,,5.783854875283446,
2,40,4,,1,,6.095850340136054,
3,42,1,Eb7,1,,6.403537414965986,
3,38,2,,1,,6.732925170068027,
3,37,3,,1,,7.045238095238095,
3,37,4,,1,,7.366258503401361,
4,37,1,,1,,7.70328798185941,
4,37,2,,1,,8.022789115646258,
4,37,3,,1,,8.337482993197279,
4,37,4,,1,,8.65546485260771,
5,37,1,Ab,1,,8.998616780045351,
5,37,2,,1,,9.315736961451247,
5,37,3,,1,,9.622925170068028,
5,37,4,,1,,9.94312925170068,
6,37,1,,1,,10.272743764172336,
6,37,2,,1,,10.581133786848072,
6,37,3,,1,,10.905034013605443,
6,37,4,,1,,11.207369614512471,
7,37,1,Bb7,1,,11.541451247165533,
7,37,2,,1,,11.87780045351474,
7,37,3,,1,,12.21,
7,42,4,,1,,12.551836734693877,
8,37,1,Eb7,1,,12.884625850340136,
8,42,2,,1,,13.196893424036281,
8,37,3,,1,,13.49517006802721,
8,38,4,,1,,13.820544217687075,
9,37,1,Ab,1,,14.148231292517007,
9,37,2,,1,,14.470566893424037,
9,37,3,,1,,14.800249433106575,
9,37,4,,1,,15.123219954648526,
10,37,1,,1,,15.432766439909297,
10,37,2,,1,,15.731360544217686,
10,37,3,,1,,16.05854875283447,
10,37,4,,1,,16.377596371882085,
11,38,1,F7,1,,16.707755102040817,
11,38,2,,1,,17.046507936507936,
11,37,3,,1,,17.349727891156462,
11,38,4,,1,,17.67124716553288,
12,38,1,Bb-,1,,17.985963718820862,
12,38,2,,1,,18.29875283446712,
12,37,3,,1,,18.60344671201814,
12,38,4,,1,,18.916961451247165,
13,37,1,Bb7,1,,19.24140589569161,
13,37,2,,1,,19.577301587301587,
13,37,3,Eb7,1,,19.904603174603174,
13,37,4,,1,,20.227392290249433,
14,37,1,Ab,1,,20.534285714285716,
14,37,2,,1,,20.86596371882086,
14,40,3,,1,,21.20015873015873,
14,38,4,,1,,21.541587301587303,
