bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,50,1,NC,0,I1,2.525124716553288,
-1,50,2,,0,,2.803673469387755,
-1,38,3,,0,,3.0667120181405894,
-1,38,4,,0,,3.3505442176870748,
0,42,1,,0,,3.628344671201814,
0,42,2,,0,,3.8912925170068027,
0,50,3,,0,,4.158775510204082,
0,44,4,,0,,4.437392290249433,
1,37,1,Gj7,1,A1,4.705260770975057,4/4
1,42,2,,1,,4.973832199546485,
1,50,3,,1,,5.262358276643991,
1,50,4,,1,,5.5495011337868485,
2,50,1,G6,1,,5.83766439909297,
2,50,2,,1,,6.116009070294784,
2,50,3,,1,,6.40328798185941,
2,50,4,,1,,6.681678004535147,
3,38,1,Gj7,1,,6.960022675736962,
3,51,2,,1,,7.247573696145125,
3,50,3,,1,,7.516145124716553,
3,50,4,,1,,7.809092970521542,
4,50,1,G6,1,,8.087324263038548,
4,50,2,,1,,8.350385487528344,
4,50,3,,1,,8.61875283446712,
4,50,4,,1,,8.896485260770975,
5,43,1,G-7,1,,9.175056689342403,
5,38,2,,1,,9.443401360544218,
5,47,3,,1,,9.740612244897958,
5,50,4,,1,,10.018956916099773,
6,50,1,G-6,1,,10.307142857142857,
6,50,2,,1,,10.599977324263039,
6,50,3,,1,,10.875646258503401,
6,50,4,,1,,11.148480725623584,
7,50,1,G-7,1,,11.42421768707483,
7,50,2,,1,,11.694149659863946,
7,41,3,,1,,11.961179138321995,
7,50,4,,1,,12.225306122448979,
8,50,1,G-6,1,,12.521632653061225,
8,50,2,,1,,12.800181405895692,
8,45,3,,1,,13.087482993197279,
8,43,4,,1,,13.365487528344671,
9,38,1,Am7b5,1,,13.643990929705215,
9,50,2,,1,,13.937505668934241,
9,48,3,,1,,14.234920634920634,
9,47,4,,1,,14.52328798185941,
10,45,1,D7,1,,14.79061224489796,
10,37,2,,1,,15.059138321995464,
10,37,3,,1,,15.338049886621315,
10,45,4,,1,,15.60015873015873,
11,48,1,Bm7b5,1,,15.883809523809523,
11,42,2,,1,,16.16176870748299,
11,50,3,,1,,16.450204081632652,
11,48,4,,1,,16.72798185941043,
12,47,1,E7,1,,17.02589569160998,
12,50,2,,1,,17.304036281179137,
12,51,3,,1,,17.5821768707483,
12,47,4,,1,,17.860408163265305,
13,51,1,A-7,1,,18.13764172335601,
13,50,2,,1,,18.415986394557823,
13,50,3,,1,,18.694285714285716,
13,44,4,,1,,18.98249433106576,
14,42,1,D7,1,,19.27578231292517,
14,45,2,,1,,19.563786848072564,
14,47,3,,1,,19.84106575963719,
14,37,4,,1,,20.119773242630387,
15,50,1,G,1,,20.397959183673468,
15,50,2,,1,,20.69532879818594,
15,42,3,,1,,20.973061224489797,
15,50,4,,1,,21.26145124716553,
16,42,1,G79b,1,,21.539659863945577,
16,45,2,,1,,21.80739229024943,
16,50,3,,1,,22.07625850340136,
16,50,4,,1,,22.354421768707482,
17,47,1,C-7,1,B1,22.631972789115647,
