bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,41,1,Bbj7,1,A1,2.7689795918367346,4/4
1,43,2,,1,,2.9681972789115645,
1,45,3,,1,,3.1674149659863944,
1,43,4,,1,,3.369421768707483,
2,44,1,,1,,3.5714285714285716,
2,42,2,,1,,3.7741609977324266,
2,47,3,,1,,3.976893424036281,
2,50,4,,1,,4.178242630385487,
3,47,1,F-7,1,,4.3795918367346935,
3,50,2,,1,,4.577551020408164,
3,51,3,,1,,4.775510204081633,
3,50,4,,1,,4.971961451247166,
4,40,1,Bb7,1,,5.168412698412698,
4,44,2,,1,,5.373503401360544,
4,44,3,,1,,5.57859410430839,
4,41,4,,1,,5.785873015873015,
5,44,1,Ebj7,1,,5.9931519274376415,
5,38,2,,1,,6.191281179138322,
5,43,3,,1,,6.3894104308390025,
5,41,4,,1,,6.583049886621316,
6,50,1,,1,,6.776689342403628,
6,50,2,,1,,6.967936507936508,
6,47,3,,1,,7.159183673469387,
6,50,4,,1,,7.353560090702947,
7,51,1,C-7,1,,7.547936507936508,
7,51,2,,1,,7.738775510204082,
7,43,3,,1,,7.929614512471655,
7,44,4,,1,,8.123015873015873,
8,44,1,F7,1,,8.31641723356009,
8,43,2,,1,,8.51986394557823,
8,51,3,,1,,8.723310657596372,
8,38,4,,1,,8.929104308390023,
9,42,1,Bbj7,1,,9.134897959183673,
9,42,2,,1,,9.331303854875284,
9,42,3,,1,,9.527709750566894,
9,43,4,,1,,9.726167800453515,
10,43,1,,1,,9.924625850340137,
10,43,2,,1,,10.130873015873016,
10,40,3,,1,,10.337120181405895,
10,50,4,,1,,10.537936507936507,
11,50,1,C7,1,,10.738752834467121,
11,50,2,,1,,10.94498866213152,
11,50,3,,1,,11.151224489795919,
11,44,4,,1,,11.344863945578231,
12,43,1,,1,,11.538503401360543,
12,40,2,,1,,11.731632653061224,
12,38,3,,1,,11.924761904761905,
12,40,4,,1,,12.12608843537415,
13,43,1,C-7,1,,12.327414965986394,
13,43,2,,1,,12.528684807256235,
13,44,3,,1,,12.729954648526077,
13,44,4,,1,,12.928526077097505,
14,43,1,Dm7b5,1,,13.127097505668933,
14,43,2,,1,,13.323049886621316,
14,38,3,G7,1,,13.519002267573697,
14,50,4,,1,,13.730090702947846,
15,47,1,C-7,1,,13.941179138321996,
15,50,2,,1,,14.144648526077098,
15,51,3,,1,,14.3481179138322,
15,43,4,,1,,14.554308390022676,
16,38,1,F+7,1,,14.760498866213151,
16,43,2,,1,,14.951507936507937,
16,43,3,,1,,15.142517006802722,
16,42,4,,1,,15.345975056689344,
17,44,1,Bbj7,1,A2,15.549433106575965,
17,44,2,,1,,15.745804988662133,
17,44,3,,1,,15.9421768707483,
17,50,4,,1,,16.153219954648527,
18,43,1,,1,,16.364263038548753,
18,43,2,,1,,16.563083900226758,
18,44,3,,1,,16.761904761904763,
18,43,4,,1,,16.962573696145125,
19,42,1,F-7,1,,17.163242630385486,
19,43,2,,1,,17.374331065759637,
19,44,3,,1,,17.58541950113379,
19,44,4,,1,,17.790442176870748,
20,44,1,Bb7,1,,17.99546485260771,
20,43,2,,1,,18.202585034013605,
20,38,3,,1,,18.4097052154195,
20,40,4,,1,,18.61549886621315,
21,43,1,Ebj7,1,,18.821292517006803,
21,42,2,,1,,19.02755102040816,
21,51,3,,1,,19.233809523809523,
21,40,4,,1,,19.439965986394558,
22,43,1,,1,,19.646122448979593,
22,42,2,,1,,19.849399092970522,
22,40,3,,1,,20.05267573696145,
22,50,4,,1,,20.254024943310657,
23,34,1,Eb-7,1,,20.455374149659864,
23,42,2,,1,,20.6562358276644,
23,34,3,,1,,20.857097505668936,
23,42,4,,1,,21.055668934240366,
24,45,1,Ab7,1,,21.254240362811792,
24,42,2,,1,,21.447857142857146,
24,51,3,,1,,21.641473922902495,
24,52,4,,1,,21.847687074829935,
25,43,1,Bbj7,1,,22.05390022675737,
25,40,2,,1,,22.260011337868484,
25,44,3,,1,,22.466122448979593,
25,43,4,,1,,22.666995464852608,
26,41,1,,1,,22.867868480725623,
26,44,2,,1,,23.06908163265306,
26,50,3,,1,,23.2702947845805,
26,44,4,,1,,23.469841269841268,
27,43,1,C7,1,,23.66938775510204,
27,50,2,,1,,23.869637188208614,
27,50,3,,1,,24.06988662131519,
27,50,4,,1,,24.27613378684807,
28,50,1,,1,,24.482380952380954,
28,50,2,,1,,24.679965986394556,
28,50,3,,1,,24.877551020408163,
28,50,4,,1,,25.079591836734693,
29,50,1,C-7,1,,25.281632653061223,
29,50,2,,1,,25.487755102040815,
29,50,3,,1,,25.693877551020407,
29,50,4,,1,,25.9,
30,43,1,F7,1,,26.10612244897959,
30,42,2,,1,,26.300510204081633,
30,47,3,,1,,26.494897959183675,
30,42,4,,1,,26.689285714285717,
31,42,1,Bbj7,1,,26.883673469387755,
31,45,2,,1,,27.077936507936506,
31,42,3,,1,,27.27219954648526,
31,47,4,,1,,27.475272108843537,
32,47,1,,1,,27.678344671201813,
32,50,2,,1,,27.879659863945577,
32,52,3,,1,,28.080975056689343,
32,48,4,,1,,28.274467120181406,
33,48,1,C#-7,1,B1,28.467959183673468,
33,47,2,,1,,28.65948979591837,
33,44,3,,1,,28.851020408163265,
33,44,4,,1,,29.04907029478458,
34,40,1,F#7,1,,29.247120181405897,
34,40,2,,1,,29.443537414965988,
34,48,3,,1,,29.63995464852608,
34,48,4,,1,,29.843446712018142,
35,42,1,Bj7,1,,30.046938775510203,
35,42,2,,1,,30.238174603174603,
35,40,3,,1,,30.429410430839003,
35,43,4,,1,,30.623129251700682,
36,43,1,,1,,30.816848072562358,
36,44,2,,1,,31.023072562358276,
36,42,3,,1,,31.229297052154195,
36,41,4,,1,,31.430102040816326,
37,41,1,B-7,1,,31.630907029478458,
37,42,2,,1,,31.829489795918366,
37,48,3,,1,,32.028072562358275,
37,48,4,,1,,32.234206349206346,
38,47,1,E7,1,,32.440340136054424,
38,47,2,,1,,32.651315192743766,
38,51,3,,1,,32.86229024943311,
38,51,4,,1,,33.05767573696146,
39,38,1,Aj7,1,,33.2530612244898,
39,52,2,,1,,33.45733560090703,
39,44,3,,1,,33.66160997732426,
39,44,4,,1,,33.86243764172335,
40,44,1,,1,,34.063265306122446,
40,44,2,,1,,34.25503401360544,
40,38,3,,1,,34.44680272108844,
40,51,4,,1,,34.645045351473925,
41,51,1,A-7,1,,34.84328798185941,
41,40,2,,1,,35.041927437641725,
41,42,3,,1,,35.24056689342404,
41,38,4,,1,,35.435793650793656,
42,45,1,D7,1,,35.631020408163266,
42,47,2,,1,,35.835181405895696,
42,48,3,,1,,36.03934240362812,
42,49,4,,1,,36.2455328798186,
43,50,1,Gj7,1,,36.45172335600907,
43,51,2,,1,,36.65379818594104,
43,40,3,,1,,36.855873015873016,
43,42,4,,1,,37.05085034013605,
44,51,1,,1,,37.245827664399094,
44,50,2,,1,,37.44930839002268,
44,38,3,,1,,37.65278911564626,
44,44,4,,1,,37.844308390022675,
45,43,1,G-7,1,,38.03582766439909,
45,50,2,,1,,38.24696145124717,
45,50,3,,1,,38.45809523809524,
45,50,4,,1,,38.66099773242631,
46,50,1,C7,1,,38.86390022675737,
46,38,2,,1,,39.06256235827665,
46,51,3,,1,,39.26122448979592,
46,50,4,,1,,39.457142857142856,
47,47,1,C-7,1,,39.6530612244898,
47,50,2,,1,,39.8469387755102,
47,52,3,,1,,40.04081632653061,
47,43,4,,1,,40.24208616780045,
48,43,1,F+7,1,,40.44335600907029,
48,47,2,,1,,40.64072562358277,
48,50,3,,1,,40.838095238095235,
48,38,4,,1,,41.030589569160995,
49,41,1,Bbj7,1,A3,41.223083900226754,
49,45,2,,1,,41.42924036281179,
49,47,3,,1,,41.635396825396825,
49,47,4,,1,,41.83625850340136,
50,44,1,,1,,42.037120181405896,
50,50,2,,1,,42.24051020408163,
50,51,3,,1,,42.44390022675737,
50,38,4,,1,,42.64998866213152,
51,50,1,F-7,1,,42.85607709750567,
51,43,2,,1,,43.05242630385487,
51,44,3,,1,,43.248775510204084,
51,50,4,,1,,43.45493197278911,
52,50,1,Bb7,1,,43.66108843537415,
52,51,2,,1,,43.854240362811794,
52,50,3,,1,,44.047392290249434,
52,47,4,,1,,44.258480725623585,
53,47,1,Ebj7,1,,44.469569160997736,
53,50,2,,1,,44.66600907029479,
53,44,3,,1,,44.86244897959184,
53,44,4,,1,,45.06777777777778,
54,42,1,,1,,45.273106575963716,
54,43,2,,1,,45.47047619047619,
54,43,3,,1,,45.66784580498866,
54,40,4,,1,,45.87103174603175,
55,51,1,Eb-7,1,,46.07421768707483,
55,38,2,,1,,46.27792517006803,
55,51,3,,1,,46.481632653061226,
55,38,4,,1,,46.68979591836735,
56,51,1,Ab7,1,,46.89795918367347,
56,43,2,,1,,47.09795918367347,
56,43,3,,1,,47.29795918367347,
56,41,4,,1,,47.50759637188209,
57,42,1,Bbj7,1,,47.717233560090705,
57,45,2,,1,,47.92783446712018,
57,42,3,,1,,48.13843537414966,
57,47,4,,1,,48.34465986394558,
58,47,1,,1,,48.550884353741495,
58,50,2,,1,,48.74930839002268,
58,50,3,,1,,48.94773242630386,
58,47,4,,1,,49.14797052154195,
59,43,1,C7,1,,49.34820861678005,
59,50,2,,1,,49.55060090702948,
59,51,3,,1,,49.75299319727891,
59,43,4,,1,,49.95608843537415,
60,43,1,,1,,50.159183673469386,
60,38,2,,1,,50.35918367346939,
60,51,3,,1,,50.559183673469384,
60,52,4,,1,,50.75714285714285,
61,43,1,C-7,1,,50.95510204081633,
61,44,2,,1,,51.160816326530615,
61,44,3,,1,,51.3665306122449,
61,42,4,,1,,51.57061224489796,
62,43,1,F7,1,,51.77469387755102,
62,44,2,,1,,51.97489795918368,
62,38,3,,1,,52.17510204081633,
62,50,4,,1,,52.37630385487529,
63,47,1,Bbj7,1,,52.57750566893424,
63,50,2,,1,,52.776054421768706,
63,52,3,,1,,52.974603174603175,
63,44,4,,1,,53.18032879818594,
64,43,1,,1,,53.386054421768705,
64,43,2,,1,,53.59253968253968,
64,44,3,,1,,53.799024943310656,
64,43,4,,1,,53.9971768707483,
65,41,1,Bbj7,2,A1,54.19532879818594,
65,44,2,,2,,54.40141723356009,
65,43,3,,2,,54.60750566893424,
65,43,4,,2,,54.810691609977326,
66,42,1,,2,,55.01387755102041,
66,43,2,,2,,55.21706349206349,
