bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,2,NC,0,I1,2.948934240362812,
0,37,3,,0,,3.3436734693877552,
0,45,4,,0,,3.74421768707483,
1,34,1,Eb7,1,A1,4.142857142857143,4/4
1,45,2,,1,,4.529297052154195,
1,41,3,,1,,4.90687074829932,
1,41,4,,1,,5.2844671201814055,
2,34,1,,1,,5.666530612244898,
2,42,2,,1,,6.053968253968254,
2,41,3,,1,,6.431224489795919,
2,45,4,,1,,6.808934240362812,
3,34,1,,1,,7.200770975056689,
3,45,2,,1,,7.57281179138322,
3,41,3,,1,,7.975532879818594,
3,45,4,,1,,8.35201814058957,
4,34,1,,1,,8.735056689342404,
4,50,2,,1,,9.102789115646258,
4,50,3,,1,,9.499886621315193,
4,45,4,,1,,9.89185941043084,
5,34,1,,1,,10.269387755102041,
5,45,2,,1,,10.646757369614512,
5,41,3,,1,,11.033174603174603,
5,45,4,,1,,11.400997732426303,
6,34,1,,1,,11.788321995464853,
6,45,2,,1,,12.17047619047619,
6,41,3,,1,,12.557732426303854,
6,45,4,,1,,12.94485260770975,
7,34,1,,1,,13.312879818594105,
7,50,2,,1,,13.705396825396825,
7,41,3,,1,,14.081836734693878,
7,42,4,,1,,14.459501133786848,
8,34,1,,1,,14.820136054421768,
8,42,2,,1,,15.18861678004535,
8,41,3,,1,,15.591179138321996,
8,50,4,,1,,15.968390022675736,
9,51,1,Ab7,1,,16.35156462585034,
9,40,2,,1,,16.738004535147393,
9,42,3,,1,,17.125102040816326,
9,50,4,,1,,17.508253968253968,
10,51,1,,1,,17.895374149659865,
10,51,2,,1,,18.28185941043084,
10,42,3,,1,,18.65920634920635,
10,50,4,,1,,19.052108843537415,
11,51,1,,1,,19.413469387755104,
11,51,2,,1,,19.786802721088435,
11,42,3,,1,,20.15875283446712,
11,50,4,,1,,20.541587301587303,
12,51,1,,1,,20.93766439909297,
12,38,2,,1,,21.31530612244898,
12,38,3,,1,,21.688979591836734,
12,45,4,,1,,22.075850340136054,
13,34,1,Eb7,1,,22.44265306122449,
13,45,2,,1,,22.830022675736963,
13,41,3,,1,,23.207437641723356,
13,45,4,,1,,23.576961451247165,
14,34,1,,1,,23.95172335600907,
14,45,2,,1,,24.3287074829932,
14,41,3,,1,,24.690068027210884,
14,45,4,,1,,25.06390022675737,
15,34,1,,1,,25.456666666666667,
15,45,2,,1,,25.833242630385488,
15,41,3,,1,,26.22113378684807,
15,45,4,,1,,26.598095238095237,
16,42,1,,1,,26.975668934240364,
16,42,2,,1,,27.357936507936508,
16,41,3,,1,,27.745215419501132,
16,47,4,,1,,28.132562358276644,
17,48,1,Bb7,1,,28.514444444444443,
17,48,2,,1,,28.901927437641724,
17,43,3,,1,,29.279297052154195,
17,47,4,,1,,29.653333333333332,
18,48,1,,1,,30.023650793650795,
18,48,2,,1,,30.39591836734694,
18,43,3,,1,,30.769024943310658,
18,47,4,,1,,31.13582766439909,
19,37,1,,1,,31.532947845804987,
19,45,2,,1,,31.925804988662133,
19,42,3,,1,,32.29256235827664,
19,47,4,,1,,32.66530612244898,
20,41,1,,1,,33.03777777777778,
20,41,2,,1,,33.42417233560091,
20,48,3,,1,,33.82673469387755,
20,45,4,,1,,34.19455782312925,
21,34,1,Eb7,1,,34.57195011337868,
21,45,2,,1,,34.9390022675737,
21,41,3,,1,,35.33605442176871,
21,45,4,,1,,35.718820861678005,
22,34,1,,1,,36.08648526077098,
22,45,2,,1,,36.473015873015875,
22,41,3,,1,,36.84068027210884,
22,45,4,,1,,37.23780045351474,
23,34,1,,1,,37.60467120181406,
23,42,2,,1,,37.98201814058957,
23,41,3,,1,,38.37485260770975,
23,45,4,,1,,38.76229024943311,
24,34,1,,1,,39.154263038548756,
24,50,2,,1,,39.5233560090703,
24,50,3,,1,,39.909024943310655,
24,45,4,,1,,40.26920634920635,
25,45,1,Eb7,2,A1,40.66394557823129,
25,42,2,,2,,41.0408843537415,
25,41,3,,2,,41.432585034013606,
25,45,4,,2,,41.81995464852608,
26,45,1,,2,,42.19750566893424,
26,50,2,,2,,42.57503401360544,
26,50,3,,2,,42.97675736961451,
26,45,4,,2,,43.379410430839,
27,34,1,,2,,43.77634920634921,
27,40,2,,2,,44.15297052154195,
27,41,3,,2,,44.51845804988662,
27,45,4,,2,,44.90739229024943,
28,34,1,,2,,45.291065759637185,
28,45,2,,2,,45.65478458049887,
28,41,3,,2,,46.03541950113379,
28,45,4,,2,,46.422607709750565,
29,45,1,,2,,46.80922902494331,
29,40,2,,2,,47.19222222222222,
29,41,3,,2,,47.57959183673469,
29,41,4,,2,,47.95596371882086,
30,45,1,,2,,48.34342403628118,
30,45,2,,2,,48.73621315192744,
30,41,3,,2,,49.11358276643991,
30,45,4,,2,,49.487528344671205,
31,34,1,,2,,49.85786848072562,
31,42,2,,2,,50.23528344671202,
31,41,3,,2,,50.62244897959184,
31,41,4,,2,,51.00555555555555,
32,34,1,,2,,51.37238095238095,
32,50,2,,2,,51.75004535147392,
32,50,3,,2,,52.13716553287982,
32,50,4,,2,,52.504285714285714,
33,51,1,Ab7,2,,52.88160997732426,
33,45,2,,2,,53.274421768707484,
33,45,3,,2,,53.67049886621315,
