bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,51,1,Eb-79,1,A1,4.535396825396825,4/4
1,41,2,,1,,4.9576870748299315,
1,41,3,,1,,5.3691383219954645,
1,40,4,,1,,5.801065759637188,
2,47,1,,1,,6.223265306122449,
2,41,2,,1,,6.641065759637188,
2,42,3,,1,,7.082857142857143,
2,47,4,,1,,7.529070294784581,
3,48,1,F7,1,,7.970861678004535,
3,38,2,,1,,8.40267573696145,
3,43,3,,1,,8.830362811791383,
3,47,4,,1,,9.252539682539682,
4,48,1,F7,1,,9.663968253968253,
4,45,2,,1,,10.130748299319729,
4,50,3,,1,,10.552925170068027,
4,48,4,,1,,10.994739229024944,
5,47,1,E7,1,,11.416893424036282,
5,45,2,,1,,11.86312925170068,
5,42,3,,1,,12.295192743764172,
5,45,4,,1,,12.726984126984126,
6,47,1,E7,1,,13.144965986394558,
6,45,2,,1,,13.596507936507937,
6,42,3,,1,,14.017687074829931,
6,45,4,,1,,14.455102040816326,
7,45,1,Eb-79,1,,14.896825396825397,
7,41,2,,1,,15.31936507936508,
7,41,3,,1,,15.738775510204082,
7,41,4,,1,,16.167981859410432,
8,41,1,,1,,16.599886621315193,
8,40,2,,1,,17.03265306122449,
8,38,3,Bb7,1,,17.454013605442178,
8,39,4,,1,,17.881678004535146,
9,47,1,Eb-79,1,A2,18.302879818594104,
9,40,2,,1,,18.709591836734695,
9,41,3,,1,,19.13190476190476,
9,38,4,,1,,19.544308390022675,
10,42,1,,1,,19.970907029478457,
10,45,2,,1,,20.43766439909297,
10,41,3,,1,,20.859954648526077,
10,47,4,,1,,21.281972789115645,
11,48,1,F7,1,,21.69439909297052,
11,45,2,,1,,22.153061224489797,
11,43,3,,1,,22.601927437641724,
11,50,4,,1,,23.0143537414966,
12,48,1,F7,1,,23.446145124716555,
12,45,2,,1,,23.90204081632653,
12,50,3,,1,,24.32857142857143,
12,48,4,,1,,24.771451247165533,
13,47,1,E7,1,,25.19371882086168,
13,42,2,,1,,25.635396825396825,
13,42,3,,1,,26.053356009070296,
13,37,4,,1,,26.49514739229025,
14,47,1,E7,1,,26.906598639455783,
14,48,2,,1,,27.363446712018142,
14,43,3,,1,,27.775827664399092,
14,47,4,,1,,28.207755102040817,
15,40,1,Eb-79,1,,28.620181405895693,
15,45,2,,1,,29.055102040816326,
15,41,3,,1,,29.49312925170068,
15,40,4,,1,,29.920657596371882,
16,40,1,,1,,30.333061224489796,
16,41,2,,1,,30.744897959183675,
16,38,3,,1,,31.17142857142857,
16,38,4,,1,,31.59857142857143,
17,50,1,Bb-7,1,B1,32.01077097505669,
17,50,2,,1,,32.46530612244898,
17,51,3,,1,,32.92040816326531,
17,40,4,,1,,33.35306122448979,
18,41,1,Eb7,1,,33.80408163265306,
18,45,2,,1,,34.2469387755102,
18,40,3,,1,,34.691972789115646,
18,40,4,,1,,35.12396825396825,
19,39,1,Abj7,1,,35.57546485260771,
19,38,2,,1,,36.00816326530612,
19,37,3,,1,,36.45360544217687,
19,45,4,,1,,36.891836734693875,
20,47,1,Abj7,1,,37.338185941043086,
20,47,2,,1,,37.79183673469388,
20,48,3,,1,,38.24682539682539,
20,50,4,,1,,38.66789115646259,
21,38,1,Ab-7,1,,39.09591836734694,
21,49,2,,1,,39.55714285714286,
21,48,3,,1,,40.013945578231294,
21,47,4,,1,,40.43607709750567,
22,44,1,Db7,1,,40.85732426303855,
22,42,2,,1,,41.3240589569161,
22,41,3,,1,,41.771201814058955,
22,39,4,,1,,42.21299319727891,
23,37,1,Gbj7,1,,42.669931972789115,
23,44,2,,1,,43.117120181405895,
23,49,3,,1,,43.52857142857143,
23,44,4,,1,,43.960589569160994,
24,48,1,Bb+79,1,,44.39814058956916,
24,42,2,,1,,44.81471655328798,
24,41,3,,1,,45.24149659863946,
24,42,4,,1,,45.673310657596375,
25,42,1,Eb-79,1,A3,46.120566893424034,
25,41,2,,1,,46.58734693877551,
25,41,3,,1,,47.00961451247166,
25,45,4,,1,,47.43074829931973,
26,42,1,,1,,47.86265306122449,
26,41,2,,1,,48.29795918367347,
26,42,3,,1,,48.75154195011338,
26,47,4,,1,,49.16390022675737,
27,48,1,F7,1,,49.61131519274377,
27,37,2,,1,,50.06734693877551,
27,43,3,,1,,50.4740589569161,
27,50,4,,1,,50.91183673469388,
28,48,1,F7,1,,51.35326530612245,
28,47,2,,1,,51.78775510204082,
28,48,3,,1,,52.23172335600907,
28,48,4,,1,,52.678820861678005,
29,47,1,E7,1,,53.09126984126984,
29,45,2,,1,,53.54278911564626,
29,42,3,,1,,53.94428571428571,
29,37,4,,1,,54.36648526077097,
30,47,1,E7,1,,54.80401360544218,
30,42,2,,1,,55.24562358276644,
30,47,3,,1,,55.65804988662131,
30,42,4,,1,,56.06952380952381,
31,42,1,Eb-79,1,,56.51126984126984,
31,41,2,,1,,56.933514739229025,
31,41,3,,1,,57.33603174603174,
31,40,4,,1,,57.80285714285714,
32,41,1,,1,,58.224920634920636,
32,40,2,,1,,58.64596371882086,
32,40,3,Bb7,1,,59.09326530612245,
32,42,4,,1,,59.505691609977326,
33,42,1,Eb-79,2,A1,59.93730158730159,
33,42,2,,2,,60.374761904761904,
33,42,3,,2,,60.780634920634924,
33,42,4,,2,,61.218231292517004,
34,42,1,,2,,61.65027210884354,
34,42,2,,2,,62.052721088435376,
34,40,3,,2,,62.51954648526077,
34,47,4,,2,,62.94204081632653,
35,48,1,F7,2,,63.365804988662134,
35,43,2,,2,,63.81015873015873,
35,43,3,,2,,64.25195011337868,
35,43,4,,2,,64.69904761904762,
36,48,1,F7,2,,65.14086167800454,
36,48,2,,2,,65.5968253968254,
36,37,3,,2,,66.01907029478458,
36,49,4,,2,,66.45102040816326,
37,48,1,E7,2,,66.87866213151928,
37,43,2,,2,,67.32036281179138,
37,43,3,,2,,67.75689342403628,
37,47,4,,2,,68.19863945578231,
38,43,1,E7,2,,68.61106575963719,
38,43,2,,2,,69.04294784580499,
38,47,3,,2,,69.46514739229025,
38,42,4,,2,,69.90165532879818,
39,42,1,Eb-79,2,,70.3236507936508,
39,42,2,,2,,70.75582766439909,
39,42,3,,2,,71.16795918367347,
39,41,4,,2,,71.59795918367347,
40,41,1,Bb7,2,,72.02244897959184,
40,47,2,,2,,72.44866213151927,
40,40,3,,2,,72.87077097505669,
40,38,4,,2,,73.30274376417233,
41,40,1,Eb-79,2,A2,73.72496598639455,
41,41,2,,2,,74.14693877551021,
41,41,3,,2,,74.60306122448979,
41,47,4,,2,,75.03521541950113,
42,42,1,,2,,75.44761904761904,
42,41,2,,2,,75.87945578231293,
42,41,3,,2,,76.3061224489796,
42,47,4,,2,,76.71297052154195,
43,48,1,F7,2,,77.11560090702947,
43,43,2,,2,,77.5824716553288,
43,43,3,,2,,78.02977324263038,
43,49,4,,2,,78.47047619047619,
44,48,1,F7,2,,78.87308390022676,
44,43,2,,2,,79.2950566893424,
44,49,3,,2,,79.7271201814059,
44,49,4,,2,,80.13861678004535,
45,48,1,E7,2,,80.57054421768707,
45,43,2,,2,,80.99807256235827,
45,43,3,,2,,81.4,
45,48,4,,2,,81.82727891156462,
46,47,1,E7,2,,82.25403628117914,
46,42,2,,2,,82.68596371882086,
46,42,3,,2,,83.08852607709751,
46,45,4,,2,,83.53020408163265,
47,40,1,Eb-79,2,,83.97746031746031,
47,41,2,,2,,84.38907029478457,
47,41,3,,2,,84.79580498866213,
47,45,4,,2,,85.25274376417234,
48,40,1,,2,,85.65530612244898,
48,41,2,,2,,86.09387755102041,
48,43,3,,2,,86.50863945578232,
48,45,4,,2,,86.9371201814059,
49,51,1,Bb-7,2,B1,87.39743764172336,
49,41,2,,2,,87.83471655328798,
49,43,3,,2,,88.29208616780045,
49,45,4,,2,,88.73267573696145,
50,42,1,Eb7,2,,89.19956916099773,
50,50,2,,2,,89.66632653061224,
50,37,3,,2,,90.08845804988663,
50,50,4,,2,,90.52585034013606,
51,38,1,Abj7,2,,90.95698412698412,
51,44,2,,2,,91.41020408163266,
51,44,3,,2,,91.87551020408164,
51,45,4,,2,,92.33877551020409,
52,47,1,Abj7,2,,92.78927437641724,
52,42,2,,2,,93.21684807256236,
52,41,3,,2,,93.66743764172335,
52,40,4,,2,,94.0950566893424,
53,51,1,Ab-7,2,,94.51718820861679,
53,40,2,,2,,94.96873015873015,
53,38,3,,2,,95.41587301587302,
53,45,4,,2,,95.87183673469387,
54,44,1,Db7,2,,96.33884353741496,
54,44,2,,2,,96.77074829931973,
54,39,3,,2,,97.19276643990929,
54,44,4,,2,,97.62054421768707,
55,37,1,Gbj7,2,,98.08174603174604,
55,44,2,,2,,98.54768707482994,
55,49,3,,2,,98.96761904761905,
55,44,4,,2,,99.38768707482993,
56,48,1,Bb+79,2,,99.82947845804989,
56,42,2,,2,,100.2863492063492,
56,41,3,,2,,100.69784580498866,
56,45,4,,2,,101.11020408163266,
57,42,1,Eb-79,2,A3,101.56714285714285,
57,41,2,,2,,102.02852607709751,
57,41,3,,2,,102.46591836734694,
57,42,4,,2,,102.89687074829932,
58,42,1,,2,,103.33426303854876,
58,41,2,,2,,103.77607709750566,
58,47,3,,2,,104.18843537414966,
58,47,4,,2,,104.6301814058957,
59,48,1,F7,2,,105.05684807256236,
59,43,2,,2,,105.4985941043084,
59,43,3,,2,,105.94582766439909,
59,43,4,,2,,106.38750566893424,
60,37,1,F7,2,,106.80204081632652,
60,43,2,,2,,107.23061224489796,
60,48,3,,2,,107.64335600907029,
60,43,4,,2,,108.09063492063493,
61,47,1,E7,2,,108.53780045351473,
61,42,2,,2,,108.99478458049887,
61,42,3,,2,,109.41702947845805,
61,47,4,,2,,109.88290249433106,
62,42,1,E7,2,,110.30507936507937,
62,42,2,,2,,110.73707482993197,
62,42,3,,2,,111.16122448979591,
62,47,4,,2,,111.5802947845805,
63,40,1,Eb-79,2,,112.01786848072562,
63,41,2,,2,,112.46922902494332,
63,41,3,,2,,112.90675736961451,
63,41,4,,2,,113.36360544217688,
64,42,1,,2,,113.79562358276644,
64,40,2,,2,,114.25163265306122,
64,38,3,Bb7,2,,114.69340136054421,
64,40,4,,2,,115.12526077097506,
65,42,1,Eb-79,3,A1,115.54321995464852,
65,41,2,,3,,115.95022675736962,
65,41,3,,3,,116.36156462585033,
