bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,Db,1,A1,4.159183673469387,4/4
1,44,2,,1,,4.5187301587301585,
1,41,3,Bb7,1,,4.850566893424037,
1,40,4,,1,,5.202993197278912,
2,49,1,Eb-7,1,,5.5311111111111115,
2,47,2,,1,,5.873378684807256,
2,34,3,Ab7,1,,6.22875283446712,
2,45,4,,1,,6.573877551020408,
3,44,1,F-7,1,,6.916643990929705,
3,47,2,,1,,7.264308390022676,
3,41,3,Bb-7,1,,7.616371882086168,
3,41,4,,1,,7.944081632653061,
4,34,1,Eb-7,1,,8.267142857142858,
4,47,2,,1,,8.608934240362812,
4,37,3,Ab7,1,,8.955102040816326,
4,51,4,,1,,9.299569160997732,
5,42,1,Ab-7,1,,9.64219954648526,
5,44,2,,1,,9.984875283446712,
5,44,3,Db7,1,,10.322244897959184,
5,41,4,,1,,10.67469387755102,
6,40,1,Gb7,1,,11.032811791383219,
6,49,2,,1,,11.365374149659864,
6,47,3,B7,1,,11.697142857142858,
6,47,4,,1,,12.029591836734694,
7,44,1,F-7,1,,12.357868480725623,
7,48,2,,1,,12.695510204081632,
7,49,3,Bb-7,1,,13.043287981859411,
7,50,4,,1,,13.389206349206349,
8,51,1,Eb-7,1,,13.708480725623582,
8,41,2,,1,,14.03702947845805,
8,42,3,Ab7,1,,14.388367346938775,
8,43,4,,1,,14.735963718820862,
9,44,1,Db,1,A2,15.069750566893424,
9,43,2,,1,,15.421519274376417,
9,44,3,Bb7,1,,15.743696145124716,
9,42,4,,1,,16.08172335600907,
10,37,1,Eb-7,1,,16.43387755102041,
10,42,2,,1,,16.781904761904762,
10,38,3,Ab7,1,,17.12451247165533,
10,38,4,,1,,17.447596371882085,
11,38,1,F-7,1,,17.77954648526077,
11,44,2,,1,,18.11795918367347,
11,38,3,Bb-7,1,,18.453061224489797,
11,38,4,,1,,18.78267573696145,
12,38,1,Eb-7,1,,19.125283446712018,
12,37,2,,1,,19.44839002267574,
12,42,3,Ab7,1,,19.804081632653062,
12,42,4,,1,,20.13843537414966,
13,44,1,Ab-7,1,,20.47113378684807,
13,42,2,,1,,20.8,
13,41,3,Db7,1,,21.161315192743764,
13,51,4,,1,,21.484126984126984,
14,48,1,Gb7,1,,21.847074829931973,
14,47,2,,1,,22.164240362811793,
14,34,3,B7,1,,22.50204081632653,
14,45,4,,1,,22.848979591836734,
15,44,1,F-7,1,,23.17736961451247,
15,48,2,,1,,23.52956916099773,
15,49,3,Bb-7,1,,23.872154195011337,
15,50,4,,1,,24.20043083900227,
16,41,1,Eb7,1,,24.53238095238095,
16,49,2,,1,,24.865238095238094,
16,47,3,Ab7,1,,25.20764172335601,
16,44,4,,1,,25.53065759637188,
17,43,1,C7,1,B1,25.87814058956916,
17,41,2,,1,,26.22111111111111,
17,41,3,,1,,26.578140589569163,
17,51,4,,1,,26.900861678004535,
18,51,1,,1,,27.243015873015874,
18,38,2,,1,,27.59124716553288,
18,50,3,,1,,27.93403628117914,
18,37,4,,1,,28.26609977324263,
19,47,1,F7,1,,28.61421768707483,
19,42,2,,1,,28.946689342403626,
19,42,3,,1,,29.279410430839004,
19,44,4,,1,,29.6121768707483,
20,44,1,,1,,29.95954648526077,
20,43,2,,1,,30.2962358276644,
20,43,3,,1,,30.63487528344671,
20,43,4,,1,,30.98281179138322,
21,41,1,Bb7,1,,31.3053514739229,
21,50,2,,1,,31.62267573696145,
21,50,3,,1,,31.94560090702948,
21,49,4,,1,,32.27863945578231,
22,50,1,,1,,32.62113378684807,
22,47,2,,1,,32.949115646258505,
22,47,3,,1,,33.29160997732426,
22,47,4,,1,,33.63700680272109,
23,34,1,Eb7,1,,33.99662131519274,
23,43,2,,1,,34.3290022675737,
23,42,3,,1,,34.68190476190476,
23,41,4,,1,,35.02907029478458,
24,41,1,Ab7,1,,35.35199546485261,
24,38,2,,1,,35.70068027210884,
24,37,3,,1,,36.051700680272106,
