bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,41,4,NC,0,I1,0.017414965986394557,
1,41,1,Bb7,1,A1,0.46748299319727893,4/4
1,43,2,,1,,0.8407936507936508,
1,45,3,,1,,1.208390022675737,
1,45,4,,1,,1.5949206349206348,
2,44,1,,1,,1.9940136054421769,
2,38,2,,1,,2.374875283446712,
2,38,3,,1,,2.7613832199546486,
2,42,4,,1,,3.1389795918367347,
3,41,1,,1,,3.5314739229024945,
3,40,2,,1,,3.938548752834467,
3,51,3,,1,,4.345034013605442,
3,50,4,,1,,4.742789115646259,
4,48,1,,1,,5.13984126984127,
4,42,2,,1,,5.54265306122449,
4,41,3,,1,,5.954104308390023,
4,45,4,,1,,6.331179138321995,
5,42,1,Eb7,1,,6.728253968253968,
5,42,2,,1,,7.1210657596371885,
5,48,3,,1,,7.508253968253968,
5,44,4,,1,,7.920566893424036,
6,37,1,,1,,8.3418820861678,
6,38,2,,1,,8.764104308390023,
6,38,3,,1,,9.141360544217687,
6,40,4,,1,,9.544013605442176,
7,41,1,Bb7,1,,9.966848072562358,
7,41,2,,1,,10.369546485260772,
7,40,3,,1,,10.756757369614512,
7,37,4,,1,,11.169092970521541,
8,48,1,G7,1,,11.580634920634921,
8,45,2,,1,,12.00283446712018,
8,44,3,,1,,12.434739229024943,
8,44,4,,1,,12.817913832199546,
9,43,1,C-7,1,,13.20421768707483,
9,41,2,,1,,13.626349206349206,
9,40,3,,1,,14.019251700680272,
9,49,4,,1,,14.441451247165533,
10,47,1,F7,1,,14.83750566893424,
10,45,2,,1,,15.250022675736961,
10,45,3,,1,,15.637097505668935,
10,43,4,,1,,16.04954648526077,
11,41,1,Bb7,1,,16.4359410430839,
11,43,2,,1,,16.838707482993197,
11,44,3,,1,,17.231383219954648,
11,45,4,,1,,17.638208616780044,
12,44,1,F7,1,,18.04981859410431,
12,44,2,,1,,18.462267573696145,
12,40,3,,1,,18.849433106575965,
12,40,4,,1,,19.261904761904763,
13,41,1,Bb7,1,A2,19.62857142857143,
13,42,2,,1,,20.04097505668934,
13,42,3,,1,,20.453446712018142,
13,40,4,,1,,20.865850340136053,
14,41,1,,1,,21.242131519274377,
14,44,2,,1,,21.639365079365078,
14,44,3,,1,,22.051791383219953,
14,42,4,,1,,22.44453514739229,
15,41,1,,1,,22.830975056689343,
15,41,2,,1,,23.208503401360545,
15,51,3,,1,,23.591541950113378,
15,50,4,,1,,24.00387755102041,
16,48,1,,1,,24.390294784580497,
16,42,2,,1,,24.797233560090703,
16,41,3,,1,,25.209614512471656,
16,44,4,,1,,25.61108843537415,
17,45,1,Eb7,1,,26.03326530612245,
17,44,2,,1,,26.470907029478457,
17,37,3,,1,,26.867891156462584,
17,44,4,,1,,27.280362811791385,
18,42,1,,1,,27.666621315192742,
18,41,2,,1,,28.05936507936508,
18,40,3,,1,,28.46628117913832,
18,38,4,,1,,28.86873015873016,
19,41,1,Bb7,1,,29.27045351473923,
19,40,2,,1,,29.66766439909297,
19,40,3,,1,,30.060544217687074,
19,37,4,,1,,30.46297052154195,
20,48,1,G7,1,,30.85918367346939,
20,44,2,,1,,31.281473922902496,
20,44,3,,1,,31.68392290249433,
20,44,4,,1,,32.07115646258504,
21,44,1,C-7,1,,32.428072562358274,
21,41,2,,1,,32.82659863945578,
21,40,3,,1,,33.239002267573696,
21,37,4,,1,,33.64480725623583,
22,40,1,F7,1,,34.047437641723356,
22,45,2,,1,,34.45013605442177,
22,45,3,,1,,34.83757369614513,
22,43,4,,1,,35.268367346938774,
23,40,1,Bb7,1,,35.64609977324263,
23,43,2,,1,,36.02909297052154,
23,45,3,,1,,36.42589569160998,
