bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-3,37,1,NC,0,I1,1.346938775510204,
-3,37,2,,0,,1.5673469387755101,
-3,37,3,,0,,1.7877551020408162,
-3,37,4,,0,,2.0163265306122446,
-2,37,1,,0,,2.2448979591836733,
-2,37,2,,0,,2.4816326530612245,
-2,50,3,,0,,2.7183673469387757,
-2,50,4,,0,,2.976439909297052,
-1,38,1,,0,,3.2345124716553286,
-1,37,2,,0,,3.4785600907029477,
-1,37,3,,0,,3.7226077097505668,
-1,37,4,,0,,3.9483333333333333,
0,42,1,,0,,4.1740589569161,
0,40,2,,0,,4.423526077097506,
0,50,3,,0,,4.672993197278911,
0,50,4,,0,,4.930668934240362,
1,40,1,Bb,1,A1,5.188344671201814,4/4
1,37,2,,1,,5.436984126984127,
1,37,3,,1,,5.68562358276644,
1,37,4,,1,,5.916213151927438,
2,37,1,Bb,1,,6.146802721088435,
2,37,2,,1,,6.390748299319728,
2,50,3,,1,,6.634693877551021,
2,37,4,,1,,6.879081632653062,
3,40,1,Bb,1,,7.123469387755102,
3,41,2,,1,,7.368038548752835,
3,37,3,,1,,7.612607709750567,
3,37,4,,1,,7.83390022675737,
4,37,1,Bb,1,,8.055192743764172,
4,37,2,,1,,8.280884353741495,
4,37,3,,1,,8.50657596371882,
4,37,4,,1,,8.737131519274376,
5,37,1,Bb,1,,8.967687074829932,
5,37,2,,1,,9.188333333333333,
5,38,3,,1,,9.408979591836735,
5,42,4,,1,,9.649263038548753,
6,41,1,Bb,1,,9.889546485260771,
6,41,2,,1,,10.119535147392291,
6,37,3,,1,,10.34952380952381,
6,51,4,,1,,10.57092970521542,
7,50,1,Bb,1,,10.792335600907029,
7,50,2,,1,,11.027743764172335,
7,50,3,,1,,11.263151927437642,
7,38,4,,1,,11.511462585034014,
8,37,1,Bb,1,,11.759773242630386,
8,37,2,,1,,11.989637188208617,
8,37,3,,1,,12.219501133786848,
8,37,4,,1,,12.431383219954649,
9,41,1,Bb,1,A2,12.64326530612245,
9,41,2,,1,,12.879455782312926,
9,37,3,,1,,13.115646258503402,
9,37,4,,1,,13.35482993197279,
10,37,1,Bb,1,,13.594013605442177,
10,42,2,,1,,13.843038548752833,
10,50,3,,1,,14.092063492063492,
10,50,4,,1,,14.336768707482992,
11,38,1,Bb,1,,14.581473922902495,
11,41,2,,1,,14.806950113378685,
11,37,3,,1,,15.032426303854875,
11,40,4,,1,,15.267709750566894,
12,42,1,Bb,1,,15.502993197278911,
12,37,2,,1,,15.733798185941044,
12,50,3,,1,,15.964603174603175,
12,50,4,,1,,16.19497732426304,
13,38,1,Bb,1,,16.425351473922902,
13,40,2,,1,,16.65312925170068,
13,37,3,,1,,16.880907029478458,
13,42,4,,1,,17.090714285714284,
14,42,1,Bb,1,,17.300521541950115,
14,50,2,,1,,17.53982993197279,
14,50,3,,1,,17.779138321995465,
14,38,4,,1,,18.018866213151927,
15,38,1,Bb,1,,18.25859410430839,
15,38,2,,1,,18.512392290249434,
15,38,3,,1,,18.766190476190477,
15,51,4,,1,,19.005884353741497,
16,41,1,Bb,1,,19.245578231292516,
16,41,2,,1,,19.494625850340135,
16,37,3,,1,,19.743673469387755,
16,42,4,,1,,19.9691156462585,
17,37,1,D7,1,B1,20.19455782312925,
17,37,2,,1,,20.424909297052153,
17,38,3,,1,,20.655260770975058,
17,37,4,,1,,20.894897959183673,
18,37,1,D7,1,,21.13453514739229,
18,37,2,,1,,21.360238095238095,
18,42,3,,1,,21.5859410430839,
18,40,4,,1,,21.830079365079364,
19,41,1,G7,1,,22.07421768707483,
19,38,2,,1,,22.314523809523813,
19,41,3,,1,,22.55482993197279,
19,42,4,,1,,22.79452380952381,
20,42,1,G7,1,,23.03421768707483,
20,40,2,,1,,23.26951247165533,
20,50,3,,1,,23.50480725623583,
20,38,4,,1,,23.761904761904763,
21,37,1,C7,1,,24.019002267573697,
21,37,2,,1,,24.249603174603173,
21,37,3,,1,,24.480204081632653,
21,38,4,,1,,24.738390022675738,
22,38,1,C7,1,,24.996575963718822,
22,38,2,,1,,25.231972789115645,
22,42,3,,1,,25.46736961451247,
22,50,4,,1,,25.706530612244897,
23,51,1,F7,1,,25.945691609977324,
23,37,2,,1,,26.19036281179138,
23,38,3,,1,,26.435034013605442,
23,41,4,,1,,26.68403628117914,
24,37,1,F7,1,,26.933038548752833,
24,37,2,,1,,27.167369614512474,
24,50,3,,1,,27.40170068027211,
24,50,4,,1,,27.632244897959183,
25,37,1,Bb,1,A3,27.862789115646258,
25,37,2,,1,,28.103072562358278,
25,37,3,,1,,28.343356009070295,
25,40,4,,1,,28.578185941043085,
26,37,1,Bb,1,,28.813015873015875,
26,50,2,,1,,29.04357142857143,
26,50,3,,1,,29.274126984126983,
26,37,4,,1,,29.513367346938775,
27,42,1,Bb,1,,29.752607709750567,
27,37,2,,1,,30.002108843537414,
27,37,3,,1,,30.251609977324264,
27,37,4,,1,,30.486984126984126,
28,42,1,Bb,1,,30.72235827664399,
28,37,2,,1,,30.956553287981862,
28,50,3,,1,,31.19074829931973,
28,50,4,,1,,31.421655328798188,
29,38,1,Bb,1,,31.652562358276644,
29,40,2,,1,,31.896643990929704,
29,50,3,,1,,32.14072562358277,
29,50,4,,1,,32.376167800453516,
30,37,1,Bb,1,,32.611609977324264,
30,40,2,,1,,32.85609977324263,
30,50,3,,1,,33.100589569160995,
30,50,4,,1,,33.3262358276644,
31,42,1,Bb,1,,33.5518820861678,
31,38,2,,1,,33.80505668934241,
31,38,3,,1,,34.05823129251701,
31,40,4,,1,,34.29362811791383,
32,41,1,Bb,1,,34.52902494331066,
32,40,2,,1,,34.75463718820862,
32,38,3,,1,,34.98024943310658,
32,37,4,,1,,35.219467120181406,
33,37,1,Bb,2,A1,35.45868480725623,
33,37,2,,2,,35.70815192743764,
33,41,3,,2,,35.95761904761905,
33,41,4,,2,,36.19308390022675,
34,37,1,Bb,2,,36.428548752834466,
34,37,2,,2,,36.67246031746032,
34,37,3,,2,,36.91637188208617,
