bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,3,NC,0,I1,3.0816326530612246,
0,42,4,,0,,3.3717687074829934,
1,44,1,Ab,1,A1,3.6699773242630385,4/4
1,44,2,,1,,3.962857142857143,
1,42,3,,1,,4.252154195011338,
1,44,4,,1,,4.54530612244898,
2,47,1,,1,,4.841360544217687,
2,42,2,,1,,5.14891156462585,
2,47,3,,1,,5.442653061224489,
2,47,4,,1,,5.7398185941043085,
3,42,1,,1,,6.03265306122449,
3,42,2,,1,,6.330861678004535,
3,44,3,,1,,6.644081632653061,
3,42,4,,1,,6.942267573696145,
4,42,1,F-7,1,,7.254716553287982,
4,42,2,,1,,7.562766439909297,
4,42,3,,1,,7.855691609977324,
4,42,4,,1,,8.153514739229024,
5,42,1,Bb-7,1,,8.45625850340136,
5,42,2,,1,,8.754399092970521,
5,47,3,,1,,9.05798185941043,
5,47,4,,1,,9.36485260770975,
6,50,1,Eb7,1,,9.668231292517007,
6,50,2,,1,,9.975419501133787,
6,47,3,,1,,10.27482993197279,
6,49,4,,1,,10.576689342403627,
7,48,1,Ab,1,,10.879569160997733,
7,50,2,,1,,11.187414965986395,
7,48,3,Eb7,1,,11.477551020408164,
7,47,4,,1,,11.778548752834467,
8,42,1,Ab,1,,12.073469387755102,
8,42,2,,1,,12.379160997732427,
8,42,3,,1,,12.676530612244898,
8,42,4,,1,,12.980090702947846,
9,44,1,Ab,1,A2,13.26732426303855,
9,43,2,,1,,13.561020408163266,
9,47,3,,1,,13.857142857142858,
9,42,4,,1,,14.17156462585034,
10,42,1,,1,,14.459659863945578,
10,42,2,,1,,14.756848072562358,
10,44,3,,1,,15.060521541950113,
10,37,4,,1,,15.370408163265306,
11,42,1,,1,,15.680748299319728,
11,42,2,,1,,15.984263038548752,
11,42,3,,1,,16.291179138321997,
11,42,4,,1,,16.594761904761906,
12,42,1,F-7,1,,16.883197278911563,
12,43,2,,1,,17.18591836734694,
12,42,3,,1,,17.493673469387755,
12,42,4,,1,,17.780680272108842,
