bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,49,1,Eb,0,I1,3.526530612244898,
0,48,2,,0,,3.7674376417233564,
0,47,3,,0,,4.008344671201814,
0,47,4,,0,,4.243446712018141,
1,47,1,Eb,1,A1,4.478548752834467,4/4
1,45,2,,1,,4.733299319727891,
1,47,3,,1,,4.988049886621315,
1,50,4,,1,,5.234387755102041,
2,47,1,,1,,5.480725623582766,
2,47,2,,1,,5.716224489795918,
2,47,3,,1,,5.9517233560090705,
2,47,4,,1,,6.1935714285714285,
3,45,1,Eb,1,,6.4354195011337865,
3,47,2,,1,,6.674580498866213,
3,47,3,,1,,6.9137414965986395,
3,49,4,,1,,7.170136054421769,
4,47,1,,1,,7.426530612244898,
4,49,2,,1,,7.675816326530612,
4,47,3,,1,,7.925102040816326,
4,49,4,,1,,8.164591836734694,
5,47,1,Eb,1,,8.404081632653062,
5,47,2,,1,,8.64575963718821,
5,45,3,,1,,8.887437641723356,
5,47,4,,1,,9.1325283446712,
6,45,1,,1,,9.377619047619048,
6,47,2,,1,,9.623049886621315,
6,47,3,Ab,1,,9.868480725623582,
6,47,4,,1,,10.107709750566894,
7,47,1,Eb,1,,10.346938775510203,
7,47,2,,1,,10.596825396825396,
7,44,3,,1,,10.84671201814059,
7,47,4,,1,,11.091927437641722,
8,48,1,,1,,11.337142857142856,
8,51,2,,1,,11.585408163265306,
8,49,3,,1,,11.833673469387755,
8,47,4,,1,,12.075929705215419,
9,47,1,Bb7,1,,12.318185941043083,
9,48,2,,1,,12.556190476190476,
9,48,3,,1,,12.794195011337868,
9,47,4,,1,,13.043174603174602,
10,48,1,,1,,13.292154195011339,
10,48,2,,1,,13.537925170068029,
10,48,3,D7,1,,13.783696145124717,
10,49,4,,1,,14.020419501133787,
11,49,1,Eb,1,,14.257142857142858,
11,51,2,,1,,14.49795918367347,
11,48,3,,1,,14.738775510204082,
11,47,4,,1,,14.977551020408164,
12,47,1,,1,,15.216326530612244,
12,47,2,,1,,15.460861678004534,
12,50,3,,1,,15.705396825396825,
12,47,4,,1,,15.948866213151927,
13,48,1,F7,1,,16.19233560090703,
13,48,2,,1,,16.43605442176871,
13,48,3,,1,,16.679773242630386,
13,47,4,,1,,16.931916099773243,
14,47,1,,1,,17.1840589569161,
14,47,2,,1,,17.421417233560092,
14,48,3,,1,,17.65877551020408,
14,47,4,,1,,17.911247165532878,
15,47,1,Bb7,1,,18.16371882086168,
15,47,2,,1,,18.41047619047619,
15,51,3,,1,,18.657233560090702,
15,47,4,,1,,18.909750566893422,
16,47,1,,1,,19.162267573696145,
16,50,2,,1,,19.400884353741496,
16,48,3,,1,,19.639501133786847,
16,47,4,,1,,19.879795918367346,
17,45,1,Eb,1,B1,20.120090702947845,
17,47,2,,1,,20.3697052154195,
17,47,3,,1,,20.619319727891156,
17,47,4,,1,,20.86312925170068,
18,47,1,,1,,21.106938775510205,
18,47,2,,1,,21.34285714285714,
18,47,3,,1,,21.578775510204082,
18,49,4,,1,,21.811609977324263,
19,48,1,,1,,22.044444444444444,
19,47,2,,1,,22.28202947845805,
19,47,3,,1,,22.519614512471655,
19,49,4,,1,,22.766179138321995,
20,47,1,Bb7,1,,23.012743764172335,
20,47,2,,1,,23.263514739229024,
20,47,3,,1,,23.514285714285716,
20,47,4,,1,,23.755102040816325,
21,47,1,Eb,1,,23.99591836734694,
21,47,2,,1,,24.238775510204082,
21,47,3,,1,,24.481632653061226,
21,47,4,,1,,24.7268820861678,
22,47,1,,1,,24.972131519274377,
22,47,2,,1,,25.213696145124715,
22,47,3,Ab,1,,25.455260770975055,
22,47,4,,1,,25.703061224489794,
23,47,1,Eb,1,,25.950861678004536,
23,47,2,,1,,26.20045351473923,
23,47,3,,1,,26.45004535147392,
23,47,4,,1,,26.70439909297052,
24,47,1,Eb7,1,,26.95875283446712,
24,47,2,,1,,27.197743764172337,
24,47,3,,1,,27.43673469387755,
24,45,4,,1,,27.67184807256236,
25,47,1,Ab,1,,27.906961451247167,
25,50,2,,1,,28.151439909297054,
25,47,3,,1,,28.39591836734694,
25,47,4,,1,,28.64081632653061,
26,47,1,Ao,1,,28.885714285714286,
26,47,2,,1,,29.1265306122449,
26,45,3,,1,,29.367346938775512,
26,47,4,,1,,29.62281179138322,
27,47,1,Eb,1,,29.87827664399093,
27,47,2,,1,,30.129557823129254,
27,47,3,,1,,30.380839002267575,
27,47,4,,1,,30.623072562358278,
28,47,1,C7,1,,30.86530612244898,
28,47,2,,1,,31.118367346938776,
28,47,3,,1,,31.37142857142857,
28,49,4,,1,,31.622448979591837,
29,48,1,F7,1,,31.8734693877551,
29,47,2,,1,,32.12249433106576,
29,48,3,,1,,32.37151927437642,
29,48,4,,1,,32.62403628117914,
30,48,1,Bb7,1,,32.87655328798186,
30,51,2,,1,,33.11840136054421,
30,47,3,,1,,33.360249433106574,
30,48,4,,1,,33.60869614512471,
31,47,1,Eb,1,,33.857142857142854,
31,47,2,,1,,34.10263038548753,
31,47,3,,1,,34.3481179138322,
31,43,4,,1,,34.59482993197279,
32,48,1,,1,,34.84154195011338,
32,48,2,,1,,35.07710884353742,
32,47,3,,1,,35.31267573696145,
32,47,4,,1,,35.55946712018141,
33,47,1,Eb,2,A1,35.80625850340136,
33,47,2,,2,,36.06335600907029,
33,47,3,,2,,36.32045351473923,
33,47,4,,2,,36.577551020408166,
