bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,40,1,NC,0,I1,2.136780045351474,
0,40,2,,0,,2.4499546485260772,
0,38,3,,0,,2.7632879818594103,
0,40,4,,0,,3.044716553287982,
1,40,1,G,1,A1,3.3436734693877552,4/4
1,40,2,,1,,3.642630385487528,
1,38,3,,1,,3.9497278911564626,
1,40,4,,1,,4.24562358276644,
2,40,1,,1,,4.555827664399093,
2,39,2,,1,,4.863401360544218,
2,40,3,,1,,5.154829931972789,
2,38,4,,1,,5.455895691609977,
3,40,1,A7,1,,5.754013605442177,
3,38,2,,1,,6.066462585034014,
3,38,3,,1,,6.370702947845805,
3,37,4,,1,,6.666235827664399,
4,40,1,,1,,6.976825396825397,
4,38,2,,1,,7.269569160997732,
4,40,3,,1,,7.579433106575964,
4,38,4,,1,,7.87984126984127,
5,38,1,D7,1,,8.188253968253969,
5,40,2,,1,,8.498526077097505,
5,38,3,,1,,8.791224489795919,
5,38,4,,1,,9.102131519274376,
6,38,1,,1,,9.401700680272109,
6,38,2,,1,,9.693174603174603,
6,38,3,,1,,9.979138321995466,
6,38,4,,1,,10.280340136054422,
7,38,1,G,1,,10.573945578231292,
7,40,2,,1,,10.875668934240363,
7,40,3,,1,,11.182312925170068,
7,38,4,,1,,11.484489795918368,
8,40,1,,1,,11.788208616780045,
8,40,2,,1,,12.103854875283446,
8,40,3,,1,,12.41185941043084,
8,40,4,D7,1,,12.708231292517008,
9,40,1,G,1,A2,13.011065759637189,
9,40,2,,1,,13.314421768707483,
9,40,3,,1,,13.619886621315192,
9,40,4,,1,,13.93204081632653,
10,40,1,Go,1,,14.24702947845805,
10,40,2,,1,,14.546530612244897,
10,40,3,,1,,14.863174603174603,
10,40,4,,1,,15.16482993197279,
11,38,1,A-,1,,15.457573696145126,
11,38,2,,1,,15.777959183673469,
11,38,3,,1,,16.070861678004537,
11,40,4,,1,,16.373945578231293,
12,40,1,D7,1,,16.67340136054422,
12,40,2,,1,,16.976689342403628,
12,38,3,,1,,17.26548752834467,
12,38,4,,1,,17.56126984126984,
13,38,1,,1,,17.852222222222224,
13,40,2,,1,,18.165056689342403,
13,40,3,,1,,18.476439909297053,
13,38,4,,1,,18.781133786848073,
14,38,1,,1,,19.066009070294786,
14,40,2,,1,,19.357528344671202,
14,38,3,,1,,19.66467120181406,
14,39,4,,1,,19.965804988662132,
15,38,1,G,1,,20.26281179138322,
15,40,2,,1,,20.566780045351475,
15,40,3,,1,,20.86984126984127,
15,40,4,,1,,21.166938775510204,
16,38,1,,1,,21.48780045351474,
16,40,2,,1,,21.79764172335601,
16,38,3,,1,,22.095691609977326,
16,38,4,,1,,22.405691609977325,
17,40,1,G7,1,B1,22.712063492063493,
17,40,2,,1,,23.022539682539684,
17,40,3,,1,,23.321133786848073,
17,40,4,,1,,23.640294784580497,
18,40,1,,1,,23.94356009070295,
18,40,2,,1,,24.253560090702948,
18,40,3,,1,,24.567392290249433,
18,40,4,,1,,24.868412698412698,
19,40,1,C,1,,25.171972789115646,
19,40,2,,1,,25.470498866213152,
19,40,3,,1,,25.761224489795918,
19,40,4,,1,,26.057936507936507,
20,40,1,,1,,26.352857142857143,
20,40,2,,1,,26.66292517006803,
20,40,3,,1,,26.965714285714284,
20,40,4,,1,,27.262290249433107,
21,40,1,E7,1,,27.556190476190476,
21,40,2,,1,,27.86328798185941,
21,40,3,,1,,28.173083900226757,
21,38,4,,1,,28.473469387755102,
22,39,1,,1,,28.771428571428572,
22,40,2,,1,,29.086598639455783,
22,40,3,,1,,29.40485260770975,
22,39,4,,1,,29.722857142857144,
23,40,1,A7,1,,30.023628117913834,
23,40,2,,1,,30.333219954648527,
23,40,3,,1,,30.623945578231293,
23,40,4,,1,,30.94344671201814,
24,40,1,D7,1,,31.252539682539684,
24,40,2,,1,,31.552857142857142,
24,40,3,,1,,31.863514739229025,
24,40,4,,1,,32.17634920634921,
25,38,1,G,1,C1,32.479115646258506,
25,38,2,,1,,32.776643990929706,
25,40,3,,1,,33.099274376417235,
25,40,4,,1,,33.40938775510204,
26,40,1,,1,,33.71884353741497,
26,40,2,,1,,34.032380952380954,
26,40,3,,1,,34.33070294784581,
26,40,4,,1,,34.629886621315194,
27,38,1,A7,1,,34.933514739229025,
27,38,2,,1,,35.253015873015876,
27,38,3,,1,,35.57507936507937,
27,38,4,,1,,35.885396825396825,
28,37,1,,1,,36.194104308390024,
28,40,2,,1,,36.511541950113376,
28,38,3,,1,,36.811201814058954,
28,38,4,,1,,37.13428571428572,
29,38,1,A-7,1,,37.42065759637188,
29,40,2,,1,,37.723673469387755,
29,40,3,,1,,38.0240589569161,
29,39,4,,1,,38.325056689342404,
30,40,1,D7,1,,38.62281179138322,
30,38,2,,1,,38.945668934240366,
30,38,3,,1,,39.259954648526076,
30,40,4,,1,,39.573083900226756,
31,40,1,G,1,,39.88607709750567,
31,40,2,,1,,40.21077097505669,
31,40,3,,1,,40.52528344671202,
31,40,4,,1,,40.8284126984127,
32,40,1,,1,,41.123492063492066,
32,40,2,,1,,41.44421768707483,
32,39,3,,1,,41.74546485260771,
32,38,4,,1,,42.05569160997732,
33,40,1,G,1,I1,42.363832199546486,
33,40,2,,1,,42.669659863945576,
33,40,3,,1,,42.969365079365076,
33,40,4,,1,,43.29290249433107,
34,40,1,,1,,43.59478458049887,
34,40,2,,1,,43.91746031746032,
