bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,38,1,F,1,A1,3.3183673469387753,4/4
1,38,2,,1,,3.6231292517006803,
1,42,3,,1,,3.939954648526077,
1,38,4,,1,,4.261224489795918,
2,38,1,,1,,4.564897959183673,
2,38,2,,1,,4.883673469387755,
2,40,3,,1,,5.19344671201814,
2,43,4,,1,,5.49421768707483,
3,37,1,,1,,5.808163265306122,
3,38,2,,1,,6.105873015873016,
3,40,3,,1,,6.438843537414966,
3,40,4,,1,,6.752131519274377,
4,37,1,C7,1,,7.058979591836735,
4,37,2,,1,,7.366666666666666,
4,38,3,,1,,7.689229024943311,
4,40,4,,1,,8.003401360544217,
5,37,1,F,1,,8.312040816326531,
5,38,2,,1,,8.606621315192744,
5,38,3,,1,,8.904625850340135,
5,38,4,,1,,9.22687074829932,
6,38,1,Bb,1,,9.520453514739229,
6,38,2,,1,,9.824512471655328,
6,38,3,Bb-,1,,10.134603174603175,
6,42,4,,1,,10.44718820861678,
7,37,1,F,1,,10.754399092970521,
7,37,2,,1,,11.056122448979592,
7,40,3,,1,,11.372675736961451,
7,40,4,,1,,11.693265306122449,
8,37,1,G7,1,,12.009614512471655,
8,37,2,C7,1,,12.317142857142857,
8,37,3,F,1,,12.625124716553287,
8,38,4,,1,,12.95063492063492,
9,38,1,F,1,,13.270113378684806,
9,38,2,,1,,13.589478458049886,
9,40,3,,1,,13.895714285714286,
9,40,4,,1,,14.193197278911565,
10,37,1,,1,,14.519727891156462,
10,38,2,,1,,14.823038548752834,
10,38,3,,1,,15.135873015873015,
10,40,4,,1,,15.44265306122449,
11,37,1,,1,,15.771383219954648,
11,38,2,,1,,16.077732426303854,
11,40,3,,1,,16.38301587301587,
11,40,4,,1,,16.707619047619048,
12,37,1,C7,1,,17.03092970521542,
12,37,2,,1,,17.33596371882086,
12,40,3,,1,,17.650068027210885,
12,43,4,,1,,17.955374149659864,
13,37,1,F,1,,18.27845804988662,
13,38,2,,1,,18.59081632653061,
13,40,3,,1,,18.890997732426303,
13,38,4,,1,,19.225238095238094,
14,38,1,Bb,1,,19.537823129251702,
14,37,2,,1,,19.85530612244898,
14,38,3,Bb-,1,,20.171065759637187,
14,37,4,,1,,20.476961451247167,
15,37,1,F,1,,20.78548752834467,
15,37,2,,1,,21.092426303854875,
15,43,3,,1,,21.405895691609977,
15,40,4,,1,,21.71090702947846,
16,40,1,G7,1,,22.030068027210884,
16,37,2,C7,1,,22.335600907029477,
16,37,3,F,1,,22.658231292517005,
16,38,4,,1,,22.988662131519273,
