bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,1,NC,0,I1,1.7079591836734693,
0,37,2,,0,,2.110657596371882,
0,37,3,,0,,2.507755102040816,
0,37,4,,0,,2.8905895691609977,
1,37,1,F,1,A1,3.26734693877551,4/4
1,37,2,,1,,3.6448979591836737,
1,37,3,,1,,4.047414965986395,
1,37,4,,1,,4.459773242630385,
2,37,1,C,1,,4.856235827664399,
2,37,2,,1,,5.243310657596372,
2,37,3,,1,,5.630839002267574,
2,37,4,,1,,6.031383219954648,
3,37,1,F,1,,6.431927437641724,
3,37,2,,1,,6.809251700680272,
3,37,3,,1,,7.206893424036281,
3,37,4,,1,,7.604535147392291,
4,37,1,C,1,,7.984761904761905,
4,38,2,,1,,8.379501133786848,
4,37,3,,1,,8.7481179138322,
4,37,4,,1,,9.137052154195011,
5,37,1,F,1,,9.538117913832199,
5,37,2,,1,,9.925532879818594,
5,37,3,,1,,10.337868480725623,
5,37,4,,1,,10.739455782312925,
6,37,1,,1,,11.126734693877552,
6,37,2,,1,,11.539092970521542,
6,37,3,,1,,11.926530612244898,
6,37,4,,1,,12.347868480725623,
7,37,1,C,1,,12.740294784580499,
7,37,2,,1,,13.13750566893424,
7,37,3,,1,,13.53031746031746,
7,37,4,,1,,13.916621315192744,
8,37,1,Bb,1,,14.319115646258503,
8,37,2,,1,,14.721678004535148,
8,37,3,,1,,15.108866213151927,
8,37,4,,1,,15.511269841269842,
9,37,1,F,1,,15.907369614512472,
9,37,2,,1,,16.32965986394558,
9,37,3,,1,,16.732154195011336,
9,37,4,,1,,17.139297052154195,
10,37,1,C,1,,17.540702947845805,
10,42,2,,1,,17.95310657596372,
10,37,3,,1,,18.345873015873014,
10,37,4,,1,,18.743083900226758,
11,37,1,F,1,,19.145396825396826,
11,38,2,,1,,19.551632653061226,
11,37,3,,1,,19.973560090702946,
11,38,4,,1,,20.40138321995465,
12,37,1,C,1,,20.813786848072564,
12,42,2,,1,,21.245646258503402,
12,37,3,,1,,21.622244897959185,
12,37,4,,1,,22.050249433106575,
13,37,1,F,1,,22.46657596371882,
13,37,2,,1,,22.869115646258503,
13,37,3,,1,,23.290498866213152,
13,37,4,,1,,23.722380952380952,
14,37,1,C,1,,24.09986394557823,
14,38,2,,1,,24.52199546485261,
14,38,3,,1,,24.91387755102041,
14,37,4,,1,,25.326167800453515,
15,37,1,F,1,,25.723083900226758,
15,37,2,,1,,26.12825396825397,
15,37,3,,1,,26.554920634920634,
15,37,4,,1,,26.972879818594105,
16,37,1,,1,,27.40244897959184,
16,37,2,,1,,27.826213151927437,
16,37,3,,1,,28.24126984126984,
16,37,4,,1,,28.65922902494331,
17,37,1,F,2,A1,29.103877551020407,
17,37,2,,2,,29.56734693877551,
17,37,3,,2,,30.027755102040818,
17,37,4,,2,,30.461224489795917,
18,37,1,C,2,,30.906938775510206,
18,42,2,,2,,31.328163265306124,
18,37,3,,2,,31.765396825396824,
18,37,4,,2,,32.20702947845805,
19,37,1,F,2,,32.61947845804988,
19,37,2,,2,,33.05133786848072,
19,37,3,,2,,33.463537414965984,
19,37,4,,2,,33.910884353741494,
20,37,1,C,2,,34.36142857142857,
20,38,2,,2,,34.798798185941045,
20,37,3,,2,,35.22104308390023,
20,37,4,,2,,35.65292517006803,
21,37,1,F,2,,36.054421768707485,
21,37,2,,2,,36.51156462585034,
21,37,3,,2,,36.9630612244898,
21,37,4,,2,,37.40043083900227,
22,38,1,,2,,37.851836734693876,
22,37,2,,2,,38.26428571428571,
22,37,3,,2,,38.691156462585035,
22,37,4,,2,,39.1130612244898,
23,38,1,C,2,,39.54512471655329,
23,37,2,,2,,39.96716553287982,
23,37,3,,2,,40.37861678004535,
23,42,4,,2,,40.82598639455782,
24,37,1,Bb,2,,41.27736961451247,
24,37,2,,2,,41.705011337868484,
24,37,3,,2,,42.13684807256236,
24,37,4,,2,,42.55879818594104,
25,37,1,F,2,,43.02571428571429,
25,37,2,,2,,43.46662131519275,
25,37,3,,2,,43.894126984126984,
25,37,4,,2,,44.33575963718821,
26,37,1,C,2,,44.758049886621315,
26,42,2,,2,,45.19546485260771,
26,37,3,,2,,45.62637188208617,
26,37,4,,2,,46.048480725623584,
27,37,1,F,2,,46.47079365079365,
27,38,2,,2,,46.92764172335601,
27,37,3,,2,,47.349773242630384,
27,38,4,,2,,47.78721088435374,
28,37,1,C,2,,48.227936507936505,
28,38,2,,2,,48.6402947845805,
28,38,3,,2,,49.07240362811791,
28,38,4,,2,,49.49433106575964,
29,37,1,F,2,,49.941541950113375,
29,37,2,,2,,50.40816326530612,
29,37,3,,2,,50.82938775510204,
29,37,4,,2,,51.27115646258503,
30,37,1,C,2,,51.70845804988662,
30,37,2,,2,,52.1402947845805,
30,37,3,Bb,2,,52.57757369614512,
30,37,4,,2,,53.019274376417236,
31,37,1,F,2,,53.441315192743765,
31,37,2,,2,,53.87861678004535,
31,37,3,,2,,54.31952380952381,
31,37,4,,2,,54.756848072562356,
32,37,1,,2,,55.19850340136055,
32,37,2,,2,,55.635895691609974,
32,37,3,,2,,56.11102040816326,
32,37,4,,2,,56.56956916099773,
33,37,1,NC,2,,57.01047619047619,
33,37,2,,2,,57.457414965986395,
33,37,3,,2,,57.899297052154196,
33,37,4,,2,,58.33659863945578,
34,37,1,,2,,58.76866213151927,
34,37,2,,2,,59.189909297052154,
34,38,3,,2,,59.63696145124717,
34,37,4,,2,,60.06897959183674,
35,37,1,,2,,60.51607709750567,
35,37,2,F,3,A1,60.96766439909297,
