bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,1,NC,0,I1,2.7502721088435376,
0,37,2,,0,,3.218934240362812,
0,42,3,,0,,3.68,
0,37,4,,0,,4.159455782312925,
1,37,1,G,1,A1,4.640045351473923,4/4
1,37,2,,1,,5.114285714285714,
1,42,3,,1,,5.589297052154195,
1,42,4,,1,,6.06875283446712,
2,43,1,C,1,,6.537505668934241,
2,37,2,,1,,6.98108843537415,
2,44,3,C#o,1,,7.4596371882086165,
2,37,4,,1,,7.910975056689343,
3,42,1,G/D,1,,8.371814058956916,
3,37,2,,1,,8.82453514739229,
3,37,3,,1,,9.265963718820862,
3,37,4,,1,,9.726961451247165,
4,37,1,G7,1,,10.178412698412698,
4,37,2,,1,,10.639501133786847,
4,37,3,,1,,11.083015873015873,
4,37,4,,1,,11.54408163265306,
5,43,1,C,1,,12.012789115646259,
5,37,2,,1,,12.493446712018141,
5,37,3,,1,,12.954489795918366,
5,37,4,,1,,13.424149659863945,
6,43,1,,1,,13.875442176870749,
6,37,2,,1,,14.356054421768707,
6,44,3,,1,,14.82485260770975,
6,37,4,,1,,15.289795918367346,
7,42,1,G,1,,15.737142857142857,
7,42,2,,1,,16.217732426303854,
7,37,3,,1,,16.686394557823128,
7,37,4,,1,,17.157233560090702,
8,37,1,,1,,17.618253968253967,
8,37,2,,1,,18.09768707482993,
8,42,3,,1,,18.549092970521542,
8,37,4,,1,,18.987755102040815,
9,40,1,D7,1,,19.443083900226757,
9,37,2,,1,,19.913832199546484,
9,42,3,,1,,20.35544217687075,
9,42,4,,1,,20.816507936507936,
10,37,1,,1,,21.277573696145126,
10,37,2,,1,,21.75687074829932,
10,42,3,,1,,22.22766439909297,
10,37,4,,1,,22.66938775510204,
11,37,1,G,1,,23.131337868480724,
11,37,2,,1,,23.5902947845805,
11,37,3,C7,1,,24.043877551020408,
11,37,4,,1,,24.52231292517007,
12,37,1,G,1,,24.983356009070295,
12,37,2,,1,,25.45297052154195,
12,40,3,D7,1,,25.914104308390023,
12,40,4,,1,,26.39467120181406,
13,50,1,G,2,A1,26.881632653061224,
13,37,2,,2,,27.376326530612246,
13,42,3,,2,,27.86793650793651,
13,42,4,,2,,28.329070294784582,
14,43,1,C,2,,28.808480725623582,
14,37,2,,2,,29.27936507936508,
14,37,3,C#o,2,,29.721927437641725,
14,37,4,,2,,30.17315192743764,
15,42,1,G/D,2,,30.614761904761906,
15,42,2,,2,,31.068344671201814,
15,42,3,,2,,31.51934240362812,
15,37,4,,2,,31.970702947845805,
16,37,1,G7,2,,32.43179138321995,
16,37,2,,2,,32.92006802721088,
16,37,3,,2,,33.37138321995465,
16,42,4,,2,,33.85199546485261,
17,43,1,C,2,,34.3109977324263,
17,37,2,,2,,34.79167800453515,
17,37,3,,2,,35.24290249433106,
17,37,4,,2,,35.6941723356009,
18,43,1,,2,,36.1453514739229,
18,42,2,,2,,36.59886621315193,
18,44,3,,2,,37.07734693877551,
18,37,4,,2,,37.53845804988662,
19,42,1,G,2,,38.00807256235828,
19,42,2,,2,,38.46916099773242,
19,37,3,,2,,38.9302947845805,
19,37,4,,2,,39.40102040816326,
20,37,1,,2,,39.86981859410431,
20,37,2,,2,,40.34061224489796,
20,37,3,,2,,40.791768707482994,
20,37,4,,2,,41.24444444444445,
21,37,1,D7,2,,41.704195011337866,
21,37,2,,2,,42.15684807256236,
21,42,3,,2,,42.608049886621316,
21,42,4,,2,,43.05947845804989,
22,37,1,,2,,43.50290249433107,
22,37,2,,2,,43.94453514739229,
22,37,3,,2,,44.41537414965986,
22,37,4,,2,,44.85689342403628,
23,37,1,G,2,,45.317959183673466,
23,37,2,,2,,45.80408163265306,
23,37,3,C7,2,,46.295918367346935,
23,37,4,,2,,46.77142857142857,
24,37,1,G,2,,47.251020408163264,
24,37,2,,2,,47.723242630385485,
24,37,3,D7,2,,48.19387755102041,
24,37,4,,2,,48.67333333333333,
25,37,1,G,2,I1,49.13426303854875,
25,37,2,,2,,49.59541950113379,
25,42,3,,2,,50.073854875283445,
25,37,4,,2,,50.54480725623583,
26,42,1,,2,,51.015578231292515,
