bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,1,NC,0,I1,3.7634467120181405,
0,48,2,,0,,3.977256235827664,
0,49,3,,0,,4.191065759637188,
0,47,4,,0,,4.397210884353742,
1,41,1,Bb7,1,A1,4.6033560090702945,4/4
1,48,2,,1,,4.814478458049886,
1,48,3,,1,,5.025600907029478,
1,48,4,,1,,5.218775510204082,
2,41,1,Eb7,1,,5.411950113378685,
2,48,2,,1,,5.61327664399093,
2,41,3,,1,,5.8146031746031746,
2,48,4,,1,,6.025668934240363,
3,41,1,Bb7,1,,6.236734693877551,
3,48,2,,1,,6.442936507936508,
3,42,3,,1,,6.649138321995465,
3,48,4,,1,,6.859739229024943,
4,41,1,Bb7,1,,7.070340136054422,
4,48,2,,1,,7.268832199546486,
4,41,3,,1,,7.467324263038549,
4,48,4,,1,,7.678424036281179,
5,40,1,Eb7,1,,7.889523809523809,
5,38,2,,1,,8.103310657596372,
5,38,3,,1,,8.317097505668935,
5,40,4,,1,,8.527766439909296,
6,41,1,Eb7,1,,8.73843537414966,
6,42,2,,1,,8.94189342403628,
6,47,3,,1,,9.145351473922902,
6,47,4,,1,,9.359160997732427,
7,37,1,Bb7,1,,9.57297052154195,
7,44,2,,1,,9.784002267573698,
7,47,3,,1,,9.995034013605443,
7,49,4,,1,,10.193503401360545,
8,51,1,G7,1,,10.391972789115647,
8,39,2,,1,,10.607448979591837,
8,42,3,,1,,10.822925170068027,
8,51,4,,1,,11.031870748299319,
9,48,1,C-7,1,,11.240816326530613,
9,40,2,,1,,11.449195011337869,
9,43,3,,1,,11.657573696145125,
9,48,4,,1,,11.858866213151927,
10,47,1,F7,1,,12.06015873015873,
10,47,2,,1,,12.26092970521542,
10,42,3,,1,,12.46170068027211,
10,47,4,,1,,12.672755102040817,
11,45,1,Bb7,1,,12.883809523809523,
11,47,2,,1,,13.094954648526077,
11,48,3,,1,,13.30609977324263,
11,49,4,,1,,13.499693877551021,
12,42,1,F7,1,,13.693287981859411,
12,48,2,,1,,13.884285714285713,
12,48,3,,1,,14.075283446712017,
12,49,4,,1,,14.283696145124715,
13,48,1,Bb7,2,A1,14.492108843537414,
13,43,2,,2,,14.698321995464852,
13,43,3,,2,,14.90453514739229,
13,43,4,,2,,15.110736961451247,
14,47,1,Eb7,2,,15.316938775510204,
14,47,2,,2,,15.507857142857143,
14,48,3,,2,,15.698775510204081,
14,48,4,,2,,15.902346938775509,
15,48,1,Bb7,2,,16.105918367346938,
15,47,2,,2,,16.307165532879818,
15,42,3,,2,,16.508412698412698,
15,47,4,,2,,16.724410430839,
16,48,1,Bb7,2,,16.940408163265307,
16,37,2,,2,,17.136179138321996,
16,38,3,,2,,17.331950113378685,
16,38,4,,2,,17.531281179138322,
17,42,1,Eb7,2,,17.73061224489796,
17,47,2,,2,,17.941031746031747,
17,45,3,,2,,18.151451247165532,
17,48,4,,2,,18.352755102040817,
18,42,1,Eb7,2,,18.5540589569161,
18,42,2,,2,,18.75479591836735,
18,47,3,,2,,18.955532879818595,
18,43,4,,2,,19.149285714285714,
19,50,1,Bb7,2,,19.343038548752833,
19,37,2,,2,,19.554104308390023,
19,37,3,,2,,19.76517006802721,
19,51,4,,2,,19.961609977324265,
20,51,1,G7,2,,20.158049886621317,
20,40,2,,2,,20.35611111111111,
20,47,3,,2,,20.554172335600907,
20,51,4,,2,,20.75547619047619,
21,48,1,C-7,2,,20.956780045351476,
21,48,2,,2,,21.150351473922903,
21,48,3,,2,,21.34392290249433,
21,47,4,,2,,21.545249433106576,
22,47,1,F7,2,,21.746575963718822,
22,47,2,,2,,21.949603174603176,
22,47,3,,2,,22.152630385487527,
22,47,4,,2,,22.353854875283446,
23,45,1,Bb7,2,,22.555079365079365,
23,48,2,,2,,22.751496598639456,
23,47,3,,2,,22.947913832199546,
23,45,4,,2,,23.14655328798186,
