bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-4,39,1,F7,0,I1,1.3521768707482993,
-4,44,2,,0,,1.57297052154195,
-4,41,3,,0,,1.7937641723356008,
-4,37,4,,0,,2.004795918367347,
-3,41,1,,0,,2.215827664399093,
-3,41,2,,0,,2.456927437641723,
-3,50,3,,0,,2.6980272108843537,
-3,37,4,,0,,2.93124716553288,
-2,37,1,,0,,3.164467120181406,
-2,37,2,,0,,3.3706689342403626,
-2,37,3,,0,,3.57687074829932,
-2,37,4,,0,,3.810249433106576,
-1,37,1,,0,,4.0436281179138325,
-1,41,2,,0,,4.264467120181406,
-1,37,3,,0,,4.485306122448979,
-1,37,4,,0,,4.708424036281179,
0,43,1,,0,,4.931541950113378,
0,38,2,,0,,5.142607709750567,
0,51,3,,0,,5.353673469387755,
0,50,4,,0,,5.587029478458049,
1,37,1,Bb7,1,A1,5.820385487528345,4/4
1,50,2,,1,,6.0266213151927435,
1,41,3,,1,,6.232857142857143,
1,41,4,,1,,6.471111111111111,
2,41,1,,1,,6.709365079365079,
2,41,2,,1,,6.925124716553288,
2,41,3,,1,,7.140884353741496,
2,41,4,,1,,7.35968253968254,
3,41,1,Bb7,1,,7.578480725623582,
3,41,2,,1,,7.799297052154195,
3,41,3,,1,,8.020113378684806,
3,41,4,,1,,8.243231292517006,
4,41,1,,1,,8.466349206349207,
4,41,2,,1,,8.682290249433107,
4,41,3,,1,,8.898231292517007,
4,41,4,,1,,9.114274376417233,
5,42,1,Bb7,1,,9.33031746031746,
5,42,2,,1,,9.536360544217686,
5,42,3,,1,,9.742403628117914,
5,49,4,,1,,9.971020408163266,
6,42,1,,1,,10.199637188208618,
6,42,2,,1,,10.422709750566895,
6,48,3,,1,,10.64578231292517,
6,48,4,,1,,10.856961451247166,
7,48,1,Bb7,1,,11.068140589569161,
7,42,2,,1,,11.274285714285714,
7,42,3,,1,,11.480430839002267,
7,42,4,,1,,11.70609977324263,
8,41,1,,1,,11.931768707482993,
8,41,2,,1,,12.145612244897958,
8,34,3,,1,,12.359455782312924,
8,40,4,,1,,12.579863945578232,
9,45,1,Eb7,1,,12.800272108843538,
9,33,2,,1,,13.01920634920635,
9,42,3,,1,,13.238140589569161,
9,45,4,,1,,13.45858276643991,
10,45,1,,1,,13.679024943310658,
10,34,2,,1,,13.899863945578232,
10,34,3,,1,,14.120702947845805,
10,50,4,,1,,14.339331065759637,
11,50,1,Eb7,1,,14.55795918367347,
11,45,2,,1,,14.769047619047619,
11,45,3,,1,,14.980136054421768,
11,49,4,,1,,15.200986394557823,
12,47,1,,1,,15.421836734693878,
12,48,2,,1,,15.635680272108843,
12,49,3,,1,,15.84952380952381,
12,49,4,,1,,16.069160997732425,
13,49,1,Bb7,1,,16.288798185941044,
13,49,2,,1,,16.50812925170068,
13,48,3,,1,,16.727460317460316,
13,44,4,,1,,16.953310657596372,
14,45,1,,1,,17.179160997732428,
14,43,2,,1,,17.397845804988663,
14,42,3,,1,,17.616530612244897,
14,42,4,,1,,17.845034013605442,
15,34,1,Bb7,1,,18.073537414965987,
15,40,2,,1,,18.276473922902497,
15,45,3,,1,,18.479410430839003,
15,45,4,,1,,18.703049886621315,
16,42,1,,1,,18.926689342403627,
16,43,2,,1,,19.15034013605442,
16,48,3,,1,,19.373990929705215,
16,48,4,,1,,19.594727891156463,
17,49,1,C-7,1,,19.81546485260771,
17,41,2,,1,,20.02168934240363,
17,42,3,,1,,20.227913832199548,
17,43,4,,1,,20.443378684807257,
18,44,1,,1,,20.658843537414967,
18,48,2,,1,,20.87767573696145,
18,45,3,,1,,21.096507936507937,
18,45,4,,1,,21.31231292517007,
19,43,1,F7,1,,21.5281179138322,
19,48,2,,1,,21.729444444444447,
19,34,3,,1,,21.93077097505669,
19,47,4,,1,,22.156496598639457,
20,48,1,,1,,22.38222222222222,
20,48,2,,1,,22.592947845804986,
