bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,38,4,,0,I1,2.7936961451247164,
1,47,1,F6,1,A1,3.1346938775510202,4/4
1,40,2,,1,,3.475646258503401,
1,41,3,,1,,3.815419501133787,
1,42,4,,1,,4.162176870748299,
2,43,1,,1,,4.489795918367347,
2,45,2,,1,,4.821043083900227,
2,48,3,,1,,5.154829931972789,
2,42,4,,1,,5.507482993197279,
3,44,1,Db7,1,,5.848979591836735,
3,50,2,,1,,6.187755102040816,
3,44,3,,1,,6.504489795918367,
3,44,4,,1,,6.846984126984127,
4,45,1,D7,1,,7.191836734693878,
4,51,2,,1,,7.542018140589569,
4,42,3,,1,,7.865759637188209,
4,38,4,,1,,8.183673469387756,
5,50,1,G-7,1,,8.507210884353741,
5,38,2,,1,,8.840997732426304,
5,40,3,,1,,9.180589569160997,
5,50,4,,1,,9.517278911564626,
6,40,1,C7,1,,9.849750566893425,
6,43,2,,1,,10.194195011337868,
6,50,3,,1,,10.533151927437642,
6,50,4,,1,,10.858231292517006,
7,48,1,F6,1,,11.194920634920635,
7,45,2,,1,,11.517097505668934,
7,45,3,,1,,11.856235827664399,
7,50,4,,1,,12.195124716553288,
8,50,1,G-7,1,,12.51265306122449,
8,42,2,,1,,12.86156462585034,
8,43,3,C7,1,,13.197641723356009,
8,50,4,,1,,13.51546485260771,
9,44,1,F6,1,A2,13.839092970521541,
9,48,2,,1,,14.173061224489796,
9,43,3,,1,,14.494172335600908,
9,38,4,,1,,14.836349206349206,
10,38,1,,1,,15.16326530612245,
10,38,2,,1,,15.495918367346938,
10,40,3,,1,,15.823038548752834,
10,44,4,,1,,16.159138321995464,
11,43,1,Db7,1,,16.50204081632653,
11,42,2,,1,,16.836734693877553,
11,51,3,,1,,17.17142857142857,
11,44,4,,1,,17.50938775510204,
12,45,1,D7,1,,17.835827664399094,
12,47,2,,1,,18.155102040816328,
12,49,3,,1,,18.494693877551022,
12,45,4,,1,,18.824489795918367,
13,38,1,G-7,1,,19.15918367346939,
13,40,2,,1,,19.502448979591836,
13,41,3,,1,,19.852312925170068,
13,38,4,,1,,20.18081632653061,
14,43,1,C7,1,,20.51707482993197,
14,40,2,,1,,20.866031746031744,
14,40,3,,1,,21.188208616780045,
14,40,4,,1,,21.51909297052154,
15,37,1,F6,1,,21.867392290249434,
15,40,2,,1,,22.187755102040818,
15,41,3,,1,,22.518367346938774,
15,42,4,,1,,22.863990929705217,
16,43,1,,1,,23.212607709750568,
16,45,2,,1,,23.542857142857144,
16,48,3,,1,,23.86122448979592,
16,40,4,,1,,24.180680272108845,
17,34,1,Eb7,1,B1,24.52027210884354,
17,50,2,,1,,24.856961451247166,
17,50,3,,1,,25.20235827664399,
17,44,4,,1,,25.527437641723356,
18,44,1,,1,,25.84671201814059,
18,42,2,,1,,26.174897959183674,
18,40,3,,1,,26.496054421768708,
18,50,4,,1,,26.819501133786847,
19,48,1,F6,1,,27.15798185941043,
19,40,2,,1,,27.492426303854874,
19,41,3,,1,,27.829342403628118,
19,42,4,,1,,28.1512925170068,
20,43,1,,1,,28.493786848072563,
20,45,2,,1,,28.818866213151928,
20,48,3,,1,,29.161360544217686,
20,42,4,,1,,29.489342403628118,
