bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,39,2,NC,0,I1,2.7540816326530613,
0,38,3,,0,,3.267641723356009,
0,50,4,,0,,3.7554195011337868,
1,43,1,C-6,1,A1,4.214671201814059,4/4
1,41,2,,1,,4.671383219954649,
1,43,3,,1,,5.128390022675737,
1,47,4,,1,,5.595215419501134,
2,50,1,Dm7b5,1,,6.052154195011338,
2,38,2,,1,,6.53859410430839,
2,45,3,G7,1,,7.02390022675737,
2,50,4,,1,,7.505986394557823,
3,43,1,C-6,1,,8.00201814058957,
3,41,2,,1,,8.483990929705216,
3,43,3,,1,,8.960385487528345,
3,47,4,,1,,9.481678004535148,
4,40,1,Asus7,1,,9.938662131519274,
4,47,2,,1,,10.40530612244898,
4,42,3,A7,1,,10.871904761904762,
4,44,4,,1,,11.329138321995465,
5,51,1,Absus7,1,,11.855827664399094,
5,49,2,,1,,12.34108843537415,
5,48,3,Ab7,1,,12.832993197278912,
5,42,4,,1,,13.299614512471654,
6,45,1,G79#,1,,13.785963718820861,
6,51,2,,1,,14.277891156462585,
6,50,3,,1,,14.74421768707483,
6,42,4,,1,,15.245895691609977,
7,43,1,C-,1,,15.712607709750566,
7,45,2,,1,,16.189342403628117,
7,42,3,,1,,16.68512471655329,
7,48,4,,1,,17.167233560090704,
8,50,1,G79#,1,,17.663265306122447,
8,38,2,,1,,18.14530612244898,
8,45,3,,1,,18.602222222222224,
8,50,4,,1,,19.087687074829933,
9,43,1,C-6,1,A2,19.56984126984127,
9,41,2,,1,,20.031632653061223,
9,43,3,,1,,20.53328798185941,
9,48,4,,1,,21.02401360544218,
10,38,1,Dm7b5,1,,21.516462585034013,
10,45,2,,1,,21.983174603174604,
10,48,3,G7,1,,22.489183673469388,
10,49,4,,1,,22.98002267573696,
11,43,1,C-6,1,,23.446893424036283,
11,43,2,,1,,23.913854875283448,
11,50,3,,1,,24.40562358276644,
11,51,4,,1,,24.88204081632653,
12,40,1,Asus7,1,,25.34875283446712,
12,40,2,,1,,25.825056689342404,
12,50,3,A7,1,,26.30718820861678,
12,40,4,,1,,26.7737641723356,
13,38,1,Eb-7,1,,27.27004535147392,
13,51,2,,1,,27.770498866213153,
