bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,37,1,Bb7,1,A1,2.9204081632653063,4/4
1,45,2,,1,,3.253560090702948,
1,50,3,,1,,3.610340136054422,
1,38,4,,1,,3.9488208616780045,
2,37,1,Eb7,1,,4.266462585034014,
2,37,2,,1,,4.613764172335601,
2,37,3,,1,,4.971859410430839,
2,37,4,,1,,5.304557823129252,
3,38,1,Bb7,1,,5.646439909297052,
3,37,2,,1,,5.979365079365079,
3,48,3,,1,,6.336439909297052,
3,37,4,,1,,6.669251700680272,
4,41,1,F-7,1,,7.002222222222223,
4,37,2,,1,,7.349591836734694,
4,38,3,Bb7,1,,7.702040816326531,
4,37,4,,1,,8.02501133786848,
5,37,1,Eb7,1,,8.382539682539683,
5,38,2,,1,,8.725034013605443,
5,37,3,,1,,9.092743764172335,
5,37,4,,1,,9.42469387755102,
6,41,1,,1,,9.763083900226757,
6,37,2,,1,,10.114625850340136,
6,37,3,,1,,10.452902494331065,
6,49,4,,1,,10.820657596371882,
7,48,1,Bb7,1,,11.163333333333334,
7,45,2,,1,,11.485351473922902,
7,50,3,,1,,11.852993197278911,
7,37,4,,1,,12.176281179138321,
8,52,1,G7,1,,12.543219954648526,
8,51,2,,1,,12.876054421768707,
8,50,3,,1,,13.238321995464853,
8,44,4,,1,,13.575736961451247,
9,43,1,C-7,1,,13.908684807256236,
9,50,2,,1,,14.230839002267574,
9,42,3,,1,,14.588934240362812,
9,47,4,,1,,14.921904761904761,
10,48,1,F7,1,,15.27344671201814,
10,40,2,,1,,15.596621315192744,
10,45,3,,1,,15.929478458049887,
10,43,4,,1,,16.2865306122449,
11,41,1,Bb7,1,,16.619433106575965,
11,40,2,,1,,16.967301587301588,
11,41,3,,1,,17.334784580498866,
11,42,4,,1,,17.65707482993197,
12,43,1,F7,1,,17.989931972789115,
12,50,2,,1,,18.34233560090703,
12,48,3,,1,,18.670068027210885,
12,40,4,,1,,19.00312925170068,
13,41,1,Bb7,2,A1,19.33501133786848,
13,42,2,,2,,19.702857142857145,
13,43,3,,2,,20.02609977324263,
13,45,4,,2,,20.36780045351474,
14,34,1,Eb7,2,,20.710408163265306,
14,47,2,,2,,21.03904761904762,
14,48,3,,2,,21.390544217687076,
14,50,4,,2,,21.713650793650793,
15,51,1,Bb7,2,,22.045668934240364,
15,37,2,,2,,22.349160997732426,
15,37,3,,2,,22.71718820861678,
15,37,4,,2,,23.04981859410431,
16,51,1,F-7,2,,23.401360544217688,
16,50,2,,2,,23.734126984126984,
16,48,3,Bb7,2,,24.072471655328798,
16,41,4,,2,,24.414126984126984,
17,34,1,Eb7,2,,24.74687074829932,
17,50,2,,2,,25.0797052154195,
17,48,3,,2,,25.417936507936506,
17,41,4,,2,,25.759727891156462,
18,34,1,,2,,26.092539682539684,
18,47,2,,2,,26.44092970521542,
18,50,3,,2,,26.773061224489798,
18,49,4,,2,,27.105759637188207,
19,48,1,Bb7,2,,27.45297052154195,
19,37,2,,2,,27.785963718820863,
