bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,42,1,F79#,1,A1,11.905895691609977,4/4
1,42,2,,1,,12.450952380952382,
1,43,3,,1,,12.964875283446712,
1,42,4,,1,,13.466507936507936,
2,42,1,,1,,13.980521541950113,
2,48,2,,1,,14.495895691609977,
2,41,3,,1,,14.995668934240364,
2,43,4,,1,,15.50952380952381,
3,42,1,,1,,16.03278911564626,
3,42,2,,1,,16.544399092970522,
3,42,3,,1,,17.068956916099772,
3,47,4,,1,,17.56063492063492,
4,48,1,,1,,18.075419501133787,
4,48,2,,1,,18.596281179138323,
4,42,3,,1,,19.101315192743765,
4,43,4,,1,,19.62328798185941,
5,42,1,,1,,20.131700680272107,
5,43,2,,1,,20.6397052154195,
5,43,3,,1,,21.15918367346939,
5,47,4,,1,,21.675079365079366,
6,47,1,,1,,22.167165532879817,
6,48,2,,1,,22.692086167800454,
6,42,3,,1,,23.212244897959184,
6,43,4,,1,,23.728367346938775,
7,42,1,,1,,24.243061224489797,
7,42,2,,1,,24.754784580498868,
7,43,3,,1,,25.269115646258502,
7,47,4,,1,,25.791541950113377,
8,47,1,,1,,26.299501133786848,
8,48,2,,1,,26.808163265306124,
8,41,3,,1,,27.31984126984127,
8,42,4,,1,,27.842244897959183,
9,41,1,,1,,28.335260770975058,
9,42,2,,1,,28.856598639455783,
9,42,3,,1,,29.38485260770975,
9,42,4,,1,,29.885215419501133,
10,47,1,,1,,30.38702947845805,
10,47,2,,1,,30.922086167800455,
10,42,3,,1,,31.422585034013604,
10,42,4,,1,,31.918979591836734,
11,42,1,,1,,32.429319727891155,
11,42,2,,1,,32.920702947845804,
11,42,3,,1,,33.42467120181406,
11,47,4,,1,,33.936303854875284,
12,47,1,,1,,34.437709750566896,
12,47,2,,1,,34.95281179138322,
12,42,3,,1,,35.46460317460318,
12,42,4,,1,,35.959002267573695,
13,41,1,,1,,36.4756462585034,
13,41,2,,1,,36.96326530612245,
13,42,3,,1,,37.496303854875286,
13,42,4,,1,,38.03083900226758,
14,47,1,,1,,38.51024943310657,
14,48,2,,1,,39.0237641723356,
14,42,3,,1,,39.53616780045351,
14,43,4,,1,,40.04897959183673,
15,42,1,,1,,40.575260770975056,
15,41,2,,1,,41.096326530612245,
15,42,3,,1,,41.63197278911564,
15,41,4,,1,,42.12392290249433,
16,41,1,,1,,42.65065759637188,
16,41,2,,1,,43.1609977324263,
16,41,3,,1,,43.684172335600906,
16,42,4,,1,,44.19718820861678,
17,41,1,,1,,44.69789115646258,
17,41,2,,1,,45.19077097505669,
17,42,3,,1,,45.70455782312925,
17,42,4,,1,,46.22696145124716,
18,42,1,,1,,46.74111111111111,
18,41,2,,1,,47.233378684807256,
18,42,3,,1,,47.73374149659864,
18,43,4,,1,,48.24954648526077,
19,41,1,,1,,48.77092970521542,
19,41,2,,1,,49.28458049886621,
19,42,3,,1,,49.80113378684807,
19,42,4,,1,,50.34224489795918,
20,42,1,,1,,50.83469387755102,
20,42,2,,1,,51.35825396825397,
20,37,3,,1,,51.850362811791385,
20,43,4,,1,,52.36342403628118,
21,42,1,,1,,52.90086167800454,
21,41,2,,1,,53.42197278911565,
21,42,3,,1,,53.94528344671202,
21,42,4,,1,,54.458503401360545,
22,41,1,,1,,55.00274376417234,
22,41,2,,1,,55.495124716553285,
22,42,3,,1,,56.00931972789115,
22,43,4,,1,,56.510612244897956,
23,41,1,,1,,57.00260770975056,
23,41,2,,1,,57.52453514739229,
23,42,3,,1,,58.03900226757369,
23,42,4,,1,,58.531609977324266,
24,42,1,,1,,59.06122448979592,
24,42,2,,1,,59.57551020408163,
24,48,3,,1,,60.102539682539685,
24,42,4,,1,,60.61224489795919,
25,41,1,,1,,61.120385487528345,
25,41,2,,1,,61.60938775510204,
25,42,3,,1,,62.13061224489796,
25,42,4,,1,,62.653242630385485,
26,42,1,,1,,63.16972789115646,
26,47,2,,1,,63.65714285714286,
26,41,3,,1,,64.15963718820862,
26,42,4,,1,,64.72562358276645,
27,41,1,,1,,65.25426303854876,
27,42,2,,1,,65.7469387755102,
27,42,3,,1,,66.2478231292517,
27,42,4,,1,,66.7740589569161,
28,41,1,,1,,67.28503401360544,
28,41,2,,1,,67.77678004535147,
28,41,3,,1,,68.25557823129252,
28,43,4,,1,,68.77024943310657,
29,42,1,,1,,69.30578231292517,
29,42,2,,1,,69.80643990929705,
29,41,3,,1,,70.31977324263039,
29,42,4,,1,,70.8237641723356,
30,42,1,,1,,71.33061224489796,
30,42,2,,1,,71.82766439909297,
30,37,3,,1,,72.35054421768707,
30,43,4,,1,,72.88614512471655,
31,42,1,,1,,73.37827664399093,
31,42,2,,1,,73.86557823129252,
31,42,3,,1,,74.37063492063493,
31,42,4,,1,,74.88471655328799,
32,42,1,,1,,75.38714285714286,
32,41,2,,1,,75.88351473922903,
32,42,3,,1,,76.3914058956916,
32,37,4,,1,,76.89399092970521,
33,41,1,,1,,77.43095238095238,
33,41,2,,1,,77.93049886621316,
33,42,3,,1,,78.40020408163265,
33,42,4,,1,,78.91367346938776,
34,39,1,,1,,79.42857142857143,
34,37,2,,1,,79.92845804988661,
34,37,3,,1,,80.44213151927438,
34,38,4,,1,,80.9534693877551,
35,37,1,,1,,81.44689342403628,
35,37,2,,1,,81.94902494331066,
35,37,3,,1,,82.4453514739229,
35,42,4,,1,,82.94390022675736,
36,42,1,,1,,83.45727891156463,
36,41,2,,1,,83.95918367346938,
36,41,3,,1,,84.47263038548753,
36,48,4,,1,,84.96426303854875,
37,37,1,,1,,85.50827664399092,
37,41,2,,1,,86.02231292517007,
37,37,3,,1,,86.52360544217687,
37,41,4,,1,,86.97303854875284,
38,42,1,,1,,87.46501133786848,
38,48,2,,1,,87.95761904761905,
38,41,3,,1,,88.4367120181406,
38,41,4,,1,,88.95018140589569,
39,43,1,,1,,89.44265306122449,
39,41,2,,1,,89.9226530612245,
39,43,3,,1,,90.41467120181406,
39,42,4,,1,,90.93061224489796,
40,41,1,,1,,91.45104308390023,
40,41,2,,1,,91.94349206349206,
40,42,3,,1,,92.43580498866213,
40,42,4,,1,,92.98049886621315,
41,41,1,,1,,93.47281179138322,
41,42,2,,1,,93.99469387755101,
41,42,3,,1,,94.48727891156463,
41,41,4,,1,,95.00074829931972,
42,48,1,,1,,95.50412698412698,
42,48,2,,1,,95.97256235827665,
42,37,3,,1,,96.46530612244898,
42,41,4,,1,,96.95755102040816,
43,42,1,,1,,97.48117913832199,
43,41,2,,1,,97.97297052154195,
43,42,3,,1,,98.48571428571428,
43,47,4,,1,,99.00827664399092,
44,47,1,,1,,99.50056689342404,
44,47,2,,1,,99.9801133786848,
44,41,3,,1,,100.51907029478458,
44,48,4,,1,,101.03013605442177,
45,43,1,,1,,101.5524716553288,
45,42,2,,1,,102.08759637188209,
45,43,3,,1,,102.58888888888889,
45,42,4,,1,,103.10331065759637,
46,41,1,,1,,103.62562358276644,
46,42,2,,1,,104.09954648526077,
46,41,3,,1,,104.61020408163266,
46,38,4,,1,,105.1237641723356,
47,42,1,,1,,105.6472335600907,
47,41,2,,1,,106.15002267573696,
47,42,3,,1,,106.67755102040816,
47,47,4,,1,,107.19671201814059,
48,41,1,,1,,107.72235827664399,
48,41,2,,1,,108.21131519274377,
48,41,3,,1,,108.70378684807257,
48,37,4,,1,,109.2324716553288,
49,42,1,,1,,109.71945578231292,
49,41,2,,1,,110.24104308390022,
49,42,3,,1,,110.73383219954648,
