bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,38,1,,0,I1,1.511700680272109,
-2,44,2,,0,,1.8351020408163266,
-2,43,3,,0,,2.1751020408163266,
-2,50,4,,0,,2.5243990929705213,
-1,48,1,NC,0,,2.8327891156462583,
-1,50,2,,0,,3.1808163265306124,
-1,45,3,,0,,3.5294331065759637,
-1,50,4,,0,,3.877732426303855,
0,50,1,,0,,4.214421768707483,
0,43,2,,0,,4.561791383219955,
0,47,3,,0,,4.903310657596372,
0,50,4,,0,,5.24609977324263,
1,48,1,F7,1,A1,5.5940589569161,4/4
1,40,2,,1,,5.935963718820862,
1,42,3,,1,,6.284263038548753,
1,47,4,,1,,6.636598639455782,
2,41,1,Bb7,1,,6.983854875283447,
2,48,2,,1,,7.316848072562358,
2,42,3,,1,,7.675034013605442,
2,49,4,,1,,8.036190476190477,
3,43,1,F7,1,,8.384263038548752,
3,47,2,,1,,8.726235827664398,
3,48,3,,1,,9.083968253968253,
3,50,4,,1,,9.442199546485261,
4,51,1,,1,,9.765034013605442,
4,48,2,,1,,10.116621315192743,
4,34,3,,1,,10.455056689342404,
4,42,4,,1,,10.796712018140589,
5,41,1,Bb7,1,,11.154875283446712,
5,48,2,,1,,11.497414965986394,
5,41,3,,1,,11.829501133786849,
5,51,4,,1,,12.187505668934241,
6,50,1,,1,,12.530226757369615,
6,51,2,,1,,12.877460317460317,
6,38,3,,1,,13.210498866213152,
6,41,4,,1,,13.568140589569161,
7,50,1,F7,1,,13.90986394557823,
7,43,2,,1,,14.252380952380953,
7,45,3,,1,,14.585260770975056,
7,47,4,,1,,14.92283446712018,
8,47,1,,1,,15.265351473922902,
8,38,2,,1,,15.623514739229025,
8,34,3,,1,,15.95639455782313,
8,51,4,,1,,16.298185941043084,
9,50,1,G-7,1,,16.626621315192743,
9,38,2,,1,,16.97879818594104,
9,50,3,,1,,17.310725623582766,
9,41,4,,1,,17.66888888888889,
10,38,1,C7,1,,18.001678004535147,
10,50,2,,1,,18.333650793650794,
10,49,3,,1,,18.672018140589568,
10,43,4,,1,,19.00485260770975,
11,48,1,F7,1,,19.353832199546485,
11,40,2,,1,,19.70498866213152,
11,45,3,,1,,20.03716553287982,
11,42,4,,1,,20.379773242630385,
12,42,1,C7,1,,20.717959183673468,
12,43,2,,1,,21.04034013605442,
12,40,3,,1,,21.373197278911565,
12,37,4,,1,,21.695419501133788,
13,47,1,F7,2,A1,22.047732426303856,
13,42,2,,2,,22.395827664399093,
13,45,3,,2,,22.73750566893424,
13,42,4,,2,,23.095578231292517,
14,41,1,Bb7,2,,23.438412698412698,
14,41,2,,2,,23.780181405895693,
14,42,3,,2,,24.118503401360545,
14,42,4,,2,,24.451451247165533,
15,42,1,F7,2,,24.799591836734695,
15,45,2,,2,,25.15111111111111,
15,47,3,,2,,25.493741496598638,
15,48,4,,2,,25.821678004535148,
16,43,1,,2,,26.18401360544218,
16,45,2,,2,,26.541972789115647,
16,34,3,,2,,26.873854875283445,
16,42,4,,2,,27.221904761904764,
17,41,1,Bb7,2,,27.554036281179137,
17,48,2,,2,,27.896780045351473,
17,41,3,,2,,28.239319727891157,
17,51,4,,2,,28.586462585034013,
18,50,1,,2,,28.919297052154196,
18,50,2,,2,,29.267687074829933,
18,42,3,,2,,29.59956916099773,
18,38,4,,2,,29.9224716553288,
19,38,1,F7,2,,30.27501133786848,
19,38,2,,2,,30.612426303854875,
19,38,3,,2,,30.955283446712016,
19,44,4,,2,,31.30049886621315,
20,43,1,,2,,31.62560090702948,
20,44,2,,2,,31.978163265306122,
20,51,3,,2,,32.320680272108845,
20,45,4,,2,,32.64290249433107,
21,50,1,G-7,2,,32.99104308390023,
21,50,2,,2,,33.332244897959185,
21,50,3,,2,,33.68113378684807,
21,50,4,,2,,34.033582766439906,
22,48,1,C7,2,,34.35666666666667,
22,47,2,,2,,34.713582766439906,
22,43,3,,2,,35.0656462585034,
22,41,4,,2,,35.413764172335604,
23,40,1,F7,2,,35.75873015873016,
23,43,2,,2,,36.094149659863945,
23,45,3,,2,,36.417142857142856,
23,47,4,,2,,36.75986394557823,
24,48,1,C7,2,,37.116893424036284,
24,38,2,,2,,37.4497052154195,
24,50,3,,2,,37.781678004535145,
24,43,4,,2,,38.13990929705216,
25,48,1,F7,3,A1,38.49578231292517,
25,40,2,,3,,38.85569160997733,
25,45,3,NC,3,,39.20399092970521,
