bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,43,1,,0,I1,1.552108843537415,
-1,50,2,,0,,1.950408163265306,
-1,44,3,,0,,2.3538321995464853,
-1,43,4,,0,,2.7523356009070294,
0,43,1,,0,,3.1479591836734695,
0,50,2,,0,,3.544013605442177,
0,44,3,,0,,3.9224263038548752,
0,42,4,,0,,4.318616780045351,
1,43,1,Cj7,1,A1,4.715283446712018,4/4
1,43,2,,1,,5.124489795918367,
1,37,3,A-7,1,,5.544081632653061,
1,50,4,,1,,5.941179138321996,
2,51,1,Abj7,1,,6.337120181405895,
2,41,2,,1,,6.752244897959184,
2,42,3,Db7,1,,7.148095238095238,
2,43,4,,1,,7.5547392290249435,
3,43,1,Cj7,1,,7.960408163265306,
3,50,2,,1,,8.346802721088435,
3,34,3,Eb7,1,,8.742380952380952,
3,41,4,,1,,9.14047619047619,
4,45,1,D7,1,,9.526598639455782,
4,37,2,,1,,9.923310657596373,
4,44,3,Db7,1,,10.319251700680272,
4,43,4,,1,,10.73469387755102,
5,43,1,Cj7,1,,11.122947845804989,
5,50,2,,1,,11.526530612244898,
5,50,3,A-7,1,,11.915079365079364,
5,50,4,,1,,12.310952380952381,
6,51,1,Abj7,1,,12.699455782312926,
6,41,2,,1,,13.0759410430839,
6,44,3,Db7,1,,13.47185941043084,
6,43,4,,1,,13.850272108843537,
7,43,1,Cj7,1,,14.246394557823129,
7,50,2,,1,,14.634920634920634,
7,41,3,Bb7,1,,15.020997732426304,
7,37,4,,1,,15.436643990929705,
8,51,1,Ab7,1,,15.815079365079365,
8,41,2,,1,,16.211065759637187,
8,50,3,Gb7,1,,16.59718820861678,
8,47,4,,1,,17.0037641723356,
9,48,1,Fj7,1,B1,17.403356009070293,
9,45,2,,1,,17.787120181405896,
9,48,3,D-7,1,,18.211111111111112,
9,49,4,,1,,18.589727891156464,
10,50,1,Dbj7,1,,19.003038548752833,
10,51,2,,1,,19.39154195011338,
10,44,3,Gb7,1,,19.797437641723356,
10,43,4,,1,,20.21174603174603,
11,48,1,Fj7,1,,20.60893424036281,
11,48,2,,1,,20.977460317460316,
11,51,3,Ab7,1,,21.391814058956918,
11,48,4,,1,,21.787573696145124,
12,50,1,G7,1,,22.19342403628118,
12,50,2,,1,,22.589297052154194,
12,44,3,Db7,1,,22.995396825396824,
12,44,4,,1,,23.39140589569161,
13,43,1,Cj7,1,,23.789637188208616,
13,43,2,,1,,24.185510204081634,
13,37,3,A-7,1,,24.592108843537414,
13,40,4,,1,,24.987755102040815,
14,51,1,Abj7,1,,25.374126984126985,
14,51,2,,1,,25.769886621315194,
14,44,3,Db7,1,,26.176530612244896,
14,42,4,,1,,26.554263038548754,
15,43,1,Cj7,1,,26.960113378684806,
15,50,2,,1,,27.338480725623583,
15,51,3,Bb7,1,,27.734263038548754,
15,44,4,,1,,28.12140589569161,
16,43,1,Ab7,1,,28.50888888888889,
16,50,2,,1,,28.905102040816328,
16,47,3,G7,1,,29.29342403628118,
16,50,4,,1,,29.707732426303856,
