bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-31,37,1,D7,0,I,6.9040589569161,
-30,45,1,,0,,7.215873015873016,
-29,45,1,,0,,7.530612244897959,
-28,45,1,,0,,7.830748299319728,
-27,45,1,,0,,8.134875283446712,
-26,48,1,,0,,8.434399092970521,
-25,45,1,,0,,8.733106575963719,
-24,48,1,,0,,9.044897959183674,
-23,45,1,,0,,9.379433106575963,
-22,33,1,,0,,9.681632653061225,
-21,45,1,,0,,9.985056689342404,
-20,45,1,,0,,10.280340136054422,
-19,33,1,,0,,10.571700680272109,
-18,45,1,,0,,10.85954648526077,
-17,33,1,,0,,11.135895691609978,
-16,45,1,,0,,11.447437641723356,
-15,45,1,,0,,11.754625850340137,
-14,33,1,,0,,12.041519274376418,
-13,33,1,,0,,12.351020408163265,
-12,45,1,,0,,12.66482993197279,
-11,33,1,,0,,12.978344671201814,
-10,45,1,,0,,13.291746031746031,
-9,33,1,,0,,13.576462585034013,
-8,45,1,,0,,13.865895691609976,
-7,45,1,,0,,14.165238095238095,
-6,33,1,,0,,14.446167800453514,
-5,33,1,,0,,14.746825396825397,
-4,45,1,,0,,15.031768707482993,
-3,45,1,,0,,15.328049886621315,
-2,37,1,,0,,15.643514739229024,
-1,50,1,,0,,15.94281179138322,
0,50,1,,0,,16.257732426303853,
1,45,1,D7,1,A1,16.556303854875285,1/4
2,33,1,,1,,16.84122448979592,
3,33,1,,1,,17.12909297052154,
4,45,1,,1,,17.41657596371882,
5,45,1,,1,,17.695827664399093,
6,49,1,,1,,17.979591836734695,
7,50,1,,1,,18.293877551020408,
8,50,1,,1,,18.614489795918367,
9,50,1,,1,,18.90342403628118,
10,50,1,,1,,19.171133786848074,
11,50,1,,1,,19.487936507936507,
12,50,1,,1,,19.78936507936508,
13,50,1,,1,,20.0978231292517,
14,33,1,,1,,20.38020408163265,
15,44,1,,1,,20.677551020408163,
16,50,1,,1,,20.986961451247165,
17,45,1,,1,,21.28079365079365,
18,45,1,,1,,21.550090702947845,
19,45,1,,1,,21.84360544217687,
20,45,1,,1,,22.16734693877551,
21,45,1,,1,,22.477414965986394,
22,45,1,,1,,22.776439909297054,
23,50,1,,1,,23.08424036281179,
24,50,1,,1,,23.36190476190476,
25,47,1,,1,,23.670430839002268,
26,40,1,,1,,23.98498866213152,
27,47,1,,1,,24.30170068027211,
28,47,1,,1,,24.620136054421767,
29,40,1,,1,,24.92426303854875,
30,47,1,,1,,25.212154195011337,
31,47,1,,1,,25.501201814058955,
32,47,1,,1,,25.80546485260771,
33,45,1,,1,,26.090430839002266,
34,45,1,,1,,26.385532879818594,
35,33,1,,1,,26.677278911564628,
36,33,1,,1,,26.967414965986393,
37,33,1,G7,1,,27.289909297052155,
38,45,1,,1,,27.57965986394558,
39,40,1,,1,,27.86582766439909,
40,40,1,,1,,28.171451247165532,
41,45,1,,1,,28.439455782312926,
42,45,1,,1,,28.73578231292517,
43,43,1,,1,,29.040884353741497,
44,43,1,,1,,29.330861678004535,
45,40,1,,1,,29.633990929705217,
46,40,1,,1,,29.940294784580498,
47,42,1,,1,,30.250226757369614,
48,42,1,,1,,30.53235827664399,
49,43,1,,1,,30.81800453514739,
50,43,1,,1,,31.114285714285714,
51,40,1,,1,,31.402834467120183,
52,40,1,,1,,31.708956916099773,
53,45,1,,1,,31.989160997732426,
54,47,1,,1,,32.285714285714285,
55,40,1,,1,,32.59133786848073,
56,45,1,,1,,32.88224489795918,
57,50,1,,1,,33.166712018140586,
58,50,1,,1,,33.44605442176871,
59,48,1,,1,,33.72861678004535,
60,48,1,,1,,34.039138321995466,
61,45,1,,1,,34.326530612244895,
62,45,1,,1,,34.5887074829932,
63,50,1,,1,,34.879274376417236,
64,50,1,,1,,35.18514739229025,
65,37,1,,1,,35.48083900226757,
66,37,1,,1,,35.776598639455784,
67,50,1,,1,,36.103537414965984,
68,50,1,,1,,36.406122448979595,
69,48,1,,1,,36.70510204081633,
70,49,1,,1,,36.99725623582766,
71,45,1,,1,,37.29589569160998,
72,45,1,,1,,37.604353741496595,
