bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,43,2,NC,0,I1,2.1826984126984126,
-1,42,3,,0,,2.6692290249433106,
-1,48,4,,0,,3.1153968253968256,
0,50,1,,0,,3.591950113378685,
0,47,2,,0,,4.093582766439909,
0,40,3,,0,,4.579818594104308,
0,48,4,,0,,5.081473922902494,
1,43,1,C-7,1,A1,5.513401360544218,4/4
1,43,2,,1,,5.980226757369614,
1,50,3,,1,,6.481768707482993,
1,43,4,,1,,6.983424036281179,
2,38,1,G79b,1,,7.439410430839002,
2,50,2,,1,,7.9354195011337865,
2,38,3,,1,,8.407755102040817,
2,50,4,,1,,8.869024943310658,
3,43,1,C-7,1,,9.335827664399092,
3,43,2,,1,,9.808049886621315,
3,50,3,,1,,10.294421768707483,
3,51,4,,1,,10.786281179138323,
4,40,1,Asus7,1,,11.261678004535147,
4,42,2,,1,,11.754331065759636,
4,42,3,,1,,12.220090702947846,
4,40,4,,1,,12.716031746031746,
5,38,1,Ab7,1,,13.192743764172336,
5,49,2,,1,,13.649478458049886,
5,47,3,,1,,14.117732426303855,
5,40,4,,1,,14.590839002267574,
6,42,1,G79b,1,,15.049433106575965,
6,45,2,,1,,15.539954648526077,
6,50,3,,1,,16.023650793650795,
6,42,4,,1,,16.484875283446712,
7,43,1,C-7,1,,16.985396825396826,
7,41,2,,1,,17.467392290249432,
7,40,3,,1,,17.937414965986395,
7,38,4,,1,,18.41922902494331,
8,38,1,,1,,18.909750566893425,
8,45,2,,1,,19.36936507936508,
8,50,3,,1,,19.826938775510204,
8,42,4,,1,,20.279727891156462,
9,43,1,C-7,1,A2,20.743650793650794,
9,43,2,,1,,21.225714285714286,
9,50,3,,1,,21.6924716553288,
9,43,4,,1,,22.178775510204083,
10,38,1,G79b,1,,22.635555555555555,
10,50,2,,1,,23.127437641723358,
10,45,3,,1,,23.623514739229027,
10,50,4,,1,,24.12263038548753,
11,43,1,C-7,1,,24.59283446712018,
11,50,2,,1,,25.036916099773244,
11,40,3,,1,,25.515714285714285,
11,41,4,,1,,25.99204081632653,
12,40,1,Asus7,1,,26.474172335600908,
12,42,2,,1,,26.949773242630386,
12,47,3,,1,,27.406598639455783,
12,52,4,,1,,27.873219954648526,
13,51,1,Ab7,1,,28.330385487528346,
13,49,2,,1,,28.781972789115645,
13,46,3,,1,,29.273560090702947,
13,43,4,,1,,29.75018140589569,
14,45,1,G7,1,,30.18671201814059,
14,39,2,,1,,30.67297052154195,
14,38,3,,1,,31.140861678004534,
