bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,1,Dm7b5,0,I1,3.2127210884353743,
0,42,2,,0,,3.5142857142857142,
0,50,3,G7,0,,3.8213832199546487,
0,42,4,,0,,4.116553287981859,
1,43,1,C-6,1,A1,4.402993197278912,4/4
1,45,2,,1,,4.705918367346939,
1,45,3,,1,,5.019410430839002,
1,48,4,,1,,5.332857142857143,
2,45,1,Dm7b5,1,,5.6289795918367345,
2,37,2,,1,,5.933990929705216,
2,37,3,G79b,1,,6.219274376417234,
2,37,4,,1,,6.513265306122449,
3,43,1,C-6,1,,6.818253968253968,
3,38,2,,1,,7.112312925170068,
3,37,3,,1,,7.408367346938776,
3,37,4,,1,,7.703492063492064,
4,37,1,Dm7b5,1,,8.017120181405895,
4,37,2,,1,,8.32077097505669,
4,38,3,G79b,1,,8.615895691609976,
4,38,4,,1,,8.911201814058957,
5,43,1,C-6,1,,9.214920634920635,
5,37,2,,1,,9.511179138321996,
5,42,3,,1,,9.824603174603174,
5,43,4,,1,,10.1197052154195,
6,50,1,Gm7b5,1,,10.423582766439909,
6,38,2,,1,,10.726190476190476,
6,43,3,C79b,1,,11.040068027210884,
6,43,4,,1,,11.3259410430839,
7,37,1,F-7,1,,11.62108843537415,
7,37,2,,1,,11.92482993197279,
7,51,3,,1,,12.220997732426303,
7,37,4,,1,,12.516009070294784,
8,48,1,F-7,1,,12.795918367346939,
8,42,2,,1,,13.097573696145124,
8,45,3,,1,,13.40126984126984,
8,37,4,,1,,13.696666666666667,
9,49,1,A-7,1,,14.000362811791383,
9,37,2,,1,,14.295555555555556,
9,43,3,D7,1,,14.609160997732426,
9,43,4,,1,,14.89795918367347,
10,48,1,F-7,1,,15.180884353741497,
10,37,2,,1,,15.483673469387755,
10,51,3,Bb7,1,,15.789637188208618,
10,50,4,,1,,16.093469387755103,
11,50,1,Ebj7,1,,16.388662131519276,
11,47,2,,1,,16.69238095238095,
11,37,3,,1,,16.987551020408162,
11,37,4,,1,,17.291292517006802,
12,45,1,Dm7b5,1,,17.58628117913832,
12,48,2,,1,,17.890204081632653,
12,37,3,G7,1,,18.203605442176872,
12,38,4,,1,,18.49893424036281,
13,43,1,Cj7,1,,18.80265306122449,
13,39,2,,1,,19.09888888888889,
13,37,3,,1,,19.4115873015873,
13,37,4,,1,,19.697709750566894,
14,37,1,Dm7b5,1,,19.993015873015874,
14,37,2,,1,,20.28829931972789,
14,37,3,G7,1,,20.59204081632653,
14,37,4,,1,,20.888231292517005,
15,43,1,C-6,1,A2,21.183356009070295,
15,50,2,,1,,21.477120181405894,
15,47,3,,1,,21.772517006802723,
15,43,4,,1,,22.07625850340136,
16,45,1,Dm7b5,1,,22.38136054421769,
16,48,2,,1,,22.67532879818594,
16,37,3,G79b,1,,22.980362811791384,
16,42,4,,1,,23.274285714285714,
17,43,1,C-6,1,,23.569342403628117,
17,37,2,,1,,23.882743764172336,
17,42,3,,1,,24.169183673469387,
17,43,4,,1,,24.473968253968255,
18,45,1,Dm7b5,1,,24.76800453514739,
18,37,2,,1,,25.06421768707483,
18,37,3,G79b,1,,25.367074829931973,
18,42,4,,1,,25.663265306122447,
19,43,1,C-6,1,,25.958367346938775,
19,45,2,,1,,26.26185941043084,
19,42,3,,1,,26.55721088435374,
19,48,4,,1,,26.84360544217687,
20,38,1,Gm7b5,1,,27.12904761904762,
20,50,2,,1,,27.43278911564626,
20,50,3,C79b,1,,27.72780045351474,
20,37,4,,1,,28.014172335600907,
21,48,1,F-7,1,,28.30952380952381,
21,43,2,,1,,28.623106575963718,
21,37,3,,1,,28.926848072562358,
21,51,4,,1,,29.212290249433106,
22,37,1,F-7,1,,29.50764172335601,
22,37,2,,1,,29.79374149659864,
22,37,3,,1,,30.096666666666668,
22,45,4,,1,,30.402585034013605,
23,37,1,A-7,1,,30.697823129251702,
23,37,2,,1,,31.001632653061225,
23,37,3,D7,1,,31.29684807256236,
23,37,4,,1,,31.6,
24,38,1,F-7,1,,31.8859410430839,
24,38,2,,1,,32.189637188208614,
24,37,3,Bb7,1,,32.49569160997732,
24,37,4,,1,,32.78367346938776,
25,37,1,Ebj7,1,,33.06671201814059,
25,37,2,,1,,33.37036281179138,
25,37,3,,1,,33.65566893424036,
25,37,4,,1,,33.96165532879819,
26,37,1,Dm7b5,1,,34.26544217687075,
26,42,2,,1,,34.57809523809524,
26,37,3,G7,1,,34.87755102040816,
26,37,4,,1,,35.19755102040816,
27,43,1,Cj7,1,,35.49072562358277,
27,47,2,,1,,35.7966439909297,
27,48,3,,1,,36.1002947845805,
27,37,4,,1,,36.39591836734694,
28,37,1,,1,,36.68943310657596,
28,37,2,,1,,37.004285714285714,
28,37,3,,1,,37.30804988662131,
28,45,4,,1,,37.593492063492064,
29,37,1,Gm7b5,1,B1,37.879886621315194,
29,37,2,,1,,38.16503401360544,
29,37,3,,1,,38.47850340136054,
29,50,4,,1,,38.77390022675737,
30,37,1,C79b,1,,39.0775283446712,
30,43,2,,1,,39.383378684807255,
30,44,3,,1,,39.68628117913832,
30,37,4,,1,,39.99002267573696,
31,37,1,F-6,1,,40.30358276643991,
31,37,2,,1,,40.59956916099773,
31,50,3,,1,,40.8846485260771,
31,50,4,,1,,41.188367346938776,
32,37,1,,1,,41.48369614512472,
32,42,2,,1,,41.79725623582767,
32,45,3,,1,,42.1022902494331,
32,43,4,,1,,42.39628117913832,
33,37,1,Fm7b5,1,,42.69387755102041,
33,42,2,,1,,42.987755102040815,
33,48,3,,1,,43.26938775510204,
33,37,4,,1,,43.58648526077098,
34,50,1,Bb79b,1,,43.881791383219955,
34,51,2,,1,,44.18557823129252,
34,37,3,,1,,44.48931972789116,
34,47,4,,1,,44.77471655328798,
35,47,1,Ebj7,1,,45.073469387755104,
35,38,2,,1,,45.3559410430839,
35,37,3,,1,,45.65963718820862,
35,47,4,,1,,45.95591836734694,
36,45,1,Dm7b5,1,,46.26090702947846,
36,48,2,,1,,46.57451247165533,
36,37,3,G79b,1,,46.87816326530612,
36,42,4,,1,,47.1634693877551,
37,43,1,C-6,1,A3,47.45875283446712,
37,43,2,,1,,47.752766439909294,
37,43,3,,1,,48.047936507936505,
37,37,4,,1,,48.35401360544218,
38,45,1,Dm7b5,1,,48.647891156462585,
38,37,2,,1,,48.96061224489796,
38,37,3,G79b,1,,49.26648526077098,
38,43,4,,1,,49.57142857142857,
39,43,1,C-6,1,,49.83734693877551,
39,42,2,,1,,50.131360544217685,
39,43,3,,1,,50.43730158730159,
39,43,4,,1,,50.72269841269841,
40,45,1,Dm7b5,1,,51.00807256235828,
40,37,2,,1,,51.30392290249433,
40,50,3,G79b,1,,51.60775510204082,
40,37,4,,1,,51.92038548752834,
41,43,1,C-6,1,,52.206757369614515,
41,45,2,,1,,52.510612244897956,
41,47,3,,1,,52.8156462585034,
41,43,4,,1,,53.11916099773243,
42,43,1,Ab7,1,,53.404603174603174,
42,49,2,,1,,53.71795918367347,
42,37,3,G7,1,,54.02385487528345,
42,37,4,,1,,54.32671201814059,
43,49,1,C-6,1,,54.61303854875283,
43,49,2,,1,,54.908367346938775,
43,37,3,,1,,55.212108843537415,
43,37,4,,1,,55.497301587301585,
44,42,1,Dm7b5,1,,55.7837641723356,
44,42,2,,1,,56.07904761904762,
44,43,3,G7,1,,56.38278911564626,
44,42,4,,1,,56.668344671201815,
45,43,1,C-6,2,A1,56.964444444444446,
45,37,2,,2,,57.24972789115646,
45,50,3,,2,,57.55478458049887,
45,42,4,,2,,57.84115646258503,
46,45,1,Dm7b5,2,,58.13426303854875,
46,48,2,,2,,58.43036281179138,
46,50,3,G79b,2,,58.73417233560091,
46,38,4,,2,,59.01925170068027,
47,43,1,C-6,2,,59.324444444444445,
47,45,2,,2,,59.61825396825397,
47,45,3,,2,,59.93403628117914,
47,48,4,,2,,60.236938775510204,
48,45,1,Dm7b5,2,,60.55052154195011,
48,48,2,,2,,60.84668934240363,
48,37,3,G79b,2,,61.14954648526077,
48,42,4,,2,,61.435691609977326,
49,43,1,C-6,2,,61.748390022675736,
49,42,2,,2,,62.05428571428571,
49,37,3,,2,,62.35814058956916,
49,37,4,,2,,62.66102040816327,
50,37,1,Gm7b5,2,,62.956870748299316,
50,42,2,,2,,63.26079365079365,
50,43,3,C79b,2,,63.55596371882086,
50,37,4,,2,,63.84124716553288,
51,37,1,F-7,2,,64.14718820861678,
51,37,2,,2,,64.4607029478458,
51,37,3,,2,,64.76358276643991,
51,37,4,,2,,65.05981859410431,
52,38,1,F-7,2,,65.36351473922902,
52,37,2,,2,,65.65884353741497,
52,37,3,,2,,65.97233560090703,
52,37,4,,2,,66.25766439909297,
53,37,1,A-7,2,,66.54378684807256,
53,37,2,,2,,66.85650793650794,
53,37,3,D7,2,,67.16022675736961,
53,42,4,,2,,67.47385487528345,
54,48,1,F-7,2,,67.778820861678,
54,37,2,,2,,68.07285714285715,
54,51,3,Bb7,2,,68.36895691609978,
54,38,4,,2,,68.66530612244898,
55,50,1,Ebj7,2,,68.97142857142858,
55,42,2,,2,,69.26530612244898,
55,43,3,,2,,69.57659863945578,
55,37,4,,2,,69.88054421768707,
56,37,1,Dm7b5,2,,70.18551020408164,
56,37,2,,2,,70.4892970521542,
56,37,3,G7,2,,70.78462585034013,
56,42,4,,2,,71.08825396825397,
57,43,1,Cj7,2,,71.38326530612245,
57,50,2,,2,,71.67950113378684,
57,50,3,,2,,71.98240362811791,
57,37,4,,2,,72.2959410430839,
58,47,1,Dm7b5,2,,72.59210884353742,
58,45,2,,2,,72.88734693877551,
58,38,3,G7,2,,73.19108843537416,
58,38,4,,2,,73.4734693877551,
59,43,1,C-6,2,A2,73.76326530612245,
59,45,2,,2,,74.08519274376417,
59,45,3,,2,,74.37909297052154,
59,43,4,,2,,74.68163265306123,
60,45,1,Dm7b5,2,,74.97551020408163,
60,48,2,,2,,75.2734693877551,
60,37,3,G79b,2,,75.56936507936508,
60,38,4,,2,,75.86455782312925,
61,43,1,C-6,2,,76.16843537414967,
61,45,2,,2,,76.46442176870748,
61,42,3,,2,,76.77791383219954,
61,48,4,,2,,77.06340136054422,
62,37,1,Dm7b5,2,,77.37700680272108,
62,43,2,,2,,77.66219954648525,
62,45,3,G79b,2,,77.95750566893425,
62,42,4,,2,,78.26120181405895,
63,45,1,C-6,2,,78.55748299319728,
63,43,2,,2,,78.86027210884353,
63,43,3,,2,,79.16600907029479,
63,48,4,,2,,79.46990929705215,
64,37,1,Gm7b5,2,,79.77360544217687,
64,38,2,,2,,80.06868480725623,
64,38,3,C79b,2,,80.37240362811791,
64,43,4,,2,,80.65791383219954,
65,37,1,F-7,2,,80.9531746031746,
65,37,2,,2,,81.25920634920635,
65,51,3,,2,,81.56285714285714,
65,37,4,,2,,81.86589569160998,
66,37,1,F-7,2,,82.17174603174603,
66,42,2,,2,,82.46462585034014,
66,45,3,,2,,82.77054421768707,
66,48,4,,2,,83.0743537414966,
67,49,1,A-7,2,,83.36952380952381,
67,37,2,,2,,83.68315192743763,
67,37,3,D7,2,,83.98687074829932,
67,37,4,,2,,84.28224489795919,
68,37,1,F-7,2,,84.567641723356,
68,43,2,,2,,84.88122448979591,
68,50,3,Bb7,2,,85.17628117913833,
68,37,4,,2,,85.47242630385487,
69,50,1,Ebj7,2,,85.76646258503402,
69,37,2,,2,,86.07140589569161,
69,50,3,,2,,86.38482993197279,
69,38,4,,2,,86.67027210884353,
70,45,1,Dm7b5,2,,86.96437641723357,
70,48,2,,2,,87.25931972789115,
70,50,3,G7,2,,87.55546485260771,
70,42,4,,2,,87.850589569161,
71,43,1,Cj7,2,,88.14462585034013,
71,47,2,,2,,88.45823129251701,
71,37,3,,2,,88.75349206349206,
71,37,4,,2,,89.03950113378684,
72,37,1,,2,,89.3347619047619,
72,38,2,,2,,89.64834467120181,
72,43,3,,2,,89.95204081632653,
72,43,4,,2,,90.23759637188209,
73,38,1,Gm7b5,2,B1,90.53383219954648,
73,37,2,,2,,90.84630385487529,
73,38,3,,2,,91.15015873015874,
73,45,4,,2,,91.4354195011338,
74,43,1,C79b,2,,91.74133786848073,
74,44,2,,2,,92.04512471655329,
74,45,3,,2,,92.34040816326531,
74,47,4,,2,,92.63569160997733,
75,37,1,F-6,2,,92.92975056689342,
75,37,2,,2,,93.21489795918367,
75,50,3,,2,,93.51108843537415,
75,50,4,,2,,93.80643990929705,
76,37,1,,2,,94.11988662131519,
76,42,2,,2,,94.4237641723356,
76,45,3,,2,,94.73730158730159,
76,47,4,,2,,95.03247165532879,
77,37,1,Fm7b5,2,,95.33625850340137,
77,50,2,,2,,95.63131519274377,
77,50,3,,2,,95.92662131519275,
77,37,4,,2,,96.23038548752834,
78,38,1,Bb79b,2,,96.52659863945578,
78,38,2,,2,,96.83922902494331,
78,37,3,,2,,97.15274376417234,
78,37,4,,2,,97.43904761904761,
79,37,1,Ebj7,2,,97.7469387755102,
79,38,2,,2,,98.03673469387755,
79,37,3,,2,,98.33326530612244,
79,38,4,,2,,98.64673469387755,
80,37,1,Dm7b5,2,,98.94201814058957,
80,50,2,,2,,99.23607709750567,
80,37,3,G79b,2,,99.54185941043085,
80,37,4,,2,,99.84473922902494,
81,37,1,C-6,2,A3,100.13095238095238,
81,43,2,,2,,100.43439909297052,
81,45,3,,2,,100.73945578231293,
81,37,4,,2,,101.04319727891156,
82,45,1,Dm7b5,2,,101.34834467120182,
82,48,2,,2,,101.65208616780045,
82,37,3,G79b,2,,101.96555555555555,
82,42,4,,2,,102.25106575963719,
83,43,1,C-6,2,,102.53632653061224,
83,45,2,,2,,102.83260770975056,
83,47,3,,2,,103.13632653061225,
83,48,4,,2,,103.44138321995464,
84,45,1,Dm7b5,2,,103.73528344671202,
84,49,2,,2,,104.04036281179138,
84,37,3,G79b,2,,104.35396825396825,
84,38,4,,2,,104.63945578231292,
85,43,1,C-6,2,,104.9265306122449,
85,37,2,,2,,105.22848072562358,
85,37,3,,2,,105.5340589569161,
85,37,4,,2,,105.83780045351475,
86,38,1,Ab7,2,,106.14165532879818,
86,37,2,,2,,106.43691609977324,
86,37,3,G7,2,,106.75038548752835,
86,50,4,,2,,107.05414965986395,
87,37,1,C-6,2,,107.34943310657596,
87,37,2,,2,,107.64453514739229,
87,48,3,,2,,107.94823129251701,
87,37,4,,2,,108.24428571428571,
88,42,1,Dm7b5,2,,108.55789115646259,
88,47,2,,2,,108.86070294784581,
88,43,3,G7,2,,109.1666439909297,
88,37,4,,2,,109.47038548752835,
89,43,1,C-6,3,A1,109.77142857142857,
89,43,2,,3,,110.06927437641724,
89,37,3,,3,,110.38179138321995,
89,44,4,,3,,110.66820861678005,
90,44,1,Dm7b5,3,,110.96351473922903,
90,37,2,,3,,111.2597052154195,
90,37,3,G79b,3,,111.57240362811791,
90,38,4,,3,,111.86843537414966,
91,43,1,C-6,3,,112.15380952380953,
91,42,2,,3,,112.46736961451248,
91,43,3,,3,,112.77115646258504,
91,44,4,,3,,113.06643990929705,
92,42,1,Dm7b5,3,,113.37018140589569,
92,37,2,,3,,113.67519274376417,
92,37,3,G79b,3,,113.97897959183673,
92,43,4,,3,,114.2742403628118,
93,43,1,C-6,3,,114.57959183673469,
93,50,2,,3,,114.8640589569161,
93,37,3,,3,,115.15925170068027,
93,47,4,,3,,115.46312925170068,
94,37,1,Gm7b5,3,,115.76684807256235,
94,37,2,,3,,116.07185941043083,
94,43,3,C79b,3,,116.36786848072562,
94,43,4,,3,,116.66122448979591,
95,48,1,F-7,3,,116.94714285714285,
95,37,2,,3,,117.24244897959184,
95,38,3,,3,,117.55589569160998,
95,37,4,,3,,117.85115646258504,
96,37,1,F-7,3,,118.15501133786849,
96,42,2,,3,,118.45993197278912,
96,45,3,,3,,118.76367346938775,
96,37,4,,3,,119.0674149659864,
97,37,1,A-7,3,,119.3525850340136,
97,43,2,,3,,119.66619047619048,
97,37,3,D7,3,,119.9818820861678,
97,43,4,,3,,120.27501133786848,
98,37,1,F-7,3,,120.58092970521542,
98,38,2,,3,,120.88469387755102,
98,43,3,Bb7,3,,121.18752834467121,
98,45,4,,3,,121.49349206349207,
99,42,1,Ebj7,3,,121.77877551020408,
99,37,2,,3,,122.09242630385488,
99,37,3,Ebj7,3,,122.39614512471655,
99,50,4,,3,,122.70113378684808,
100,45,1,Dm7b5,3,,122.99519274376418,
100,48,2,,3,,123.30875283446711,
100,37,3,G7,3,,123.62133786848072,
100,38,4,,3,,123.92734693877551,
101,50,1,Cj7,3,,124.23106575963719,
101,37,2,,3,,124.5437641723356,
101,38,3,,3,,124.83968253968254,
101,37,4,,3,,125.14256235827665,
102,37,1,Dm7b5,3,,125.44848072562358,
102,37,2,,3,,125.76210884353742,
102,37,3,G7,3,,126.0475283446712,
102,38,4,,3,,126.3512925170068,
103,37,1,C-6,3,A2,126.64655328798186,
103,37,2,,3,,126.95029478458049,
103,37,3,,3,,127.26387755102041,
103,37,4,,3,,127.57746031746032,
104,43,1,Dm7b5,3,,127.8724716553288,
104,45,2,,3,,128.16784580498867,
104,37,3,G79b,3,,128.4812471655329,
104,42,4,,3,,128.7667573696145,
105,37,1,C-6,3,,129.070589569161,
105,37,2,,3,,129.38414965986394,
105,37,3,,3,,129.6792970521542,
105,37,4,,3,,129.97551020408164,
106,38,1,Dm7b5,3,,130.28571428571428,
106,41,2,,3,,130.59154195011337,
106,50,3,G79b,3,,130.89746031746031,
106,50,4,,3,,131.19149659863945,
107,37,1,C-6,3,,131.4868707482993,
107,42,2,,3,,131.79061224489797,
107,43,3,,3,,132.09562358276645,
107,45,4,,3,,132.3809297052154,
108,37,1,Gm7b5,3,,132.68467120181407,
108,38,2,,3,,132.9982993197279,
108,38,3,C79b,3,,133.3118140589569,
108,43,4,,3,,133.60702947845806,
109,37,1,F-7,3,,133.91061224489795,
109,43,2,,3,,134.22630385487528,
109,42,3,,3,,134.52913832199548,
109,38,4,,3,,134.82539682539684,
110,51,1,F-7,3,,135.118231292517,
110,37,2,,3,,135.43197278911563,
110,37,3,,3,,135.71798185941043,
110,37,4,,3,,136.01326530612246,
111,37,1,A-7,3,,136.31920634920635,
111,37,2,,3,,136.62208616780046,
111,42,3,D7,3,,136.93562358276645,
111,43,4,,3,,137.23945578231292,
112,48,1,F-7,3,,137.55303854875282,
112,38,2,,3,,137.84809523809523,
112,43,3,Bb7,3,,138.13349206349207,
112,45,4,,3,,138.41990929705216,
113,45,1,Ebj7,3,,138.7334013605442,
113,37,2,,3,,139.02877551020407,
113,37,3,,3,,139.33469387755102,
113,37,4,,3,,139.64081632653063,
114,37,1,Dm7b5,3,,139.96848072562358,
114,37,2,,3,,140.26448979591837,
114,37,3,G7,3,,140.55972789115646,
114,42,4,,3,,140.85380952380953,
115,43,1,Cj7,3,,141.15879818594104,
115,45,2,,3,,141.47233560090703,
115,37,3,,3,,141.77612244897958,
115,37,4,,3,,142.0895238095238,
116,37,1,,3,,142.40226757369615,
116,38,2,,3,,142.69836734693877,
116,43,3,,3,,142.98374149659864,
116,45,4,,3,,143.28750566893424,
117,37,1,Gm7b5,3,B1,143.5795918367347,
117,43,2,,3,,143.86920634920634,
117,45,3,,3,,144.1720634920635,
117,37,4,,3,,144.4779365079365,
118,43,1,C79b,3,,144.77321995464854,
118,38,2,,3,,145.067052154195,
118,50,3,,3,,145.3720634920635,
118,47,4,,3,,145.6661224489796,
119,37,1,F-6,3,,145.96124716553288,
119,50,2,,3,,146.27485260770976,
119,51,3,,3,,146.5785941043084,
119,37,4,,3,,146.87399092970523,
120,37,1,,3,,147.16979591836736,
120,42,2,,3,,147.46514739229025,
120,45,3,,3,,147.76893424036282,
120,43,4,,3,,148.0824716553288,
121,37,1,Fm7b5,3,,148.36795918367346,
121,37,2,,3,,148.6717006802721,
121,38,3,,3,,148.97673469387755,
121,42,4,,3,,149.28049886621315,
122,38,1,Bb79b,3,,149.5856009070295,
122,43,2,,3,,149.87947845804987,
122,45,3,,3,,150.16485260770975,
122,48,4,,3,,150.46938775510205,
123,42,1,Ebj7,3,,150.77142857142857,
123,38,2,,3,,151.07968253968255,
123,37,3,,3,,151.38342403628118,
123,37,4,,3,,151.67866213151927,
124,45,1,Dm7b5,3,,151.98238095238096,
124,37,2,,3,,152.28603174603174,
124,37,3,G79b,3,,152.59183673469389,
124,42,4,,3,,152.8948299319728,
125,43,1,C-6,3,A3,153.19183673469388,
125,37,2,,3,,153.5031746031746,
125,43,3,,3,,153.80707482993196,
125,44,4,,3,,154.1031292517007,
126,44,1,Dm7b5,3,,154.39854875283447,
126,37,2,,3,,154.70208616780045,
126,37,3,G79b,3,,155.01462585034014,
126,42,4,,3,,155.31083900226758,
127,43,1,C-6,3,,155.6061224489796,
127,37,2,,3,,155.9061224489796,
127,42,3,,3,,156.22040816326532,
127,44,4,,3,,156.53061224489795,
128,45,1,Dm7b5,3,,156.84489795918367,
128,48,2,,3,,157.13061224489795,
128,37,3,G79b,3,,157.43115646258502,
128,42,4,,3,,157.73489795918368,
129,43,1,C-6,3,,158.0300680272109,
129,37,2,,3,,158.34349206349205,
129,43,3,,3,,158.6472335600907,
129,43,4,,3,,158.9425396825397,
130,45,1,Ab7,3,,159.2561224489796,
130,45,2,,3,,159.56963718820862,
130,50,3,G7,3,,159.87467120181407,
130,37,4,,3,,160.1685260770975,
131,49,1,C-6,3,,160.46385487528346,
131,37,2,,3,,160.75918367346938,
131,37,3,,3,,161.0857142857143,
131,37,4,,3,,161.4043537414966,
132,42,1,Dm7b5,3,,161.68990929705217,
132,50,2,,3,,162.0,
132,37,3,G7,3,,162.29866213151928,
132,37,4,,3,,162.59485260770975,
133,38,1,C-6,4,A1,162.88888888888889,
133,50,2,,4,,163.18390022675737,
133,50,3,,4,,163.48895691609977,
133,50,4,,4,,163.80249433106576,
134,38,1,,4,,164.10630385487528,
