bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,43,3,NC,0,I1,1.7676190476190476,
0,48,4,,0,,2.1072108843537416,
1,41,1,Abj7,1,A1,2.416326530612245,4/4
1,41,2,,1,,2.757845804988662,
1,41,3,,1,,3.0907936507936506,
1,41,4,,1,,3.4039909297052153,
2,34,1,,1,,3.7361224489795917,
2,34,2,,1,,4.049455782312926,
2,44,3,,1,,4.356145124716553,
2,44,4,,1,,4.6794557823129255,
3,43,1,Bb-7,1,,4.992607709750567,
3,43,2,,1,,5.314988662131519,
3,43,3,,1,,5.622743764172336,
3,43,4,,1,,5.936213151927437,
4,48,1,Eb7,1,,6.258299319727891,
4,48,2,,1,,6.591360544217687,
4,48,3,,1,,6.893922902494331,
4,48,4,,1,,7.191904761904762,
5,41,1,Abj7,1,,7.5140816326530615,
5,41,2,,1,,7.82750566893424,
5,41,3,,1,,8.140839002267574,
5,41,4,,1,,8.472857142857142,
6,34,1,F-7,1,,8.795873015873015,
6,34,2,,1,,9.10843537414966,
6,34,3,,1,,9.426077097505669,
6,34,4,,1,,9.729659863945578,
7,43,1,Bb-7,1,,10.01687074829932,
7,43,2,,1,,10.330272108843538,
7,43,3,,1,,10.662312925170069,
7,43,4,,1,,10.985442176870748,
8,48,1,Eb7,1,,11.31750566893424,
8,48,2,,1,,11.640521541950113,
8,48,3,,1,,11.938684807256235,
8,48,4,,1,,12.241451247165532,
9,41,1,C-7,1,,12.539614512471655,
9,41,2,,1,,12.867777777777778,
9,41,3,,1,,13.174807256235828,
9,41,4,,1,,13.517460317460317,
10,34,1,F7,1,,13.846077097505669,
10,34,2,,1,,14.162675736961452,
10,44,3,,1,,14.485873015873016,
10,44,4,,1,,14.814331065759637,
11,43,1,Bb-7,1,,15.140907029478457,
11,43,2,,1,,15.444648526077097,
11,43,3,,1,,15.766825396825396,
11,43,4,,1,,16.08018140589569,
12,48,1,Eb7,1,,16.377142857142857,
12,48,2,,1,,16.68077097505669,
12,48,3,,1,,16.99843537414966,
12,48,4,,1,,17.301201814058956,
13,41,1,Abj7,1,,17.61453514739229,
13,41,2,,1,,17.94721088435374,
13,41,3,,1,,18.26936507936508,
13,41,4,,1,,18.60219954648526,
14,45,1,F-7,1,,18.92519274376417,
14,45,2,,1,,19.247369614512472,
14,38,3,,1,,19.560725623582766,
14,50,4,,1,,19.857823129251702,
15,43,1,Bb-7,1,,20.171020408163265,
15,43,2,,1,,20.48437641723356,
15,43,3,,1,,20.801201814058956,
15,43,4,,1,,21.124126984126985,
16,40,1,D-7,1,,21.437460317460317,
16,40,2,,1,,21.75002267573696,
16,40,3,G7,1,,22.07312925170068,
16,40,4,,1,,22.367346938775512,
17,33,1,Cj7,1,B1,22.98140589569161,
17,45,2,,1,,23.284172335600907,
