bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,45,1,D-6,1,A1,0.9795918367346939,4/4
1,45,2,,1,,1.4628571428571429,
1,45,3,,1,,1.9533786848072563,
1,48,4,,1,,2.436734693877551,
2,34,1,Eb7,1,,2.8821768707482995,
2,40,2,,1,,3.3494784580498864,
2,47,3,,1,,3.813877551020408,
2,41,4,,1,,4.289886621315193,
3,45,1,D-6,1,,4.745578231292517,
3,45,2,,1,,5.196916099773243,
3,45,3,,1,,5.669387755102041,
3,48,4,,1,,6.15328798185941,
4,47,1,Eb7,1,,6.610204081632653,
4,47,2,,1,,7.099501133786848,
4,41,3,,1,,7.560997732426304,
4,41,4,,1,,8.034104308390022,
5,45,1,D-6,1,,8.520408163265307,
5,33,2,,1,,9.003537414965987,
5,45,3,,1,,9.465034013605441,
5,48,4,,1,,9.93814058956916,
6,47,1,Em7b5,1,,10.41124716553288,
6,47,2,,1,,10.90138321995465,
6,38,3,A7,1,,11.351315192743764,
6,40,4,,1,,11.838639455782314,
7,45,1,D-6,1,,12.339092970521541,
7,45,2,,1,,12.802879818594104,
7,45,3,,1,,13.24968253968254,
7,45,4,,1,,13.745056689342404,
8,38,1,Eb7,1,A2,14.19439909297052,
8,50,2,,1,,14.690929705215419,
8,41,3,,1,,15.180045351473924,
8,37,4,,1,,15.670884353741497,
9,45,1,D-6,1,,16.132244897959183,
9,45,2,,1,,16.595510204081634,
9,45,3,,1,,17.06108843537415,
9,41,4,,1,,17.507845804988662,
10,41,1,Eb7,1,,17.96938775510204,
10,41,2,,1,,18.432086167800453,
10,41,3,,1,,18.882539682539683,
10,40,4,,1,,19.342222222222222,
11,45,1,D-6,1,,19.80517006802721,
11,45,2,,1,,20.25408163265306,
11,45,3,,1,,20.710702947845807,
11,48,4,,1,,21.181541950113377,
12,37,1,Eb7,1,,21.669727891156462,
12,40,2,,1,,22.139319727891156,
12,43,3,,1,,22.607845804988663,
12,37,4,,1,,23.08823129251701,
13,33,1,D-6,1,,23.568299319727892,
13,33,2,,1,,24.04780045351474,
13,45,3,,1,,24.53548752834467,
13,45,4,,1,,25.02285714285714,
14,47,1,Em7b5,1,,25.49612244897959,
14,42,2,,1,,25.961473922902496,
14,47,3,A7,1,,26.43748299319728,
14,38,4,,1,,26.89907029478458,
15,45,1,D-6,1,,27.36408163265306,
15,45,2,,1,,27.83637188208617,
15,45,3,,1,,28.30907029478458,
15,33,4,,1,,28.76544217687075,
16,38,1,Am7b5,1,B1,29.24410430839002,
16,47,2,,1,,29.701678004535147,
16,43,3,,1,,30.16777777777778,
16,38,4,,1,,30.66297052154195,
17,45,1,D79b,1,,31.15827664399093,
17,43,2,,1,,31.642993197278912,
17,38,3,,1,,32.095238095238095,
17,45,4,,1,,32.57480725623583,
18,50,1,G-6,1,,33.04897959183673,
18,45,2,,1,,33.49802721088435,
18,50,3,,1,,33.98517006802721,
18,45,4,,1,,34.45210884353742,
19,50,1,G-7,1,,34.936349206349206,
19,45,2,,1,,35.4268253968254,
19,50,3,C7,1,,35.914648526077094,
19,50,4,,1,,36.37151927437642,
20,43,1,Gm7b5,1,,36.82893424036281,
20,50,2,,1,,37.3009977324263,
20,43,3,,1,,37.787891156462585,
20,42,4,,1,,38.25918367346939,
21,50,1,C79b,1,,38.739410430839,
21,47,2,,1,,39.188548752834464,
21,43,3,,1,,39.661746031746034,
21,50,4,,1,,40.113514739229025,
22,48,1,F6,1,,40.59083900226757,
22,43,2,,1,,41.07290249433107,
22,43,3,,1,,41.560861678004535,
22,43,4,,1,,42.054331065759634,
23,42,1,Em7b5,1,,42.54938775510204,
23,47,2,,1,,42.9992970521542,
23,51,3,A7,1,,43.479138321995464,
23,47,4,,1,,43.96022675736961,
24,34,1,Eb7,1,A3,44.427301587301585,
24,50,2,,1,,44.89861678004535,
24,41,3,,1,,45.371043083900226,
24,42,4,,1,,45.82861678004535,
25,45,1,D-6,1,,46.29210884353741,
25,51,2,,1,,46.7553514739229,
25,38,3,,1,,47.22077097505669,
25,45,4,,1,,47.69002267573696,
26,34,1,Eb7,1,,48.166009070294784,
26,50,2,,1,,48.64503401360544,
26,41,3,,1,,49.118798185941046,
26,34,4,,1,,49.57099773242631,
27,45,1,D-6,1,,50.04791383219955,
27,45,2,,1,,50.52904761904762,
27,45,3,,1,,51.024625850340136,
27,45,4,,1,,51.48086167800454,
28,45,1,Eb7,1,,51.96240362811791,
28,47,2,,1,,52.44929705215419,
28,41,3,,1,,52.91310657596372,
28,40,4,,1,,53.40471655328798,
29,38,1,D-6,1,,53.88242630385488,
29,45,2,,1,,54.3459410430839,
29,51,3,,1,,54.83337868480726,
29,45,4,,1,,55.32136054421769,
30,45,1,Em7b5,1,,55.794285714285714,
30,47,2,,1,,56.25904761904762,
30,51,3,A7,1,,56.740861678004535,
30,38,4,,1,,57.213968253968254,
31,45,1,D-6,1,,57.71224489795918,
31,51,2,,1,,58.20485260770975,
31,45,3,,1,,58.67972789115646,
31,45,4,,1,,59.14122448979592,
32,41,1,Eb7,2,A1,59.61020408163265,
32,38,2,,2,,60.07873015873016,
32,34,3,,2,,60.546031746031744,
32,33,4,,2,,61.0249433106576,
33,45,1,D-6,2,,61.509455782312926,
33,45,2,,2,,61.977551020408164,
33,40,3,,2,,62.458775510204084,
