bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,45,1,Gj7,1,A1,5.261678004535147,4/4
1,42,2,,1,,5.763265306122449,
1,42,3,,1,,6.2693877551020405,
1,42,4,,1,,6.775510204081633,
2,42,1,,1,,7.307052154195011,
2,40,2,,1,,7.828095238095238,
2,42,3,,1,,8.351020408163265,
2,45,4,,1,,8.88562358276644,
3,50,1,G-7,1,,9.387301587301588,
3,41,2,,1,,9.898684807256236,
3,41,3,,1,,10.429478458049887,
3,50,4,,1,,10.940929705215419,
4,43,1,C7,1,,11.467755102040817,
4,42,2,,1,,12.008344671201813,
4,41,3,,1,,12.519818594104308,
4,42,4,,1,,13.039773242630385,
5,42,1,Fj7,1,,13.576326530612246,
5,41,2,,1,,14.117732426303855,
5,41,3,,1,,14.663333333333334,
5,42,4,,1,,15.199569160997733,
6,42,1,,1,,15.7,
6,45,2,,1,,16.20172335600907,
6,42,3,,1,,16.724172335600908,
6,47,4,,1,,17.24512471655329,
7,48,1,F-7,1,,17.755102040816325,
7,50,2,,1,,18.273469387755103,
7,42,3,,1,,18.80235827664399,
7,42,4,,1,,19.345124716553286,
8,42,1,Bb7,1,,19.866213151927436,
8,42,2,,1,,20.39292517006803,
8,41,3,,1,,20.898866213151926,
8,41,4,,1,,21.39718820861678,
9,42,1,Ebj7,1,,21.90222222222222,
9,41,2,,1,,22.418866213151926,
9,50,3,,1,,22.935510204081634,
9,41,4,,1,,23.470975056689344,
10,41,1,Am7b5,1,,23.991972789115646,
10,40,2,,1,,24.493673469387755,
10,45,3,D7,1,,25.014897959183674,
10,42,4,,1,,25.51655328798186,
11,42,1,G-7,1,,26.026780045351472,
11,45,2,,1,,26.528412698412698,
11,42,3,,1,,27.0497052154195,
11,42,4,,1,,27.570975056689342,
12,42,1,,1,,28.07873015873016,
12,50,2,,1,,28.601179138321996,
12,48,3,,1,,29.13002267573696,
12,42,4,,1,,29.632653061224488,
13,45,1,G79,1,,30.15281179138322,
13,43,2,,1,,30.690975056689343,
13,42,3,,1,,31.230839002267572,
13,42,4,,1,,31.735873015873015,
14,47,1,Cj7,1,,32.275736961451244,
14,42,2,,1,,32.80866213151928,
14,42,3,,1,,33.310272108843535,
14,47,4,,1,,33.81185941043084,
15,42,1,B-7,1,,34.31328798185941,
15,43,2,,1,,34.840816326530614,
15,47,3,Bb7,1,,35.375510204081635,
15,43,4,,1,,35.87684807256236,
16,48,1,A-7,1,,36.41328798185941,
16,40,2,,1,,36.919433106575966,
16,45,3,D7,1,,37.41972789115646,
16,51,4,,1,,37.94095238095238,
17,42,1,Gj7,1,B1,38.44272108843538,
17,42,2,,1,,38.9692970521542,
17,43,3,,1,,39.477551020408164,
