bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,42,1,Bbj7,1,A1,3.404625850340136,4/4
1,42,2,,1,,3.6440816326530614,
1,42,3,G-7,1,,3.8809297052154195,
1,42,4,,1,,4.12734693877551,
2,37,1,C-7,1,,4.385668934240363,
2,37,2,,1,,4.629478458049887,
2,37,3,F7,1,,4.890702947845805,
2,37,4,,1,,5.146757369614512,
3,38,1,Bbj7,1,,5.380634920634921,
3,37,2,,1,,5.635192743764172,
3,37,3,G-7,1,,5.889160997732426,
3,37,4,,1,,6.150272108843537,
4,37,1,C-7,1,,6.392925170068027,
4,50,2,,1,,6.651972789115646,
4,50,3,F7,1,,6.9045578231292515,
4,48,4,,1,,7.151746031746032,
5,37,1,Bbj7,1,,7.398458049886622,
5,50,2,,1,,7.648072562358276,
5,48,3,Bb7,1,,7.888979591836734,
5,37,4,,1,,8.15185941043084,
6,50,1,Eb7,1,,8.394557823129253,
6,47,2,,1,,8.643718820861679,
6,48,3,Ab7,1,,8.89607709750567,
6,50,4,,1,,9.149546485260771,
7,45,1,Bbj7,1,,9.388049886621316,
7,45,2,,1,,9.646439909297053,
7,45,3,G-7,1,,9.909319727891157,
7,47,4,,1,,10.153038548752834,
8,48,1,C-7,1,,10.39092970521542,
8,50,2,,1,,10.63514739229025,
8,42,3,F7,1,,10.869387755102041,
8,48,4,,1,,11.111065759637189,
9,41,1,Bbj7,1,A2,11.354671201814059,
9,41,2,,1,,11.597460317460317,
9,45,3,G-7,1,,11.856485260770976,
9,41,4,,1,,12.118571428571428,
10,42,1,C-7,1,,12.377641723356009,
10,45,2,,1,,12.620498866213152,
10,45,3,F7,1,,12.869410430839002,
10,42,4,,1,,13.122244897959183,
11,45,1,Bbj7,1,,13.37578231292517,
11,45,2,,1,,13.6140589569161,
11,48,3,G-7,1,,13.867551020408163,
11,50,4,,1,,14.110204081632654,
12,50,1,C-7,1,,14.359387755102041,
12,37,2,,1,,14.602154195011337,
12,50,3,F7,1,,14.84578231292517,
12,48,4,,1,,15.088707482993197,
13,37,1,Bbj7,1,,15.328049886621315,
13,37,2,,1,,15.570725623582767,
13,50,3,Bb7,1,,15.815691609977325,
13,48,4,,1,,16.07111111111111,
14,50,1,Eb7,1,,16.325827664399092,
14,47,2,,1,,16.583854875283446,
14,48,3,Ab7,1,,16.827573696145123,
14,50,4,,1,,17.069569160997734,
15,37,1,Bbj7,1,,17.313061224489797,
15,37,2,,1,,17.56233560090703,
15,50,3,,1,,17.805124716553287,
15,48,4,,1,,18.068321995464853,
16,42,1,C-7,1,,18.326621315192742,
16,48,2,,1,,18.570181405895692,
16,45,3,F7,1,,18.80857142857143,
16,41,4,,1,,19.042539682539683,
17,40,1,D7,1,B1,19.285396825396827,
17,42,2,,1,,19.538820861678005,
17,37,3,,1,,19.787006802721088,
17,42,4,,1,,20.03954648526077,
18,42,1,,1,,20.293197278911563,
18,43,2,,1,,20.54095238095238,
18,38,3,,1,,20.794807256235828,
18,38,4,,1,,21.047437641723356,
19,47,1,G7,1,,21.28253968253968,
19,38,2,,1,,21.52780045351474,
19,42,3,,1,,21.765804988662133,
19,38,4,,1,,22.01687074829932,
20,38,1,,1,,22.25922902494331,
20,38,2,,1,,22.5059410430839,
20,38,3,,1,,22.73668934240363,
20,38,4,,1,,22.977596371882086,
21,42,1,C7,1,,23.225759637188208,
21,42,2,,1,,23.475374149659864,
21,47,3,,1,,23.717732426303854,
21,37,4,,1,,23.97315192743764,
22,50,1,,1,,24.23437641723356,
22,43,2,,1,,24.480090702947845,
22,42,3,,1,,24.722925170068027,
22,50,4,,1,,24.966643990929704,
23,40,1,F7,1,,25.208163265306123,
23,40,2,,1,,25.45215419501134,
23,41,3,,1,,25.701587301587303,
23,42,4,,1,,25.944149659863946,
24,42,1,,1,,26.194603174603174,
24,42,2,,1,,26.445918367346938,
24,45,3,,1,,26.699410430839002,
24,42,4,,1,,26.93795918367347,
25,42,1,Bbj7,1,A3,27.17170068027211,
25,42,2,,1,,27.42448979591837,
25,48,3,G-7,1,,27.678027210884355,
25,45,4,,1,,27.93591836734694,
26,50,1,C-7,1,,28.194988662131518,
26,47,2,,1,,28.43764172335601,
26,48,3,F7,1,,28.68045351473923,
26,50,4,,1,,28.94077097505669,
27,50,1,Bbj7,1,,29.201678004535147,
27,37,2,,1,,29.450839002267575,
27,37,3,G-7,1,,29.703628117913834,
27,50,4,,1,,29.95700680272109,
28,42,1,C-7,1,,30.205215419501133,
28,47,2,,1,,30.455873015873017,
28,48,3,F7,1,,30.714285714285715,
28,50,4,,1,,30.97015873015873,
29,37,1,Bbj7,1,,31.21857142857143,
29,37,2,,1,,31.472108843537416,
29,50,3,Bb7,1,,31.714716553287982,
29,48,4,,1,,31.962993197278912,
30,37,1,Eb7,1,,32.20678004535147,
30,47,2,,1,,32.45934240362812,
30,48,3,Ab7,1,,32.70839002267574,
30,50,4,,1,,32.96111111111111,
31,37,1,Bbj7,1,,33.20469387755102,
31,37,2,,1,,33.443174603174604,
31,37,3,C-7,1,,33.69659863945578,
31,44,4,F7,1,,33.94925170068027,
32,44,1,Bbj7,1,,34.188639455782315,
32,50,2,,1,,34.44113378684807,
32,48,3,,1,,34.68462585034013,
32,50,4,,1,,34.94281179138322,
33,42,1,Bbj7,2,A1,35.18641723356009,
33,37,2,,2,,35.43473922902494,
33,50,3,,2,,35.688321995464854,
33,43,4,,2,,35.93104308390023,
34,42,1,,2,,36.1890022675737,
34,50,2,,2,,36.44269841269841,
34,47,3,,2,,36.69077097505669,
