bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,42,1,G-7,1,A1,4.493877551020408,4/4
1,42,2,,1,,4.758639455782313,
1,42,3,C7,1,,5.006780045351474,
1,42,4,,1,,5.256167800453515,
2,40,1,G-7,1,,5.50936507936508,
2,38,2,,1,,5.761655328798186,
2,42,3,C7,1,,6.010725623582767,
2,41,4,,1,,6.2785714285714285,
3,40,1,G-7,1,,6.532086167800453,
3,40,2,,1,,6.780498866213152,
3,40,3,C7,1,,7.036734693877551,
3,40,4,,1,,7.311496598639456,
4,42,1,G-7,1,,7.555170068027211,
4,40,2,,1,,7.813038548752835,
4,40,3,C7,1,,8.066394557823129,
4,50,4,,1,,8.324512471655328,
5,47,1,F6,1,,8.587709750566894,
5,47,2,,1,,8.845850340136055,
5,45,3,D-7,1,,9.089365079365079,
5,43,4,,1,,9.33201814058957,
6,42,1,G-7,1,,9.59095238095238,
6,42,2,,1,,9.849727891156462,
6,44,3,C7,1,,10.106122448979592,
6,47,4,,1,,10.363265306122448,
7,47,1,F6,1,,10.63265306122449,
7,38,2,,1,,10.89015873015873,
7,50,3,,1,,11.145578231292516,
7,40,4,,1,,11.41281179138322,
8,38,1,A-7,1,,11.662063492063492,
8,45,2,,1,,11.933990929705216,
8,47,3,D7,1,,12.192947845804989,
8,48,4,,1,,12.451065759637189,
9,50,1,G-7,1,A2,12.706122448979592,
9,41,2,,1,,12.947165532879819,
9,38,3,C7,1,,13.206303854875284,
9,38,4,,1,,13.458934240362812,
10,38,1,G-7,1,,13.717936507936509,
10,38,2,,1,,13.970476190476191,
10,38,3,C7,1,,14.219319727891156,
10,45,4,,1,,14.477551020408164,
11,50,1,G-7,1,,14.750272108843538,
11,40,2,,1,,14.99312925170068,
11,40,3,C7,1,,15.242426303854876,
11,38,4,,1,,15.494784580498866,
12,42,1,G-7,1,,15.743877551020407,
12,42,2,,1,,16.016213151927438,
12,50,3,C7,1,,16.261224489795918,
12,47,4,,1,,16.507891156462584,
13,48,1,F6,1,,16.776802721088437,
13,45,2,,1,,17.02936507936508,
13,43,3,D-7,1,,17.28843537414966,
13,48,4,,1,,17.540770975056688,
14,42,1,G-7,1,,17.80950113378685,
14,43,2,,1,,18.052312925170067,
14,45,3,C7,1,,18.301473922902495,
14,47,4,,1,,18.563786848072564,
15,48,1,F6,1,,18.832585034013604,
15,42,2,,1,,19.085714285714285,
15,50,3,,1,,19.35374149659864,
15,38,4,,1,,19.624489795918368,
16,43,1,F6,1,,19.882086167800452,
16,43,2,,1,,20.142743764172337,
16,38,3,,1,,20.401587301587302,
16,45,4,,1,,20.669478458049888,
17,48,1,F7,1,B1,20.922947845804988,
17,40,2,,1,,21.190952380952382,
17,45,3,,1,,21.4378231292517,
17,43,4,,1,,21.69233560090703,
18,45,1,C-7,1,,21.945759637188207,
18,47,2,,1,,22.20392290249433,
18,48,3,F7,1,,22.457256235827664,
18,40,4,,1,,22.725260770975055,
19,42,1,Bb6,1,,22.988503401360543,
19,45,2,,1,,23.256326530612245,
19,43,3,,1,,23.52496598639456,
19,45,4,,1,,23.783197278911565,
20,45,1,,1,,24.056190476190476,
20,48,2,,1,,24.323945578231292,
20,41,3,,1,,24.573061224489795,
20,37,4,,1,,24.83265306122449,
21,50,1,G7,1,,25.094489795918367,
21,37,2,,1,,25.347052154195012,
21,42,3,,1,,25.596122448979592,
21,41,4,,1,,25.868390022675737,
22,50,1,,1,,26.12732426303855,
22,47,2,,1,,26.395260770975057,
22,47,3,,1,,26.66387755102041,
22,45,4,,1,,26.906666666666666,
23,45,1,C7,1,,27.155736961451247,
23,44,2,,1,,27.42798185941043,
23,42,3,,1,,27.696780045351474,
23,37,4,,1,,27.964467120181407,
24,50,1,,1,,28.226825396825397,
24,43,2,,1,,28.481632653061226,
24,42,3,,1,,28.738775510204082,
24,45,4,,1,,29.007142857142856,
25,37,1,G-7,1,A3,29.250748299319728,
25,38,2,,1,,29.493219954648527,
25,38,3,C7,1,,29.751927437641722,
25,38,4,,1,,30.019795918367347,
26,40,1,G-7,1,,30.288843537414966,
26,41,2,,1,,30.551156462585034,
26,42,3,C7,1,,30.790385487528344,
26,42,4,,1,,31.052925170068026,
27,40,1,G-7,1,,31.29657596371882,
27,50,2,,1,,31.538503401360543,
27,38,3,C7,1,,31.789569160997733,
27,45,4,,1,,32.03111111111111,
28,50,1,G-7,1,,32.289319727891154,
28,43,2,,1,,32.55825396825397,
28,45,3,C7,1,,32.800884353741495,
28,47,4,,1,,33.054331065759634,
29,48,1,F6,1,,33.31249433106576,
29,45,2,,1,,33.58095238095238,
29,43,3,D-7,1,,33.8314739229025,
29,48,4,,1,,34.08253968253968,
30,42,1,G-7,1,,34.3350566893424,
30,43,2,,1,,34.600634920634924,
30,45,3,C7,1,,34.857233560090705,
30,47,4,,1,,35.10979591836735,
31,48,1,F6,1,,35.348185941043084,
31,48,2,,1,,35.60149659863946,
31,50,3,,1,,35.851609977324266,
31,41,4,,1,,36.11315192743764,
32,37,1,A-7,1,,36.38106575963719,
32,50,2,,1,,36.63460317460317,
32,49,3,D7,1,,36.8907029478458,
32,45,4,,1,,37.15580498866213,
33,50,1,G-7,2,A1,37.41895691609977,
33,40,2,,2,,37.668571428571425,
33,41,3,C7,2,,37.916054421768706,
33,43,4,,2,,38.17414965986394,
34,44,1,G-7,2,,38.44705215419501,
34,44,2,,2,,38.69528344671202,
34,42,3,C7,2,,38.948798185941044,
34,45,4,,2,,39.21673469387755,
35,50,1,,2,,39.46997732426304,
