bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,37,1,Bbj7,1,A1,6.142902494331066,4/4
1,37,2,,1,,6.364308390022676,
1,49,3,G7,1,,6.585714285714285,
1,42,4,,1,,6.810748299319728,
2,43,1,C-7,1,,7.03578231292517,
2,42,2,,1,,7.260986394557824,
2,49,3,F7,1,,7.486190476190476,
2,48,4,,1,,7.714399092970521,
3,48,1,Bbj7,1,,7.9426077097505665,
3,49,2,,1,,8.170986394557822,
3,45,3,G7,1,,8.39936507936508,
3,42,4,,1,,8.621496598639457,
4,50,1,C-7,1,,8.843628117913832,
4,50,2,,1,,9.074331065759637,
4,48,3,F7,1,,9.305034013605443,
4,37,4,,1,,9.524353741496599,
5,51,1,F-7,1,,9.743673469387755,
5,48,2,,1,,9.961632653061224,
5,50,3,Bb7,1,,10.179591836734694,
5,51,4,,1,,10.401201814058957,
6,50,1,Ebj7,1,,10.62281179138322,
6,45,2,,1,,10.84045351473923,
6,47,3,Eb-6,1,,11.058095238095238,
6,47,4,,1,,11.286961451247166,
7,48,1,Bbj7,1,,11.515827664399094,
7,47,2,,1,,11.734024943310658,
7,47,3,G7,1,,11.952222222222222,
7,45,4,,1,,12.182777777777778,
8,43,1,C-7,1,,12.413333333333334,
8,50,2,,1,,12.641111111111112,
8,48,3,F7,1,,12.86888888888889,
8,47,4,,1,,13.08952380952381,
9,45,1,Bbj7,1,A2,13.31015873015873,
9,43,2,,1,,13.540941043083901,
9,42,3,G7,1,,13.77172335600907,
9,45,4,,1,,13.98951247165533,
10,43,1,C-7,1,,14.207301587301588,
10,50,2,,1,,14.433061224489796,
10,48,3,F7,1,,14.658820861678004,
10,37,4,,1,,14.88062358276644,
11,50,1,Bbj7,1,,15.102426303854875,
11,44,2,,1,,15.33031746031746,
11,50,3,G7,1,,15.558208616780046,
11,50,4,,1,,15.783321995464853,
12,37,1,C-7,1,,16.00843537414966,
12,49,2,,1,,16.236167800453515,
12,43,3,F7,1,,16.46390022675737,
12,37,4,,1,,16.689727891156465,
13,48,1,Bbj7,1,,16.915555555555557,
13,41,2,,1,,17.143197278911565,
13,37,3,Bb7,1,,17.370839002267573,
13,50,4,,1,,17.592607709750567,
14,49,1,Ebj7,1,,17.81437641723356,
14,37,2,,1,,18.040419501133787,
14,37,3,Eb-6,1,,18.266462585034013,
14,37,4,,1,,18.490816326530613,
15,37,1,Bbj7,1,,18.71517006802721,
15,50,2,,1,,18.92988662131519,
15,37,3,F7,1,,19.144603174603173,
15,37,4,,1,,19.36142857142857,
16,38,1,Bj7,1,,19.578253968253968,
16,50,2,,1,,19.802857142857142,
16,37,3,,1,,20.027460317460317,
16,37,4,,1,,20.248458049886622,
17,50,1,D7,1,B1,20.469455782312924,
17,37,2,,1,,20.6856462585034,
17,49,3,,1,,20.901836734693877,
17,50,4,,1,,21.130226757369613,
18,50,1,,1,,21.358616780045352,
18,43,2,,1,,21.586643990929705,
18,44,3,,1,,21.814671201814058,
18,44,4,,1,,22.03326530612245,
19,50,1,G7,1,,22.25185941043084,
19,50,2,,1,,22.47659863945578,
19,38,3,,1,,22.701337868480724,
19,37,4,,1,,22.92924036281179,
20,50,1,,1,,23.15714285714286,
20,50,2,,1,,23.38061224489796,
20,47,3,,1,,23.60408163265306,
20,43,4,,1,,23.829353741496597,
21,37,1,C7,1,,24.054625850340138,
21,49,2,,1,,24.290952380952383,
21,47,3,,1,,24.527278911564625,
21,47,4,,1,,24.75673469387755,
22,43,1,,1,,24.986190476190476,
22,42,2,,1,,25.205385487528346,
22,42,3,,1,,25.424580498866213,
22,45,4,,1,,25.65778911564626,
23,43,1,F7,1,,25.890997732426303,
23,45,2,,1,,26.10985260770975,
23,47,3,,1,,26.3287074829932,
23,47,4,,1,,26.562573696145126,
24,48,1,,1,,26.796439909297053,
24,48,2,,1,,27.020102040816326,
24,45,3,,1,,27.243764172335602,
24,43,4,,1,,27.470408163265304,
25,50,1,Bbj7,1,A3,27.69705215419501,
25,37,2,,1,,27.93354875283447,
25,45,3,G7,1,,28.170045351473924,
25,42,4,,1,,28.391031746031747,
26,43,1,C-7,1,,28.61201814058957,
26,50,2,,1,,28.848854875283447,
26,48,3,F7,1,,29.085691609977324,
26,47,4,,1,,29.300861678004537,
27,45,1,Bbj7,1,,29.516031746031747,
27,49,2,,1,,29.74672335600907,
27,50,3,G7,1,,29.977414965986394,
27,49,4,,1,,30.2041156462585,
28,50,1,C-7,1,,30.43081632653061,
28,37,2,,1,,30.668287981859407,
28,48,3,F7,1,,30.905759637188208,
28,49,4,,1,,31.142902494331068,
29,44,1,Bbj7,1,,31.380045351473925,
29,44,2,,1,,31.60810657596372,
29,50,3,Bb7,1,,31.836167800453516,
29,37,4,,1,,32.05968253968254,
30,37,1,Ebj7,1,,32.283197278911565,
30,37,2,,1,,32.50884353741496,
30,37,3,Eb-6,1,,32.734489795918364,
30,37,4,,1,,32.965873015873015,
31,50,1,Bbj7,1,,33.197256235827666,
31,37,2,,1,,33.422052154195015,
31,49,3,F7,1,,33.646848072562356,
31,50,4,,1,,33.87232426303855,
32,50,1,Bbj7,1,,34.097800453514736,
32,37,2,,1,,34.31357142857143,
32,37,3,,1,,34.52934240362812,
32,37,4,,1,,34.75873015873016,
33,48,1,Bbj7,2,A1,34.9881179138322,
33,37,2,,2,,35.22145124716553,
33,37,3,G7,2,,35.45478458049887,
33,37,4,,2,,35.67925170068027,
34,37,1,C-7,2,,35.90371882086168,
34,50,2,,2,,36.13349206349206,
34,50,3,F7,2,,36.36326530612245,
34,37,4,,2,,36.597857142857144,
35,37,1,Bbj7,2,,36.83244897959184,
35,37,2,,2,,37.059285714285714,
35,43,3,G7,2,,37.28612244897959,
35,50,4,,2,,37.52233560090703,
36,49,1,C-7,2,,37.758548752834464,
36,37,2,,2,,37.99219954648526,
36,37,3,F7,2,,38.225850340136056,
36,37,4,,2,,38.44496598639456,
37,50,1,Bbj7,2,,38.66408163265306,
37,37,2,,2,,38.89383219954648,
37,37,3,Bb7,2,,39.12358276643991,
37,38,4,,2,,39.350702947845804,
38,37,1,Ebj7,2,,39.5778231292517,
38,37,2,,2,,39.810487528344666,
38,50,3,Eb-6,2,,40.04315192743764,
38,37,4,,2,,40.26422902494331,
39,37,1,Bbj7,2,,40.48530612244898,
39,50,2,,2,,40.709160997732425,
39,50,3,G7,2,,40.933015873015876,
39,50,4,,2,,41.17006802721089,
40,37,1,C-7,2,,41.407120181405894,
40,49,2,,2,,41.634693877551015,
40,48,3,F7,2,,41.862267573696144,
40,48,4,,2,,42.08243764172336,
41,37,1,Bbj7,2,A2,42.30260770975057,
41,44,2,,2,,42.53114512471655,
41,50,3,G7,2,,42.75968253968254,
41,48,4,,2,,42.99121315192744,
42,47,1,C-7,2,,43.222743764172336,
42,47,2,,2,,43.453979591836735,
42,48,3,F7,2,,43.685215419501134,
42,37,4,,2,,43.91374149659864,
43,44,1,Bbj7,2,,44.142267573696145,
43,43,2,,2,,44.3652380952381,
43,42,3,G7,2,,44.588208616780044,
43,45,4,,2,,44.82108843537415,
44,43,1,C-7,2,,45.05396825396826,
44,50,2,,2,,45.2862358276644,
44,48,3,F7,2,,45.51850340136055,
44,49,4,,2,,45.73997732426304,
45,49,1,Bbj7,2,,45.961451247165535,
45,48,2,,2,,46.18227891156462,
45,50,3,Bb7,2,,46.40310657596372,
45,51,4,,2,,46.62668934240363,
46,50,1,Ebj7,2,,46.85027210884354,
46,45,2,,2,,47.07562358276644,
46,47,3,Eb-6,2,,47.300975056689346,
46,47,4,,2,,47.52352607709751,
47,48,1,Bbj7,2,,47.74607709750567,
47,48,2,,2,,47.96607709750567,
47,45,3,F7,2,,48.18607709750567,
47,43,4,,2,,48.41095238095238,
48,49,1,Bbj7,2,,48.635827664399095,
48,48,2,,2,,48.86021541950113,
48,48,3,,2,,49.084603174603174,
48,51,4,,2,,49.30222222222223,
49,50,1,D7,2,B1,49.51984126984127,
49,50,2,,2,,49.7455328798186,
49,50,3,,2,,49.971224489795915,
49,37,4,,2,,50.199013605442175,
50,37,1,,2,,50.426802721088436,
50,45,2,,2,,50.65168934240363,
50,49,3,,2,,50.87657596371882,
50,50,4,,2,,51.09924036281179,
51,50,1,G7,2,,51.32190476190476,
51,50,2,,2,,51.546791383219954,
51,42,3,,2,,51.77167800453515,
51,37,4,,2,,51.99611111111111,
52,50,1,,2,,52.22054421768708,
52,37,2,,2,,52.44597505668935,
52,42,3,,2,,52.67140589569161,
52,44,4,,2,,52.89130385487529,
53,43,1,C7,2,,53.11120181405896,
53,43,2,,2,,53.34078231292517,
53,42,3,,2,,53.570362811791384,
53,40,4,,2,,53.79909297052154,
54,50,1,,2,,54.0278231292517,
54,52,2,,2,,54.25098639455783,
54,50,3,,2,,54.47414965986395,
54,43,4,,2,,54.71034013605443,
55,43,1,F7,2,,54.9465306122449,
