bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,Bb7,1,A1,4.142857142857143,4/4
1,41,2,,1,,4.587097505668934,
1,51,3,,1,,4.992675736961451,
1,50,4,,1,,5.3986167800453515,
2,48,1,Eb7,1,,5.794716553287982,
2,45,2,,1,,6.211156462585034,
2,45,3,,1,,6.597278911564626,
2,43,4,,1,,7.012925170068027,
3,38,1,Bb7,1,,7.426439909297052,
3,41,2,,1,,7.8244671201814056,
3,45,3,,1,,8.229274376417234,
3,45,4,,1,,8.616326530612245,
4,48,1,,1,,9.002698412698413,
4,37,2,,1,,9.40092970521542,
4,42,3,,1,,9.804421768707483,
4,47,4,,1,,10.221065759637188,
5,45,1,Eb7,1,,10.616326530612245,
5,51,2,,1,,11.004081632653062,
5,50,3,,1,,11.39079365079365,
5,37,4,,1,,11.797709750566893,
6,38,1,,1,,12.203310657596372,
6,44,2,,1,,12.599365079365079,
6,50,3,,1,,12.987755102040817,
6,48,4,,1,,13.39140589569161,
7,45,1,Bb7,1,,13.779750566893425,
7,50,2,,1,,14.185646258503402,
7,43,3,,1,,14.581519274376417,
7,48,4,,1,,14.987482993197279,
8,45,1,D-7,1,,15.383401360544218,
8,51,2,,1,,15.789183673469388,
8,51,3,G7,1,,16.185215419501134,
8,44,4,,1,,16.580839002267574,
9,43,1,C-7,1,,16.997573696145125,
9,50,2,,1,,17.401156462585035,
9,45,3,,1,,17.799251700680273,
9,43,4,,1,,18.20310657596372,
10,42,1,F7,1,,18.591269841269842,
10,49,2,,1,,18.977573696145125,
10,42,3,,1,,19.366031746031744,
10,48,4,,1,,19.779501133786848,
11,37,1,Bb7,1,,20.15798185941043,
11,45,2,,1,,20.55392290249433,
11,50,3,,1,,20.96934240362812,
11,44,4,,1,,21.365260770975055,
12,43,1,F7,1,,21.76235827664399,
12,50,2,,1,,22.168072562358276,
12,48,3,,1,,22.57387755102041,
12,38,4,,1,,22.969931972789116,
13,41,1,Bb7,2,A1,23.385668934240364,
13,42,2,,2,,23.79126984126984,
13,44,3,,2,,24.195850340136055,
13,45,4,,2,,24.593015873015872,
14,45,1,Eb7,2,,25.007460317460318,
14,48,2,,2,,25.413356009070295,
14,50,3,,2,,25.826643990929707,
14,51,4,,2,,26.2334693877551,
15,38,1,Bb7,2,,26.62934240362812,
15,38,2,,2,,27.026802721088437,
15,44,3,,2,,27.422698412698413,
15,44,4,,2,,27.80873015873016,
16,41,1,,2,,28.215691609977323,
16,50,2,,2,,28.611678004535147,
16,48,3,,2,,29.017392290249433,
16,47,4,,2,,29.40408163265306,
17,42,1,Eb7,2,,29.809455782312924,
17,51,2,,2,,30.197709750566894,
17,50,3,,2,,30.61326530612245,
17,37,4,,2,,30.99918367346939,
18,45,1,,2,,31.41482993197279,
18,50,2,,2,,31.816326530612244,
18,37,3,,2,,32.20786848072562,
18,38,4,,2,,32.621315192743765,
19,38,1,Bb7,2,,33.02696145124717,
19,38,2,,2,,33.40560090702948,
19,50,3,,2,,33.81149659863946,
19,51,4,,2,,34.20736961451247,
20,44,1,D-7,2,,34.608163265306125,
20,44,2,,2,,34.982131519274375,
20,44,3,G7,2,,35.38789115646259,
20,44,4,,2,,35.78383219954649,
21,43,1,C-7,2,,36.17993197278911,
21,44,2,,2,,36.575873015873015,
21,44,3,,2,,36.96424036281179,
21,37,4,,2,,37.37015873015873,
22,38,1,F7,2,,37.784557823129255,
22,38,2,,2,,38.17201814058957,
22,40,3,,2,,38.57775510204082,
22,43,4,,2,,38.982290249433106,
23,37,1,Bb7,2,,39.36954648526077,
23,45,2,,2,,39.77639455782313,
23,50,3,,2,,40.17235827664399,
23,48,4,,2,,40.56848072562358,
24,45,1,F7,2,,40.97424036281179,
24,45,2,,2,,41.38995464852608,
24,43,3,,2,,41.79442176870748,
24,52,4,,2,,42.200272108843535,
25,41,1,Bb7,2,I1,42.61589569160998,
25,42,2,,2,,43.00628117913832,
