bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-3,42,1,NC,0,I1,0.2234920634920635,
-3,42,2,NC,0,I1,0.5050340136054422,
-3,42,3,,0,,0.7778684807256235,
-3,37,4,,0,,1.0594104308390022,
-2,42,1,,0,,1.352562358276644,
-2,42,2,,0,,1.6253968253968254,
-2,42,3,,0,,1.8982312925170068,
-2,42,4,,0,,2.160748299319728,
-1,42,1,,0,,2.4191836734693877,
-1,42,2,,0,,2.667732426303855,
-1,37,3,,0,,2.935668934240363,
-1,37,4,,0,,3.1841496598639454,
0,47,1,,0,,3.4240362811791383,
0,40,2,,0,,3.692176870748299,
0,42,3,,0,,3.958730158730159,
0,43,4,,0,,4.199274376417233,
1,48,1,F7,1,A1,4.4675283446712015,4/4
1,50,2,,1,,4.724671201814059,
1,38,3,,1,,5.001451247165533,
1,41,4,,1,,5.2772335600907025,
2,42,1,,1,,5.545124716553288,
2,42,2,,1,,5.803310657596372,
2,52,3,,1,,6.0712244897959184,
2,50,4,,1,,6.329455782312925,
3,48,1,,1,,6.6060090702947845,
3,47,2,,1,,6.881678004535147,
3,45,3,,1,,7.131269841269841,
3,45,4,,1,,7.398117913832199,
4,48,1,,1,,7.675986394557823,
4,50,2,,1,,7.92437641723356,
4,51,3,,1,,8.192630385487528,
4,37,4,,1,,8.440521541950114,
5,41,1,Bb7,1,,8.70829931972789,
5,52,2,,1,,8.966848072562358,
5,50,3,,1,,9.214920634920635,
5,49,4,,1,,9.472993197278912,
6,37,1,,1,,9.730952380952381,
6,45,2,,1,,9.998979591836735,
6,48,3,,1,,10.275668934240363,
6,50,4,,1,,10.523968253968254,
7,42,1,,1,,10.782222222222222,
7,51,2,,1,,11.04079365079365,
7,50,3,,1,,11.2902947845805,
7,48,4,,1,,11.548684807256237,
8,42,1,,1,,11.79689342403628,
8,45,2,,1,,12.055419501133787,
8,48,3,,1,,12.323401360544217,
8,48,4,,1,,12.571814058956916,
9,48,1,Eb7,1,,12.847414965986395,
9,48,2,,1,,13.125351473922903,
