bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-4,37,4,NC,0,I1,0.7551020408163265,
-3,37,1,,0,,1.0063492063492063,
-3,37,2,,0,,1.2091836734693877,
-3,37,3,,0,,1.418798185941043,
-3,47,4,,0,,1.6312471655328797,
-2,47,1,,0,,1.8514965986394558,
-2,50,2,,0,,2.072766439909297,
-2,50,3,,0,,2.293219954648526,
-2,50,4,,0,,2.543877551020408,
-1,51,1,,0,,2.7825396825396824,
-1,51,2,,0,,3.0128344671201814,
-1,37,3,,0,,3.2157142857142857,
-1,50,4,,0,,3.42843537414966,
0,50,1,,0,,3.659297052154195,
0,51,2,,0,,3.8797959183673467,
0,51,3,,0,,4.092403628117914,
0,51,4,,0,,4.323628117913832,
1,51,1,Db7,1,A1,4.54390022675737,4/4
1,37,2,,1,,4.756553287981859,
1,37,3,,1,,4.987823129251701,
1,44,4,,1,,5.208163265306123,
2,44,1,,1,,5.439229024943311,
2,44,2,,1,,5.65952380952381,
2,48,3,,1,,5.8723356009070296,
2,48,4,,1,,6.093696145124716,
3,48,1,,1,,6.306303854875283,
3,37,2,,1,,6.545283446712018,
3,37,3,,1,,6.757936507936508,
3,37,4,,1,,6.968344671201814,
4,44,1,,1,,7.18108843537415,
4,48,2,,1,,7.412199546485261,
4,48,3,,1,,7.625056689342403,
4,37,4,,1,,7.846371882086168,
5,41,1,Bb7,1,,8.056848072562358,
5,37,2,,1,,8.269478458049887,
5,50,3,,1,,8.491020408163266,
5,37,4,,1,,8.713356009070294,
6,41,1,,1,,8.918367346938776,
6,48,2,,1,,9.14517006802721,
6,37,3,,1,,9.367709750566894,
6,37,4,,1,,9.578253968253968,
7,50,1,,1,,9.800884353741496,
7,37,2,,1,,10.022244897959183,
7,37,3,,1,,10.242562358276643,
7,48,4,,1,,10.455351473922903,
8,37,1,,1,,10.666598639455783,
8,37,2,,1,,10.879478458049887,
8,37,3,,1,,11.092290249433107,
8,39,4,,1,,11.30358276643991,
9,51,1,Ab,1,,11.524081632653061,
9,51,2,,1,,11.736598639455782,
9,51,3,,1,,11.949319727891156,
9,51,4,,1,,12.180544217687075,
10,51,1,,1,,12.400748299319728,
10,51,2,,1,,12.621768707482993,
10,51,3,,1,,12.843265306122449,
10,51,4,,1,,13.0559410430839,
11,51,1,C7,1,,13.258820861678004,
11,37,2,,1,,13.48907029478458,
11,50,3,,1,,13.7102947845805,
11,50,4,,1,,13.940544217687075,
12,37,1,F-7,1,,14.161904761904761,
12,48,2,,1,,14.384149659863946,
12,37,3,,1,,14.61439909297052,
12,48,4,,1,,14.835555555555555,
13,37,1,Bb7,1,,15.05687074829932,
13,37,2,,1,,15.269614512471655,
13,37,3,,1,,15.479954648526077,
13,48,4,,1,,15.711224489795919,
14,48,1,,1,,15.923990929705216,
14,50,2,,1,,16.136689342403628,
14,37,3,,1,,16.366961451247164,
14,48,4,,1,,16.58795918367347,
15,37,1,Eb7,1,,16.808185941043085,
15,50,2,,1,,17.029591836734692,
15,51,3,,1,,17.242131519274377,
