bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,52,2,NC,0,I1,2.3219954648526078,
0,41,3,,0,,2.7675510204081633,
0,43,4,,0,,3.2275736961451247,
1,50,1,Bb7,1,A1,3.6745578231292515,4/4
1,43,2,,1,,4.1026984126984125,
1,42,3,,1,,4.539501133786848,
1,45,4,,1,,4.991541950113379,
2,45,1,Eb7,1,,5.467006802721088,
2,41,2,,1,,5.8920634920634924,
2,43,3,,1,,6.3461678004535145,
2,42,4,,1,,6.803106575963719,
3,41,1,Bb7,1,,7.260090702947846,
3,43,2,,1,,7.711541950113379,
3,42,3,,1,,8.156009070294784,
3,43,4,,1,,8.625691609977324,
4,44,1,,1,,9.062018140589569,
4,50,2,,1,,9.513673469387754,
4,42,3,,1,,9.980294784580499,
4,37,4,,1,,10.425759637188209,
5,38,1,Eb7,1,,10.859410430839002,
5,38,2,,1,,11.325532879818594,
5,42,3,,1,,11.75297052154195,
5,37,4,,1,,12.19047619047619,
6,41,1,,1,,12.631655328798185,
6,43,2,,1,,13.093197278911564,
6,48,3,,1,,13.520793650793651,
6,43,4,,1,,13.972607709750568,
7,42,1,Bb7,1,,14.398888888888889,
7,45,2,,1,,14.830839002267574,
7,34,3,,1,,15.25294784580499,
7,47,4,,1,,15.694716553287982,
8,48,1,,1,,16.132086167800452,
8,45,2,,1,,16.59795918367347,
8,45,3,,1,,17.010249433106576,
8,43,4,,1,,17.432380952380953,
9,43,1,F7,1,,17.879569160997733,
9,43,2,,1,,18.331065759637188,
9,48,3,,1,,18.796553287981858,
9,47,4,,1,,19.231927437641723,
10,47,1,Eb7,1,,19.6859410430839,
10,41,2,,1,,20.123197278911565,
10,43,3,,1,,20.545442176870747,
10,42,4,,1,,20.961814058956914,
11,42,1,Bb7,1,,21.369206349206348,
11,48,2,,1,,21.83612244897959,
11,45,3,,1,,22.27784580498866,
11,47,4,,1,,22.714920634920635,
12,48,1,F7,1,,23.15609977324263,
12,51,2,,1,,23.603083900226757,
12,48,3,,1,,24.05439909297052,
12,50,4,,1,,24.508662131519273,
13,41,1,Bb7,2,A1,24.938956916099773,
13,41,2,,2,,25.36106575963719,
13,51,3,,2,,25.802857142857142,
13,51,4,,2,,26.25891156462585,
14,50,1,Eb7,2,,26.706213151927436,
14,48,2,,2,,27.147845804988663,
14,45,3,,2,,27.58532879818594,
14,48,4,,2,,28.036870748299318,
15,41,1,Bb7,2,,28.503514739229026,
15,41,2,,2,,28.940045351473923,
15,51,3,,2,,29.381723356009072,
15,51,4,,2,,29.803809523809523,
16,50,1,,2,,30.25560090702948,
16,48,2,,2,,30.717959183673468,
