bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,43,4,NC,0,I1,1.6282993197278912,
0,43,1,,0,,1.993877551020408,
0,37,2,,0,,2.4013151927437644,
0,38,3,,0,,2.815328798185941,
0,49,4,,0,,3.2081632653061223,
1,38,1,G7,1,A1,3.602267573696145,4/4
1,50,2,,1,,3.9975736961451247,
1,40,3,,1,,4.365442176870748,
1,43,4,,1,,4.778684807256236,
2,43,1,C7,1,,5.194013605442177,
2,47,2,,1,,5.547505668934241,
2,48,3,,1,,5.93920634920635,
2,37,4,,1,,6.331201814058957,
3,38,1,G7,1,,6.738662131519274,
3,38,2,,1,,7.169455782312925,
3,35,3,,1,,7.553854875283447,
3,35,4,,1,,7.928979591836734,
4,40,1,C7,1,,8.326485260770975,
4,40,2,,1,,8.711609977324263,
4,45,3,,1,,9.1197052154195,
4,38,4,,1,,9.465510204081633,
5,38,1,G7,1,,9.859773242630386,
5,38,2,,1,,10.238548752834467,
5,38,3,,1,,10.614331065759638,
5,42,4,,1,,10.985487528344672,
6,43,1,C7,1,,11.364149659863946,
6,43,2,,1,,11.75061224489796,
6,43,3,,1,,12.146666666666667,
6,44,4,,1,,12.51639455782313,
7,45,1,G7,1,,12.903219954648526,
7,45,2,,1,,13.257142857142858,
7,47,3,,1,,13.685260770975058,
7,47,4,,1,,14.090272108843537,
8,40,1,C7,1,,14.455986394557824,
8,40,2,,1,,14.842562358276645,
8,45,3,,1,,15.216031746031746,
8,38,4,,1,,15.576349206349207,
9,38,1,G7,1,,15.970249433106575,
9,50,2,,1,,16.3765306122449,
9,38,3,,1,,16.736961451247165,
9,42,4,,1,,17.126190476190477,
10,43,1,C7,1,,17.526281179138323,
10,47,2,,1,,17.926530612244896,
10,48,3,,1,,18.337619047619047,
10,49,4,,1,,18.750045351473922,
11,38,1,G7,1,,19.138662131519276,
11,38,2,,1,,19.5178231292517,
11,38,3,,1,,19.944126984126985,
11,38,4,,1,,20.30439909297052,
12,40,1,C7,1,,20.697823129251702,
12,40,2,,1,,21.08219954648526,
12,45,3,,1,,21.466145124716554,
12,39,4,,1,,21.865419501133786,
13,38,1,G7,1,,22.274625850340136,
13,38,2,,1,,22.66551020408163,
13,42,3,,1,,23.0356462585034,
13,43,4,,1,,23.44893424036281,
14,43,1,C7,1,,23.81390022675737,
14,40,2,,1,,24.236462585034012,
14,43,3,,1,,24.609319727891158,
14,44,4,,1,,24.99607709750567,
15,45,1,G7,1,,25.382721088435375,
15,40,2,,1,,25.783922902494332,
15,47,3,,1,,26.183401360544217,
15,47,4,,1,,26.538208616780047,
16,40,1,C7,1,,26.90528344671202,
16,38,2,,1,,27.284081632653063,
16,40,3,,1,,27.663424036281178,
16,39,4,,1,,28.008367346938776,
17,38,1,G7,1,,28.386621315192745,
17,38,2,,1,,28.798321995464853,
17,42,3,,1,,29.194195011337868,
17,43,4,,1,,29.565668934240364,
18,43,1,C7,1,,29.967981859410433,
18,43,2,,1,,30.363424036281177,
18,47,3,,1,,30.780226757369615,
18,49,4,,1,,31.12374149659864,
19,50,1,G7,1,,31.502448979591836,
19,38,2,,1,,31.904671201814057,
19,38,3,,1,,32.30031746031746,
19,40,4,,1,,32.6565306122449,
20,43,1,C7,1,,33.04868480725624,
20,40,2,,1,,33.43138321995465,
20,45,3,,1,,33.80612244897959,
20,38,4,,1,,34.18412698412698,
21,38,1,G7,1,,34.562063492063494,
21,38,2,,1,,34.92700680272109,
21,42,3,,1,,35.333083900226754,
21,43,4,,1,,35.737097505668935,
22,43,1,C7,1,,36.13514739229025,
22,47,2,,1,,36.49791383219954,
22,38,3,,1,,36.87315192743764,
22,38,4,,1,,37.24668934240363,
23,50,1,G7,1,,37.63018140589569,
23,50,2,,1,,38.01589569160998,
23,47,3,,1,,38.4,
23,40,4,,1,,38.81349206349206,
24,40,1,C7,1,,39.236598639455785,
24,45,2,,1,,39.60208616780045,
24,45,3,,1,,39.97950113378685,
24,47,4,,1,,40.3691156462585,
25,38,1,G7,1,,40.74798185941043,
25,38,2,,1,,41.13015873015873,
25,42,3,,1,,41.503242630385486,
25,42,4,,1,,41.88154195011338,
26,43,1,C7,1,,42.26757369614513,
26,43,2,,1,,42.70825396825397,
26,44,3,,1,,43.099773242630384,
26,45,4,,1,,43.47342403628118,
27,38,1,G7,1,,43.84603174603175,
27,38,2,,1,,44.254013605442175,
27,38,3,,1,,44.63609977324263,
27,38,4,,1,,45.02716553287982,
28,43,1,C7,1,,45.43916099773243,
28,44,2,,1,,45.79746031746032,
28,45,3,,1,,46.172766439909296,
28,38,4,,1,,46.548526077097506,
29,38,1,G7,1,,46.941655328798184,
29,38,2,,1,,47.31548752834467,
29,42,3,,1,,47.69598639455782,
29,43,4,,1,,48.09544217687075,
30,43,1,C7,1,,48.47791383219955,
30,43,2,,1,,48.88628117913832,
30,47,3,,1,,49.275238095238095,
30,37,4,,1,,49.67780045351474,
31,38,1,G7,1,,50.08609977324263,
31,50,2,,1,,50.442086167800454,
31,42,3,,1,,50.82151927437642,
31,43,4,,1,,51.23773242630386,
32,43,1,C7,1,,51.590884353741494,
32,44,2,,1,,51.95115646258503,
32,45,3,,1,,52.32086167800453,
32,37,4,,1,,52.705714285714286,
33,50,1,G7,1,,53.11480725623583,
33,38,2,,1,,53.52630385487528,
33,38,3,,1,,53.91412698412699,
33,42,4,,1,,54.28049886621315,
34,43,1,C7,1,,54.68403628117914,
34,47,2,,1,,55.05149659863945,
34,48,3,,1,,55.41798185941043,
34,49,4,,1,,55.81061224489796,
35,50,1,G7,1,,56.205986394557826,
35,38,2,,1,,56.587755102040816,
35,38,3,,1,,57.00984126984127,
35,50,4,,1,,57.378344671201816,
36,43,1,C7,1,,57.755804988662135,
36,47,2,,1,,58.1356462585034,
36,48,3,,1,,58.539410430839006,
36,37,4,,1,,58.92056689342404,
37,38,1,G7,1,,59.27857142857143,
37,38,2,,1,,59.6534693877551,
37,42,3,,1,,60.05451247165533,
37,43,4,,1,,60.41784580498866,
38,43,1,C7,1,,60.78580498866213,
38,40,2,,1,,61.16462585034014,
38,48,3,,1,,61.539637188208616,
38,37,4,,1,,61.92065759637188,
39,38,1,G7,1,,62.327460317460314,
39,50,2,,1,,62.68750566893424,
39,45,3,,1,,63.07795918367347,
39,43,4,,1,,63.463514739229026,
40,43,1,C7,1,,63.85768707482993,
40,47,2,,1,,64.23353741496598,
40,38,3,,1,,64.648820861678,
40,38,4,,1,,65.02727891156462,
41,38,1,G7,1,,65.40349206349207,
41,38,2,,1,,65.78646258503402,
41,38,3,,1,,66.19646258503401,
41,43,4,,1,,66.58605442176871,
42,43,1,C7,1,,66.9442403628118,
