bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,43,1,NC,0,I1,1.9797052154195012,
0,38,2,,0,,2.3190929705215417,
0,40,3,,0,,2.623106575963719,
0,42,4,,0,,2.913265306122449,
1,43,1,C,1,A1,3.2438321995464854,4/4
1,43,2,,1,,3.5774603174603175,
1,47,3,,1,,3.866122448979592,
1,47,4,,1,,4.176575963718821,
2,47,1,F,1,,4.481315192743764,
2,47,2,,1,,4.835328798185941,
2,45,3,,1,,5.1578231292517005,
2,33,4,,1,,5.496077097505669,
3,50,1,G7,1,,5.810634920634921,
3,50,2,,1,,6.097755102040816,
3,42,3,,1,,6.416530612244898,
3,42,4,,1,,6.71312925170068,
4,43,1,C,1,,7.039455782312925,
4,43,2,,1,,7.35702947845805,
4,42,3,,1,,7.6893197278911565,
4,42,4,,1,,8.001836734693878,
5,40,1,A7,1,,8.320022675736961,
5,40,2,,1,,8.628956916099773,
5,44,3,,1,,8.939637188208616,
5,43,4,,1,,9.243922902494331,
6,45,1,D-7,1,,9.582585034013606,
6,45,2,,1,,9.903151927437642,
6,45,3,,1,,10.194557823129252,
6,33,4,,1,,10.513242630385488,
7,50,1,G7,1,,10.826303854875283,
7,50,2,,1,,11.152857142857142,
7,50,3,,1,,11.46124716553288,
7,50,4,,1,,11.767256235827665,
8,43,1,C,1,,12.088888888888889,
8,43,2,,1,,12.385736961451247,
8,38,3,,1,,12.690566893424036,
8,42,4,,1,,12.988027210884354,
9,43,1,C,2,A1,13.329092970521542,
9,43,2,,2,,13.662154195011338,
9,47,3,,2,,13.98904761904762,
9,47,4,,2,,14.311632653061224,
10,48,1,F,2,,14.630249433106576,
10,47,2,,2,,14.95655328798186,
10,47,3,,2,,15.288117913832199,
10,49,4,,2,,15.616349206349206,
11,50,1,G7,2,,15.911768707482993,
11,50,2,,2,,16.20190476190476,
11,50,3,,2,,16.54390022675737,
11,42,4,,2,,16.8675283446712,
12,50,1,C,2,,17.19426303854875,
12,42,2,,2,,17.508503401360546,
12,37,3,,2,,17.79312925170068,
12,44,4,,2,,18.12342403628118,
13,51,1,A7,2,,18.435351473922903,
13,42,2,,2,,18.75748299319728,
13,42,3,,2,,19.040748299319727,
13,42,4,,2,,19.356689342403627,
14,47,1,D-7,2,,19.67907029478458,
14,45,2,,2,,19.983673469387757,
14,45,3,,2,,20.306122448979593,
14,37,4,,2,,20.64124716553288,
15,50,1,G7,2,,20.962199546485262,
15,50,2,,2,,21.26548752834467,
