bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,40,1,NC,1,A1,2.814761904761905,9/4
1,49,2,,1,,3.2305442176870747,
1,49,3,,1,,3.668299319727891,
1,47,4,,1,,4.079546485260771,
1,42,5,,1,,4.524648526077097,
1,49,6,,1,,4.919591836734694,
1,48,7,,1,,5.334580498866213,
1,48,8,,1,,5.713446712018141,
1,47,9,,1,,6.130136054421769,
2,47,1,,1,,6.543424036281179,
2,47,2,,1,,6.942176870748299,
2,42,3,,1,,7.337278911564626,
2,45,4,,1,,7.752471655328798,
2,45,5,,1,,8.15750566893424,
2,48,6,,1,,8.556235827664398,
2,47,7,,1,,8.987528344671201,
2,47,8,,1,,9.386145124716553,
2,49,9,,1,,9.781337868480726,
3,49,1,,1,,10.217392290249434,
3,38,2,,1,,10.621496598639455,
3,40,3,,1,,11.056349206349207,
3,42,4,,1,,11.485714285714286,
3,48,5,,1,,11.912267573696145,
3,48,6,,1,,12.321088435374149,
3,47,7,,1,,12.726394557823129,
3,47,8,,1,,13.141655328798185,
3,48,9,,1,,13.555102040816326,
4,42,1,,1,,13.975510204081633,
4,42,2,,1,,14.370385487528345,
4,38,3,,1,,14.765351473922902,
4,50,4,,1,,15.164285714285715,
4,47,5,,1,,15.589659863945577,
4,47,6,,1,,16.000544217687075,
4,48,7,,1,,16.419297052154196,
4,48,8,,1,,16.834920634920636,
4,34,9,,1,,17.229659863945578,
5,42,1,,1,,17.624467120181407,
5,49,2,,1,,18.054467120181407,
5,40,3,,1,,18.438299319727893,
