bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,42,1,NC,0,I1,2.958095238095238,
-2,43,2,,0,,3.5122902494331067,
-2,43,3,,0,,4.073333333333333,
-2,50,4,,0,,4.637324263038549,
-1,43,1,,0,,5.226371882086168,
-1,43,2,,0,,5.824807256235828,
-1,38,3,,0,,6.396462585034014,
-1,50,4,,0,,6.959591836734694,
0,42,1,,0,,7.530884353741497,
0,43,2,,0,,8.08312925170068,
0,43,3,,0,,8.664195011337869,
0,50,4,,0,,9.2359410430839,
1,43,1,C-7,1,A1,9.806530612244899,4/4
1,43,2,,1,,10.397596371882086,
1,42,3,,1,,10.977619047619047,
1,50,4,,1,,11.540725623582766,
2,43,1,Eb,1,,12.129818594104309,
2,40,2,,1,,12.728866213151928,
2,43,3,,1,,13.272244897959183,
2,42,4,,1,,13.816439909297053,
3,43,1,C-7,1,,14.36734693877551,
3,43,2,,1,,14.933492063492064,
3,42,3,,1,,15.532335600907029,
3,43,4,,1,,16.111428571428572,
4,42,1,Eb,1,,16.683038548752833,
4,43,2,,1,,17.274331065759636,
4,50,3,,1,,17.84482993197279,
4,45,4,,1,,18.42639455782313,
5,43,1,C-7,1,A2,18.988344671201816,
5,42,2,,1,,19.559591836734693,
5,42,3,,1,,20.150884353741496,
5,43,4,,1,,20.70204081632653,
6,43,1,Eb,1,,21.28344671201814,
6,42,2,,1,,21.836802721088436,
6,43,3,,1,,22.435555555555556,
6,50,4,,1,,22.997460317460316,
7,43,1,C-7,1,,23.5884126984127,
7,50,2,,1,,24.16766439909297,
7,42,3,,1,,24.73925170068027,
7,50,4,,1,,25.310657596371883,
8,48,1,Eb,1,,25.882380952380952,
8,43,2,,1,,26.435328798185942,
8,43,3,,1,,26.99591836734694,
8,50,4,,1,,27.560272108843538,
9,48,1,F-,1,B1,28.131700680272107,
9,43,2,,1,,28.6934693877551,
9,48,3,,1,,29.265260770975058,
9,48,4,,1,,29.828231292517007,
10,47,1,Db,1,,30.41734693877551,
10,42,2,,1,,30.97063492063492,
10,49,3,,1,,31.542448979591835,
10,44,4,,1,,32.11387755102041,
11,47,1,F-,1,,32.70514739229025,
11,43,2,,1,,33.26609977324263,
11,48,3,,1,,33.83768707482993,
11,43,4,,1,,34.43641723356009,
12,48,1,Gb7,1,,34.990589569160996,
12,44,2,,1,,35.569909297052156,
12,42,3,,1,,36.12297052154195,
12,40,4,,1,,36.68705215419501,
13,43,1,C-7,1,A3,37.265306122448976,
13,50,2,,1,,37.85659863945578,
13,42,3,,1,,38.41843537414966,
13,43,4,,1,,38.98226757369615,
14,47,1,Eb,1,,39.58111111111111,
14,43,2,,1,,40.13061224489796,
14,43,3,,1,,40.696349206349204,
14,50,4,,1,,41.275668934240365,
15,43,1,C-7,1,,41.866734693877554,
15,50,2,,1,,42.45591836734694,
15,38,3,,1,,43.03700680272109,
15,50,4,,1,,43.59793650793651,
16,43,1,Eb,1,,44.14222222222222,
16,43,2,,1,,44.713968253968254,
16,43,3,,1,,45.27700680272109,
16,44,4,,1,,45.86612244897959,
17,43,1,C-7,2,A1,46.42927437641723,
17,50,2,,2,,47.000839002267575,
17,38,3,,2,,47.589954648526074,
17,43,4,,2,,48.152902494331066,
18,47,1,Eb,2,,48.7602947845805,
18,43,2,,2,,49.35156462585034,
18,43,3,,2,,49.88485260770975,
18,50,4,,2,,50.45662131519274,
19,43,1,C-7,2,,51.02786848072562,
19,50,2,,2,,51.59968253968254,
19,43,3,,2,,52.17106575963719,
19,43,4,,2,,52.7515873015873,
20,43,1,Eb,2,,53.33294784580499,
20,43,2,,2,,53.904444444444444,
20,43,3,,2,,54.466145124716554,
20,44,4,,2,,55.053061224489795,
21,43,1,C-7,2,A2,55.61632653061225,
21,50,2,,2,,56.171950113378685,
21,40,3,,2,,56.733605442176874,
21,43,4,,2,,57.28675736961451,
22,43,1,Eb,2,,57.8684126984127,
22,43,2,,2,,58.41972789115646,
22,43,3,,2,,59.01943310657597,
22,42,4,,2,,59.59115646258503,
23,43,1,C-7,2,,60.17215419501134,
23,38,2,,2,,60.753015873015876,
23,43,3,,2,,61.32458049886621,
23,50,4,,2,,61.89612244897959,
24,43,1,Eb,2,,62.47673469387755,
24,44,2,,2,,63.038480725623586,
24,44,3,,2,,63.61993197278912,
24,49,4,,2,,64.18081632653062,
25,48,1,F-,2,B1,64.74498866213152,
25,48,2,,2,,65.30580498866213,
25,48,3,,2,,65.89585034013605,
25,43,4,,2,,66.45886621315192,
26,47,1,Db,2,,67.08560090702947,
26,42,2,,2,,67.63904761904762,
26,50,3,,2,,68.20068027210884,
26,47,4,,2,,68.75376417233561,
27,48,1,F-,2,,69.32244897959184,
27,48,2,,2,,69.9143537414966,
27,48,3,,2,,70.4956462585034,
27,43,4,,2,,71.04902494331066,
28,49,1,Gb7,2,,71.61065759637188,
