bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,F7,1,A1,0.9275056689342404,4/4
1,38,2,,1,,1.384421768707483,
1,40,3,,1,,1.815578231292517,
1,43,4,,1,,2.2530839002267573,
2,41,1,Bb7,1,,2.7195691609977324,
2,41,2,,1,,3.1962585034013604,
2,48,3,,1,,3.6531972789115645,
2,42,4,,1,,4.135328798185941,
3,43,1,F7,1,,4.568526077097506,
3,34,2,,1,,5.033968253968254,
3,50,3,,1,,5.481133786848073,
3,49,4,,1,,5.912244897959184,
4,48,1,F7,1,,6.378888888888889,
4,44,2,,1,,6.830249433106576,
4,44,3,,1,,7.302630385487529,
4,42,4,,1,,7.779002267573696,
5,43,1,Bb7,1,,8.245691609977325,
5,43,2,,1,,8.712562358276644,
5,45,3,,1,,9.159727891156463,
5,43,4,,1,,9.616530612244897,
6,41,1,Bb7,1,,10.092063492063492,
6,41,2,,1,,10.559092970521542,
6,44,3,,1,,11.01591836734694,
6,43,4,,1,,11.482630385487528,
7,44,1,F7,1,,11.949478458049887,
7,42,2,,1,,12.416167800453515,
7,50,3,,1,,12.873061224489796,
7,50,4,,1,,13.3237641723356,
8,38,1,A-7,1,,13.804263038548752,
8,40,2,,1,,14.272244897959183,
8,45,3,D7,1,,14.723945578231293,
8,44,4,,1,,15.215668934240362,
9,38,1,G-7,1,,15.63718820861678,
9,45,2,,1,,16.084557823129252,
9,50,3,,1,,16.551337868480726,
9,45,4,,1,,17.008231292517006,
10,50,1,C7,1,,17.47514739229025,
10,44,2,,1,,17.932244897959183,
10,43,3,,1,,18.382653061224488,
10,49,4,,1,,18.839591836734694,
11,48,1,F7,1,,19.266757369614513,
11,40,2,,1,,19.736961451247165,
11,45,3,,1,,20.221678004535146,
11,41,4,,1,,20.683174603174603,
12,38,1,G-7,1,,21.108231292517008,
12,44,2,,1,,21.58485260770975,
12,43,3,C7,1,,22.022290249433105,
12,47,4,,1,,22.489092970521543,
13,48,1,F7,2,A1,22.911156462585033,
13,48,2,,2,,23.387573696145125,
