bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,49,1,Db7,1,A1,9.816326530612244,4/4
1,48,2,,1,,10.167596371882086,
1,47,3,,1,,10.526575963718821,
1,48,4,,1,,10.896757369614512,
2,51,1,,1,,11.273219954648527,
2,49,2,,1,,11.64326530612245,
2,47,3,,1,,12.00235827664399,
2,49,4,,1,,12.361315192743763,
3,50,1,Gb7,1,,12.731360544217686,
3,51,2,,1,,13.090408163265305,
3,49,3,,1,,13.449387755102041,
3,48,4,,1,,13.799886621315192,
4,49,1,,1,,14.177482993197279,
4,42,2,,1,,14.546439909297051,
4,50,3,,1,,14.887097505668935,
4,50,4,,1,,15.248185941043085,
5,50,1,F7,1,,15.616054421768707,
5,50,2,,1,,15.975102040816326,
5,51,3,E7,1,,16.32573696145125,
5,51,4,,1,,16.676190476190477,
6,50,1,Eb7,1,,17.045102040816328,
6,50,2,,1,,17.403990929705216,
6,47,3,,1,,17.759183673469387,
6,50,4,,1,,18.11501133786848,
7,50,1,D7,1,,18.49342403628118,
7,50,2,,1,,18.861292517006802,
7,45,3,,1,,19.230362811791384,
7,49,4,,1,,19.599070294784582,
8,50,1,,1,,19.9397052154195,
8,42,2,,1,,20.298684807256237,
8,48,3,,1,,20.66891156462585,
8,47,4,,1,,21.01809523809524,
9,48,1,Db7,1,A2,21.395714285714284,
9,51,2,,1,,21.74625850340136,
9,48,3,,1,,22.10532879818594,
9,47,4,,1,,22.465668934240362,
10,48,1,,1,,22.82455782312925,
10,51,2,,1,,23.184897959183672,
10,50,3,,1,,23.55374149659864,
10,42,4,,1,,23.922539682539682,
11,50,1,Gb7,1,,24.282857142857143,
11,49,2,,1,,24.64079365079365,
11,47,3,,1,,25.009909297052154,
11,44,4,,1,,25.36027210884354,
12,49,1,,1,,25.738843537414965,
12,44,2,,1,,26.07950113378685,
12,48,3,,1,,26.458208616780045,
12,49,4,,1,,26.82702947845805,
13,48,1,F7,1,,27.17748299319728,
13,48,2,,1,,27.53562358276644,
13,47,3,E7,1,,27.90451247165533,
13,47,4,,1,,28.264829931972788,
14,47,1,Eb7,1,,28.641133786848073,
14,47,2,,1,,29.019818594104308,
14,42,3,,1,,29.360634920634922,
14,47,4,,1,,29.729365079365078,
15,45,1,D7,1,,30.079863945578232,
15,47,2,,1,,30.43673469387755,
15,49,3,,1,,30.804081632653062,
15,50,4,,1,,31.19517006802721,
16,50,1,,1,,31.545691609977325,
16,40,2,,1,,31.91453514739229,
16,45,3,,1,,32.27487528344671,
16,49,4,,1,,32.65337868480726,
17,50,1,D-7,1,B1,32.994126984126986,
17,43,2,,1,,33.37063492063492,
17,42,3,G7,1,,33.73172335600907,
17,40,4,,1,,34.09961451247165,
18,50,1,,1,,34.45882086167801,
18,40,2,,1,,34.819047619047616,
18,41,3,,1,,35.17804988662132,
18,42,4,,1,,35.528344671201815,
19,43,1,C7,1,,35.89727891156463,
19,47,2,,1,,36.24777777777778,
19,48,3,,1,,36.59816326530612,
19,49,4,,1,,36.957256235827664,
20,50,1,,1,,37.32605442176871,
20,41,2,,1,,37.68650793650794,
20,43,3,,1,,38.045374149659864,
20,47,4,,1,,38.4056462585034,
21,50,1,C-7,1,,38.76362811791383,
21,51,2,,1,,39.14251700680272,
21,50,3,,1,,39.49294784580499,
21,50,4,,1,,39.83446712018141,
22,50,1,F7,1,,40.20233560090703,
22,50,2,,1,,40.571179138321995,
22,48,3,,1,,40.93993197278912,
22,37,4,,1,,41.300045351473926,
23,50,1,E7,1,,41.65714285714286,
23,41,2,,1,,42.02040816326531,
23,37,3,A7913b,1,,42.368820861678,
23,50,4,,1,,42.729024943310655,
24,51,1,Ab7alt,1,,43.0969387755102,
24,50,2,,1,,43.46585034013606,
24,50,3,,1,,43.78918367346939,
24,45,4,,1,,44.15791383219955,
25,44,1,Db7,1,A3,44.49861678004535,
25,44,2,,1,,44.85888888888889,
25,49,3,,1,,45.21809523809524,
25,48,4,,1,,45.56848072562358,
26,50,1,,1,,45.899365079365076,
26,50,2,,1,,46.2597052154195,
26,50,3,,1,,46.628458049886625,
26,50,4,,1,,47.00725623582766,
27,51,1,Gb7,1,,47.36514739229025,
27,50,2,,1,,47.72637188208617,
27,49,3,,1,,48.10204081632653,
27,42,4,,1,,48.49031746031746,
28,44,1,,1,,48.859092970521544,
28,37,2,,1,,49.22800453514739,
28,49,3,,1,,49.57850340136054,
28,50,4,,1,,49.94707482993197,
29,50,1,F7,1,,50.297596371882086,
29,43,2,,1,,50.66122448979592,
29,48,3,E7,1,,51.012244897959185,
29,42,4,,1,,51.38580498866213,
30,47,1,Eb7,1,,51.77170068027211,
30,42,2,,1,,52.13224489795918,
30,42,3,,1,,52.50097505668934,
30,50,4,,1,,52.85895691609977,
31,47,1,D7,1,,53.24748299319728,
31,52,2,,1,,53.60643990929705,
31,45,3,,1,,53.96671201814059,
31,52,4,,1,,54.307437641723354,
32,50,1,,1,,54.693832199546485,
32,47,2,,1,,55.05482993197279,
32,45,3,,1,,55.40532879818594,
32,42,4,,1,,55.75365079365079,
33,44,1,Db7,2,A1,56.114761904761906,
33,48,2,,2,,56.482834467120185,
33,49,3,,2,,56.84401360544218,
33,50,4,,2,,57.202131519274374,
34,50,1,,2,,57.559183673469384,
34,50,2,,2,,57.93131519274377,
34,42,3,,2,,58.29020408163265,
34,43,4,,2,,58.64072562358277,
35,44,1,Gb7,2,,59.0271201814059,
35,43,2,,2,,59.40560090702948,
35,39,3,,2,,59.75607709750567,
35,50,4,,2,,60.12478458049887,
36,49,1,,2,,60.50265306122449,
36,51,2,,2,,60.84437641723356,
36,50,3,,2,,61.20235827664399,
36,43,4,,2,,61.562562358276644,
37,50,1,F7,2,,61.93061224489796,
37,45,2,,2,,62.3002947845805,
37,48,3,E7,2,,62.66816326530612,
37,37,4,,2,,63.01954648526077,
38,41,1,Eb7,2,,63.397301587301584,
38,37,2,,2,,63.748775510204084,
38,47,3,,2,,64.10675736961451,
38,45,4,,2,,64.4572335600907,
39,50,1,D7,2,,64.81643990929705,
