bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,1,NC,0,I1,4.245283446712018,
0,43,2,,0,,4.5482086167800455,
0,45,3,,0,,4.860226757369614,
0,47,4,,0,,5.137414965986395,
1,48,1,F7,1,A1,5.418458049886621,4/4
1,47,2,,1,,5.738231292517007,
1,47,3,,1,,6.025079365079365,
1,45,4,,1,,6.340498866213152,
2,43,1,Bb7,1,,6.633718820861678,
2,40,2,,1,,6.937392290249433,
2,41,3,,1,,7.247528344671202,
2,42,4,,1,,7.5462585034013605,
3,43,1,F7,1,,7.842358276643991,
3,45,2,,1,,8.15891156462585,
3,50,3,,1,,8.463673469387755,
3,38,4,,1,,8.745215419501134,
4,52,1,,1,,9.029659863945579,
4,43,2,,1,,9.314104308390023,
4,48,3,,1,,9.624671201814058,
4,42,4,,1,,9.906213151927437,
5,41,1,Bb7,1,,10.187755102040816,
5,38,2,,1,,10.478004535147392,
5,39,3,,1,,10.782766439909297,
5,40,4,,1,,11.099138321995465,
6,41,1,,1,,11.374875283446713,
6,42,2,,1,,11.688344671201815,
6,43,3,,1,,11.966984126984126,
6,50,4,,1,,12.258480725623583,
7,48,1,F7,1,,12.553809523809523,
7,45,2,,1,,12.847687074829931,
7,45,3,,1,,13.133786848072562,
7,47,4,,1,,13.424036281179138,
8,40,1,A-7,1,,13.714285714285714,
8,40,2,,1,,14.026530612244898,
8,39,3,D7,1,,14.338321995464852,
8,39,4,,1,,14.63265306122449,
9,38,1,G-7,1,,14.912244897959184,
9,40,2,,1,,15.206122448979592,
9,41,3,,1,,15.49795918367347,
9,45,4,,1,,15.779591836734694,
10,50,1,C7,1,,16.079591836734693,
10,48,2,,1,,16.39387755102041,
10,47,3,,1,,16.7,
10,43,4,,1,,16.981632653061226,
11,48,1,F7,1,,17.26938775510204,
11,50,2,,1,,17.573469387755104,
11,38,3,,1,,17.857142857142858,
11,45,4,,1,,18.13061224489796,
12,50,1,C7,1,,18.410204081632653,
12,52,2,,1,,18.702222222222222,
12,41,3,,1,,19.00204081632653,
12,43,4,,1,,19.308163265306124,
13,37,1,F7,2,A1,19.591836734693878,
13,37,2,,2,,19.889795918367348,
13,37,3,,2,,20.1734693877551,
13,48,4,,2,,20.459183673469386,
14,48,1,Bb7,2,,20.76326530612245,
14,40,2,,2,,21.06326530612245,
14,41,3,,2,,21.351020408163265,
14,42,4,,2,,21.65918367346939,
15,43,1,F7,2,,21.940816326530612,
15,45,2,,2,,22.215691609977323,
15,50,3,,2,,22.50204081632653,
15,47,4,,2,,22.81020408163265,
16,48,1,,2,,23.09514739229025,
16,42,2,,2,,23.40204081632653,
16,49,3,,2,,23.687755102040818,
16,42,4,,2,,23.993877551020407,
17,41,1,Bb7,2,,24.271428571428572,
17,45,2,,2,,24.56326530612245,
17,43,3,,2,,24.877551020408163,
17,42,4,,2,,25.181632653061225,
18,41,1,,2,,25.457142857142856,
18,48,2,,2,,25.738775510204082,
18,42,3,,2,,26.040816326530614,
18,45,4,,2,,26.33061224489796,
19,43,1,F7,2,,26.63469387755102,
19,48,2,,2,,26.922448979591838,
19,41,3,,2,,27.210204081632654,
19,51,4,,2,,27.50204081632653,
20,38,1,A-7,2,,27.779591836734692,
20,43,2,,2,,28.061972789115647,
20,44,3,D7,2,,28.337392290249433,
20,37,4,,2,,28.633650793650794,
21,38,1,G-7,2,,28.93657596371882,
21,37,2,,2,,29.240249433106577,
21,37,3,,2,,29.53643990929705,
21,43,4,,2,,29.83934240362812,
22,42,1,C7,2,,30.135555555555555,
22,50,2,,2,,30.43045351473923,
22,47,3,,2,,30.716054421768707,
22,43,4,,2,,31.002448979591836,
23,40,1,F7,2,,31.297551020408164,
23,41,2,,2,,31.591587301587303,
23,40,3,,2,,31.88768707482993,
23,45,4,,2,,32.190544217687076,
24,38,1,C7,2,,32.468321995464855,
24,37,2,,2,,32.76226757369614,
24,35,3,,2,,33.06736961451247,
24,44,4,,2,,33.363356009070294,
25,48,1,F7,3,A1,33.639002267573694,
25,47,2,,3,,33.93469387755102,
25,45,3,,3,,34.234920634920634,
25,45,4,,3,,34.53097505668934,
26,43,1,Bb7,3,,34.82702947845805,
26,35,2,,3,,35.124489795918365,
26,38,3,,3,,35.424943310657596,
26,43,4,,3,,35.72222222222222,
27,48,1,F7,3,,36.00809523809524,
27,52,2,,3,,36.3131746031746,
27,40,3,,3,,36.60725623582766,
27,42,4,,3,,36.90238095238095,
28,43,1,,3,,37.20619047619048,
28,42,2,,3,,37.5021768707483,
28,41,3,,3,,37.77770975056689,
28,33,4,,3,,38.073015873015876,
29,41,1,Bb7,3,,38.35938775510204,
29,52,2,,3,,38.65467120181406,
29,51,3,,3,,38.936961451247164,
29,50,4,,3,,39.21628117913832,
30,48,1,,3,,39.50185941043084,
30,47,2,,3,,39.81544217687075,
30,45,3,,3,,40.121201814058956,
30,45,4,,3,,40.40659863945578,
31,43,1,F7,3,,40.70063492063492,
31,40,2,,3,,40.99575963718821,
31,41,3,,3,,41.28206349206349,
31,42,4,,3,,41.57725623582766,
32,43,1,A-7,3,,41.8734693877551,
32,35,2,,3,,42.166507936507934,
32,40,3,D7,3,,42.4527664399093,
32,45,4,,3,,42.74795918367347,
33,50,1,G-7,3,,43.05850340136055,
33,50,2,,3,,43.36616780045352,
33,43,3,,3,,43.67383219954649,
33,42,4,,3,,43.957142857142856,
34,41,1,C7,3,,44.2530612244898,
34,38,2,,3,,44.55510204081633,
34,43,3,,3,,44.871428571428574,
34,47,4,,3,,45.16122448979592,
35,34,1,F7,3,,45.440816326530616,
35,40,2,,3,,45.75714285714286,
35,45,3,,3,,46.03877551020408,
35,43,4,,3,,46.32539682539682,
36,44,1,C7,3,,46.610294784580496,
36,42,2,,3,,46.91585034013605,
36,43,3,,3,,47.20219954648526,
36,50,4,,3,,47.49532879818594,
37,48,1,F7,4,A1,47.77333333333333,
37,37,2,,4,,48.06696145124717,
37,37,3,,4,,48.344852607709754,
37,42,4,,4,,48.64868480725624,
38,44,1,Bb7,4,,48.9340589569161,
38,33,2,,4,,49.247414965986394,
38,34,3,,4,,49.55351473922902,
38,50,4,,4,,49.84650793650793,
39,51,1,F7,4,,50.12419501133787,
39,33,2,,4,,50.41047619047619,
39,41,3,,4,,50.704081632653065,
39,51,4,,4,,51.0,
40,52,1,,4,,51.29183673469388,
40,42,2,,4,,51.593877551020405,
40,48,3,,4,,51.891836734693875,
40,42,4,,4,,52.20612244897959,
41,48,1,Bb7,4,,52.49795918367347,
41,48,2,,4,,52.779591836734696,
41,37,3,,4,,53.09591836734694,
41,48,4,,4,,53.371428571428574,
42,41,1,,4,,53.66938775510204,
42,42,2,,4,,53.96326530612245,
42,43,3,,4,,54.244897959183675,
42,50,4,,4,,54.54489795918367,
43,41,1,F7,4,,54.844897959183676,
43,51,2,,4,,55.128571428571426,
43,40,3,,4,,55.416326530612245,
43,40,4,,4,,55.704081632653065,
44,45,1,A-7,4,,55.99591836734694,
44,45,2,,4,,56.27755102040816,
44,45,3,D7,4,,56.56530612244898,
44,39,4,,4,,56.8447619047619,
45,38,1,G-7,4,,57.1309977324263,
45,45,2,,4,,57.4443537414966,
45,50,3,,4,,57.73975056689343,
45,48,4,,4,,58.04353741496599,
46,47,1,C7,4,,58.32113378684807,
46,50,2,,4,,58.61501133786848,
46,38,3,,4,,58.92006802721088,
46,44,4,,4,,59.2153514739229,
47,43,1,F7,4,,59.50174603174603,
47,52,2,,4,,59.786961451247166,
47,45,3,,4,,60.06278911564626,
47,45,4,,4,,60.36643990929705,
48,50,1,C7,4,,60.652902494331066,
48,34,2,,4,,60.96399092970522,
48,52,3,,4,,61.26122448979592,
48,50,4,,4,,61.53877551020408,
49,48,1,,4,I1,61.820408163265306,
49,47,2,,4,,62.11038548752835,
49,45,3,,4,,62.39678004535148,
49,45,4,,4,,62.70049886621315,
