bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,48,4,NC,0,I1,2.1928798185941045,
1,48,1,Ab7,1,A1,2.538049886621315,4/4
1,40,2,,1,,2.8862131519274374,
1,45,3,,1,,3.253061224489796,
1,42,4,,1,,3.5957596371882086,
2,42,1,,1,,3.9287755102040816,
2,42,2,,1,,4.275804988662132,
2,48,3,,1,,4.618253968253968,
2,48,4,,1,,4.951043083900227,
3,51,1,,1,,5.279591836734694,
3,37,2,,1,,5.621496598639456,
3,37,3,,1,,5.964195011337869,
3,37,4,,1,,6.296848072562359,
4,37,1,,1,,6.654263038548753,
4,37,2,,1,,7.006598639455782,
4,37,3,,1,,7.353786848072563,
4,48,4,,1,,7.686780045351474,
5,51,1,,1,,8.04485260770975,
5,51,2,,1,,8.376825396825398,
5,37,3,,1,,8.719591836734693,
5,37,4,,1,,9.0578231292517,
6,51,1,,1,,9.41920634920635,
6,51,2,,1,,9.777301587301586,
6,47,3,,1,,10.100408163265307,
6,48,4,,1,,10.451972789115647,
7,48,1,,1,,10.806122448979592,
7,38,2,,1,,11.166825396825397,
7,37,3,,1,,11.49968253968254,
7,37,4,,1,,11.867641723356009,
8,37,1,,1,,12.209501133786848,
8,42,2,,1,,12.5478231292517,
8,51,3,,1,,12.890408163265306,
8,49,4,,1,,13.238004535147393,
9,49,1,Gb7,1,,13.583673469387755,
9,37,2,,1,,13.957936507936507,
9,37,3,,1,,14.30596371882086,
9,37,4,,1,,14.638140589569161,
10,37,1,,1,,14.970907029478457,
10,37,2,,1,,15.323401360544217,
10,48,3,,1,,15.64562358276644,
10,48,4,,1,,15.97859410430839,
11,37,1,,1,,16.316462585034014,
11,37,2,,1,,16.649183673469388,
11,37,3,,1,,16.990952380952383,
11,37,4,,1,,17.329455782312927,
12,37,1,,1,,17.671133786848074,
12,37,2,,1,,18.03904761904762,
12,48,3,,1,,18.37185941043084,
12,37,4,,1,,18.70387755102041,
13,51,1,Ab7,1,,19.027142857142856,
13,37,2,,1,,19.38496598639456,
13,37,3,,1,,19.751972789115648,
13,40,4,,1,,20.119591836734696,
14,37,1,,1,,20.471814058956916,
14,48,2,,1,,20.829886621315193,
14,48,3,,1,,21.171791383219954,
14,49,4,,1,,21.50471655328798,
15,49,1,,1,,21.84206349206349,
15,51,2,,1,,22.16344671201814,
15,42,3,,1,,22.517528344671202,
15,37,4,,1,,22.865487528344673,
16,37,1,,1,,23.232562358276645,
16,37,2,,1,,23.5740589569161,
16,48,3,,1,,23.8981179138322,
16,37,4,,1,,24.246009070294786,
17,51,1,Ab-7,1,,24.587891156462586,
17,40,2,,1,,24.955691609977325,
17,48,3,,1,,25.288616780045352,
17,49,4,,1,,25.63582766439909,
18,48,1,Db7913,1,,25.98827664399093,
18,48,2,,1,,26.320340136054423,
18,48,3,,1,,26.678458049886622,
18,48,4,,1,,27.011224489795918,
19,37,1,Bb-7,1,,27.343333333333334,
19,37,2,,1,,27.71092970521542,
19,48,3,,1,,28.05907029478458,
19,47,4,,1,,28.42614512471655,
20,34,1,Eb7,1,,28.78829931972789,
20,42,2,,1,,29.12671201814059,
20,37,3,,1,,29.49360544217687,
20,37,4,,1,,29.855873015873016,
21,37,1,Ab-,1,,30.213514739229026,
21,37,2,,1,,30.561859410430838,
21,37,3,,1,,30.913287981859412,
21,37,4,,1,,31.246145124716552,
22,37,1,,1,,31.594308390022675,
22,48,2,,1,,31.945873015873016,
22,48,3,,1,,32.284444444444446,
22,48,4,,1,,32.62403628117914,
23,48,1,Bb-7/Eb,1,,32.963628117913835,
23,37,2,,1,,33.291496598639455,
23,47,3,,1,,33.63963718820862,
23,42,4,,1,,33.97251700680272,
24,45,1,,1,,34.329523809523806,
24,37,2,,1,,34.681927437641725,
24,37,3,,1,,35.030204081632654,
24,48,4,,1,,35.37204081632653,
25,48,1,Ab7,2,A1,35.69512471655329,
25,40,2,,2,,36.02721088435374,
25,48,3,,2,,36.37514739229025,
25,37,4,,2,,36.727551020408164,
26,51,1,,2,,37.085691609977324,
26,51,2,,2,,37.40734693877551,
26,48,3,,2,,37.76555555555556,
26,48,4,,2,,38.09814058956916,
27,48,1,,2,,38.45532879818594,
27,40,2,,2,,38.80750566893424,
27,42,3,,2,,39.16544217687075,
27,37,4,,2,,39.51777777777778,
28,51,1,,2,,39.8756462585034,
28,40,2,,2,,40.22312925170068,
28,42,3,,2,,40.54632653061225,
28,48,4,,2,,40.89873015873016,
29,48,1,,2,,41.240521541950116,
29,40,2,,2,,41.58848072562358,
29,40,3,,2,,41.93671201814059,
29,45,4,,2,,42.28643990929705,
30,51,1,,2,,42.6550566893424,
30,40,2,,2,,42.9859410430839,
30,48,3,,2,,43.35546485260771,
30,48,4,,2,,43.688548752834464,
31,48,1,,2,,44.02678004535147,
31,40,2,,2,,44.379229024943314,
31,40,3,,2,,44.72102040816326,
31,37,4,,2,,45.05931972789116,
32,37,1,,2,,45.410884353741494,
32,37,2,,2,,45.769024943310654,
32,48,3,,2,,46.10192743764172,
32,48,4,,2,,46.433945578231295,
33,48,1,Gb7,2,,46.757120181405895,
33,37,2,,2,,47.11496598639456,
33,37,3,,2,,47.44684807256236,
33,48,4,,2,,47.794920634920636,
34,48,1,,2,,48.147460317460315,
34,37,2,,2,,48.48040816326531,
34,48,3,,2,,48.82732426303855,
34,37,4,,2,,49.15024943310657,
35,48,1,,2,,49.492607709750565,
35,37,2,,2,,49.81587301587302,
35,47,3,,2,,50.15829931972789,
35,42,4,,2,,50.48612244897959,
36,37,1,,2,,50.838367346938774,
36,44,2,,2,,51.18639455782313,
36,48,3,,2,,51.52891156462585,
36,48,4,,2,,51.85185941043084,
37,48,1,Ab7,2,,52.202721088435375,
37,48,2,,2,,52.53197278911565,
37,37,3,,2,,52.88351473922903,
37,37,4,,2,,53.231746031746034,
38,48,1,,2,,53.564784580498866,
38,40,2,,2,,53.9163492063492,
38,48,3,,2,,54.24482993197279,
38,48,4,,2,,54.56802721088435,
39,48,1,,2,,54.90004535147392,
39,40,2,,2,,55.24285714285714,
39,48,3,,2,,55.59102040816327,
39,37,4,,2,,55.942585034013604,
40,48,1,,2,,56.29079365079365,
40,48,2,,2,,56.61297052154195,
40,48,3,,2,,56.955668934240364,
40,48,4,,2,,57.29834467120181,
41,48,1,Ab-7,2,,57.62063492063492,
41,40,2,,2,,57.96877551020408,
41,40,3,,2,,58.32020408163265,
41,40,4,,2,,58.65349206349207,
42,37,1,Db7913,2,,58.978684807256236,
42,48,2,,2,,59.33353741496599,
42,44,3,,2,,59.681496598639455,
42,48,4,,2,,60.02417233560091,
43,48,1,Bb-7,2,,60.363174603174606,
43,37,2,,2,,60.69696145124716,
43,37,3,,2,,61.030748299319725,
43,37,4,,2,,61.36163265306122,
44,34,1,Eb7,2,,61.70263038548753,
44,34,2,,2,,62.034444444444446,
44,37,3,,2,,62.392380952380954,
44,37,4,,2,,62.74031746031746,
45,37,1,Ab-,2,,63.09274376417233,
45,37,2,,2,,63.42482993197279,
45,48,3,,2,,63.79244897959184,
45,48,4,,2,,64.15015873015874,
46,48,1,,2,,64.47299319727891,
46,48,2,,2,,64.80496598639456,
46,48,3,,2,,65.16308390022675,
46,48,4,,2,,65.48614512471656,
47,48,1,Bb-7/Eb,2,,65.82802721088436,
47,48,2,,2,,66.1608843537415,
47,48,3,,2,,66.50879818594105,
47,37,4,,2,,66.87680272108844,
48,37,1,,2,,67.23786848072562,
48,41,2,,2,,67.58603174603175,
48,42,3,,2,,67.91895691609977,
48,37,4,,2,,68.26065759637189,
49,49,1,Ab7,3,A1,68.59755102040816,
49,37,2,,3,,68.96673469387756,
49,37,3,,3,,69.32807256235827,
49,48,4,,3,,69.6762358276644,
50,48,1,,3,,70.00909297052154,
50,48,2,,3,,70.35727891156462,
50,48,3,,3,,70.69909297052155,
50,48,4,,3,,71.05126984126984,
51,48,1,,3,,71.39938775510204,
51,40,2,,3,,71.74122448979591,
51,37,3,,3,,72.0797052154195,
51,48,4,,3,,72.42247165532879,
52,37,1,,3,,72.76435374149659,
52,48,2,,3,,73.0971201814059,
52,48,3,,3,,73.43460317460317,
52,48,4,,3,,73.76750566893423,
53,48,1,,3,,74.10049886621316,
53,40,2,,3,,74.44777777777777,
53,37,3,,3,,74.80031746031746,
53,48,4,,3,,75.14283446712018,
54,37,1,,3,,75.47045351473923,
54,48,2,,3,,75.79367346938776,
54,48,3,,3,,76.14616780045351,
54,48,4,,3,,76.46836734693878,
55,48,1,,3,,76.82614512471655,
55,37,2,,3,,77.17832199546486,
55,40,3,,3,,77.51650793650794,
55,48,4,,3,,77.85925170068028,
56,48,1,,3,,78.20097505668934,
56,48,2,,3,,78.53390022675737,
56,48,3,,3,,78.86149659863946,
56,48,4,,3,,79.20433106575963,
57,47,1,Gb7,3,,79.55249433106576,
57,48,2,,3,,79.88455782312926,
57,47,3,,3,,80.20782312925171,
57,48,4,,3,,80.55047619047619,
