bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,43,1,C-7,1,A1,5.703605442176871,6/4
1,50,2,,1,,6.149863945578232,
1,37,3,,1,,6.5818820861678,
1,47,4,,1,,7.038571428571428,
1,37,5,,1,,7.485986394557823,
1,37,6,,1,,7.942902494331066,
2,42,1,,1,,8.384648526077097,
2,50,2,,1,,8.81655328798186,
2,37,3,,1,,9.248979591836735,
2,37,4,,1,,9.729546485260771,
2,37,5,,1,,10.186462585034013,
2,43,6,,1,,10.643628117913833,
3,47,1,,1,,11.085374149659865,
3,42,2,,1,,11.542267573696146,
3,37,3,,1,,11.983854875283447,
3,37,4,,1,,12.43,
3,37,5,,1,,12.877120181405896,
3,43,6,,1,,13.318934240362811,
4,47,1,,1,,13.741133786848073,
4,50,2,,1,,14.1881179138322,
4,37,3,,1,,14.655056689342404,
4,37,4,,1,,15.085714285714285,
4,37,5,,1,,15.5581179138322,
4,37,6,,1,,15.990022675736961,
5,42,1,F-7,1,,16.422063492063494,
5,37,2,,1,,16.844149659863945,
5,48,3,,1,,17.301179138321995,
5,48,4,,1,,17.74206349206349,
5,51,5,,1,,18.179319727891155,
5,51,6,,1,,18.62108843537415,
6,48,1,,1,,19.043174603174602,
6,37,2,,1,,19.515578231292515,
6,47,3,,1,,19.95625850340136,
6,48,4,,1,,20.40360544217687,
6,37,5,,1,,20.845419501133787,
6,37,6,,1,,21.292403628117913,
7,47,1,C-7,1,,21.73954648526077,
7,37,2,,1,,22.17154195011338,
7,37,3,,1,,22.63732426303855,
7,37,4,,1,,23.04968253968254,
7,37,5,,1,,23.506666666666668,
7,37,6,,1,,23.973605442176872,
8,47,1,,1,,24.44031746031746,
8,50,2,,1,,24.862380952380953,
8,48,3,,1,,25.283786848072562,
8,37,4,,1,,25.730839002267572,
8,37,5,,1,,26.197551020408163,
8,37,6,,1,,26.67426303854875,
9,49,1,F#m7b5,1,B1,27.076349206349207,
9,37,2,,1,,27.562743764172335,
9,49,3,,1,,28.03934240362812,
