bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,42,1,Bb+7,1,A1,5.481678004535147,3/4
1,42,2,,1,,5.794807256235828,
1,42,3,,1,,6.108367346938776,
2,37,1,,1,,6.4688662131519274,
2,37,2,,1,,6.8192290249433105,
2,48,3,,1,,7.151020408163265,
3,42,1,,1,,7.491655328798186,
3,42,2,,1,,7.832312925170068,
3,42,3,,1,,8.165532879818594,
4,37,1,,1,,8.514489795918367,
4,42,2,,1,,8.874965986394558,
4,42,3,,1,,9.225442176870748,
5,42,1,,1,,9.594195011337868,
5,42,2,,1,,9.935034013605442,
5,42,3,,1,,10.294036281179139,
6,48,1,,1,,10.634852607709751,
6,48,2,,1,,10.985351473922902,
6,48,3,,1,,11.31845804988662,
7,42,1,,1,,11.649342403628118,
7,42,2,,1,,11.991043083900227,
7,42,3,,1,,12.34142857142857,
8,48,1,,1,,12.69201814058957,
8,48,2,,1,,13.051133786848073,
8,48,3,,1,,13.401678004535148,
9,41,1,Bb+7,1,,13.752108843537416,
9,41,2,,1,,14.111133786848072,
9,43,3,,1,,14.444172335600907,
10,45,1,,1,,14.775215419501134,
10,47,2,,1,,15.12578231292517,
10,49,3,,1,,15.46655328798186,
11,40,1,A7,1,,15.820408163265306,
11,40,2,,1,,16.166235827664398,
11,40,3,,1,,16.509070294784582,
12,40,1,,1,,16.858367346938774,
12,40,2,,1,,17.208979591836734,
12,40,3,,1,,17.549750566893422,
13,39,1,Abj7,1,,17.900226757369616,
13,43,2,,1,,18.240816326530613,
13,47,3,,1,,18.583673469387755,
14,47,1,,1,,18.951020408163266,
14,47,2,,1,,19.285714285714285,
14,40,3,,1,,19.65251700680272,
15,48,1,E-7,1,,19.9931746031746,
15,47,2,,1,,20.31641723356009,
15,47,3,,1,,20.665578231292518,
16,47,1,,1,,20.988163265306124,
16,42,2,,1,,21.321156462585034,
16,50,3,,1,,21.670430839002268,
17,48,1,Fj7,1,,22.021133786848072,
17,37,2,,1,,22.37167800453515,
17,40,3,,1,,22.72301587301587,
18,40,1,,1,,23.073560090702948,
18,37,2,,1,,23.40433106575964,
18,37,3,,1,,23.763492063492063,
19,48,1,B-7,1,,24.123922902494332,
19,49,2,,1,,24.482879818594103,
19,49,3,,1,,24.81498866213152,
20,37,1,,1,,25.156689342403627,
20,37,2,,1,,25.48764172335601,
20,37,3,,1,,25.838072562358278,
21,49,1,Fj7,1,,26.188526077097507,
21,49,2,,1,,26.540249433106577,
21,37,3,,1,,26.888548752834467,
22,37,1,,1,,27.21183673469388,
22,48,2,,1,,27.54487528344671,
22,37,3,,1,,27.893265306122448,
23,49,1,B-7,1,,28.22639455782313,
23,49,2,,1,,28.57684807256236,
23,42,3,,1,,28.93605442176871,
24,43,1,,1,,29.27668934240363,
24,48,2,,1,,29.618367346938776,
24,47,3,,1,,29.940816326530612,
25,42,1,B+7,2,A1,30.272698412698414,
25,42,2,,2,,30.604807256235826,
25,48,3,,2,,30.936621315192745,
26,42,1,,2,,31.277414965986395,
26,42,2,,2,,31.61809523809524,
26,42,3,,2,,31.978571428571428,
27,49,1,,2,,32.329909297052154,
27,37,2,,2,,32.65108843537415,
27,48,3,,2,,32.97551020408163,
28,42,1,,2,,33.30204081632653,
28,42,2,,2,,33.664263038548754,
28,42,3,,2,,34.04201814058957,
29,48,1,,2,,34.373877551020406,
29,48,2,,2,,34.7243537414966,
29,48,3,,2,,35.03798185941043,
30,42,1,,2,,35.388344671201814,
30,42,2,,2,,35.74875283446712,
30,42,3,,2,,36.08947845804989,
31,48,1,,2,,36.40312925170068,
31,48,2,,2,,36.73401360544218,
31,48,3,,2,,37.04750566893424,
32,48,1,,2,,37.380702947845805,
32,42,2,,2,,37.72136054421769,
32,42,3,,2,,38.06208616780045,
33,41,1,Bb+7,2,,38.38544217687075,
33,41,2,,2,,38.734580498866215,
33,47,3,,2,,39.057913832199546,
34,45,1,,2,,39.39868480725624,
34,45,2,,2,,39.7492970521542,
34,45,3,,2,,40.09013605442177,
35,42,1,A7,2,,40.44138321995465,
35,40,2,,2,,40.764603174603174,
35,40,3,,2,,41.07732426303855,
36,40,1,,2,,41.41888888888889,
36,40,2,,2,,41.73995464852608,
36,37,3,,2,,42.08297052154195,
37,39,1,Abj7,2,,42.42362811791383,
37,43,2,,2,,42.754557823129254,
37,47,3,,2,,43.1150566893424,
38,37,1,,2,,43.45662131519274,
38,47,2,,2,,43.8049433106576,
38,43,3,,2,,44.155419501133785,
39,47,1,E-7,2,,44.5068253968254,
39,47,2,,2,,44.83768707482993,
39,47,3,,2,,45.18839002267574,
40,47,1,,2,,45.52913832199547,
40,47,2,,2,,45.86229024943311,
40,47,3,,2,,46.20297052154195,
41,42,1,Fj7,2,,46.5543537414966,
41,42,2,,2,,46.88532879818594,
41,48,3,,2,,47.22589569160998,
42,37,1,,2,,47.57641723356009,
42,48,2,,2,,47.907437641723355,
42,48,3,,2,,48.27628117913832,
43,42,1,B-7,2,,48.62680272108844,
43,49,2,,2,,48.95024943310658,
43,37,3,,2,,49.30070294784581,
44,37,1,,2,,49.64231292517007,
44,37,2,,2,,49.97326530612245,
44,43,3,,2,,50.3063492063492,
45,43,1,Fj7,2,,50.66462585034014,
45,48,2,,2,,50.99646258503402,
45,48,3,,2,,51.32938775510204,
46,48,1,,2,,51.67013605442177,
46,47,2,,2,,52.01077097505669,
46,37,3,,2,,52.351609977324266,
47,42,1,B-7,2,,52.69226757369614,
47,48,2,,2,,53.01553287981859,
47,48,3,,2,,53.34641723356009,
48,37,1,,2,,53.69816326530612,
48,48,2,,2,,54.0202947845805,
48,42,3,,2,,54.379433106575966,
49,42,1,B+7,3,A1,54.722426303854874,
49,42,2,,3,,55.05337868480726,
49,42,3,,3,,55.384195011337866,
50,45,1,,3,,55.72587301587301,
50,48,2,,3,,56.0678231292517,
50,48,3,,3,,56.42857142857143,
51,42,1,,3,,56.79555555555555,
51,42,2,,3,,57.1190022675737,
51,42,3,,3,,57.46934240362812,
52,37,1,,3,,57.81863945578231,
52,48,2,,3,,58.160657596371884,
52,48,3,,3,,58.51986394557823,
