bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,NC,1,A1,5.050340136054421,4/4
1,51,2,,1,,5.269705215419501,
1,50,3,,1,,5.509705215419501,
1,50,4,,1,,5.768117913832199,
2,50,1,,1,,6.006643990929705,
2,50,2,,1,,6.219319727891157,
2,50,3,,1,,6.4504761904761905,
2,40,4,,1,,6.663219954648526,
3,47,1,,1,,6.892244897959183,
3,50,2,,1,,7.122426303854875,
3,50,3,,1,,7.363151927437642,
3,47,4,,1,,7.593356009070295,
4,49,1,,1,,7.814535147392291,
4,50,2,,1,,8.044920634920635,
4,50,3,,1,,8.275963718820861,
4,47,4,,1,,8.506190476190476,
5,43,1,,1,,8.73716553287982,
5,50,2,,1,,8.95750566893424,
5,50,3,,1,,9.180204081632652,
5,50,4,,1,,9.411133786848072,
6,50,1,,1,,9.641428571428571,
6,50,2,,1,,9.862607709750566,
6,50,3,,1,,10.08297052154195,
6,50,4,,1,,10.304331065759637,
7,43,1,,1,,10.517142857142858,
7,45,2,,1,,10.747278911564626,
7,49,3,,1,,10.968503401360545,
7,50,4,,1,,11.181360544217688,
8,37,1,,1,,11.420068027210885,
8,38,2,,1,,11.642585034013605,
8,38,3,,1,,11.872857142857143,
8,50,4,,1,,12.08424036281179,
9,50,1,,1,,12.306780045351474,
9,37,2,,1,,12.53687074829932,
9,50,3,,1,,12.758095238095239,
9,37,4,,1,,12.988367346938775,
10,50,1,,1,,13.199750566893425,
10,50,2,,1,,13.41249433106576,
10,50,3,,1,,13.647528344671201,
10,37,4,,1,,13.87392290249433,
11,50,1,,1,,14.106122448979592,
11,50,2,,1,,14.341224489795918,
11,50,3,,1,,14.565056689342404,
11,50,4,,1,,14.813537414965987,
12,50,1,,1,,15.061995464852608,
12,44,2,,1,,15.292947845804989,
12,48,3,,1,,15.515532879818593,
12,47,4,,1,,15.736009070294784,
13,47,1,,1,,15.957165532879818,
13,37,2,,1,,16.187392290249434,
13,50,3,,1,,16.408616780045353,
13,42,4,,1,,16.63873015873016,
14,49,1,,1,,16.86981859410431,
14,50,2,,1,,17.092448979591836,
14,50,3,,1,,17.331201814058957,
14,50,4,,1,,17.55360544217687,
15,45,1,,1,,17.773968253968253,
15,50,2,,1,,18.01281179138322,
15,49,3,,1,,18.23530612244898,
15,40,4,,1,,18.46641723356009,
16,40,1,,1,,18.68673469387755,
16,50,2,,1,,18.917732426303854,
16,50,3,,1,,19.1578231292517,
16,50,4,,1,,19.37875283446712,
17,42,1,,1,,19.617482993197278,
17,44,2,,1,,19.840090702947847,
17,50,3,,1,,20.070294784580497,
17,50,4,,1,,20.291609977324264,
18,50,1,,1,,20.51185941043084,
18,50,2,,1,,20.743061224489797,
18,50,3,,1,,20.955555555555556,
18,50,4,,1,,21.194308390022677,
