bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,48,1,F7,1,A1,1.822766439909297,4/4
1,47,2,,1,,2.1431972789115648,
1,45,3,,1,,2.4392743764172335,
1,45,4,,1,,2.746167800453515,
2,43,1,Bb7,1,,3.0428344671201812,
2,40,2,,1,,3.349183673469388,
2,41,3,,1,,3.6492290249433106,
2,42,4,,1,,3.9296371882086167,
3,43,1,F7,1,,4.212607709750567,
3,45,2,,1,,4.4917913832199545,
3,50,3,,1,,4.788163265306123,
3,38,4,,1,,5.09047619047619,
4,52,1,,1,,5.399229024943311,
4,43,2,,1,,5.676575963718821,
4,48,3,,1,,5.9819274376417235,
4,42,4,,1,,6.270907029478458,
5,41,1,Bb7,1,,6.580090702947846,
5,42,2,,1,,6.872086167800454,
5,43,3,,1,,7.160566893424036,
5,45,4,,1,,7.449455782312925,
6,47,1,,1,,7.743605442176871,
6,47,2,,1,,8.059591836734693,
6,48,3,,1,,8.337823129251701,
6,50,4,,1,,8.630884353741497,
7,51,1,F7,1,,8.922607709750567,
7,52,2,,1,,9.213877551020408,
7,40,3,,1,,9.506530612244898,
7,51,4,,1,,9.793378684807257,
8,40,1,A-7,1,,10.09204081632653,
8,40,2,,1,,10.386802721088435,
8,45,3,D7,1,,10.671814058956915,
8,38,4,,1,,10.967052154195011,
9,50,1,G-7,1,,11.26437641723356,
9,51,2,,1,,11.571179138321995,
9,52,3,,1,,11.853786848072563,
9,51,4,,1,,12.155102040816326,
10,50,1,C7,1,,12.448979591836734,
10,49,2,,1,,12.726530612244899,
10,48,3,,1,,13.024489795918367,
10,47,4,,1,,13.318367346938775,
11,34,1,F7,1,,13.612244897959183,
11,45,2,,1,,13.915419501133787,
11,44,3,,1,,14.209659863945578,
11,42,4,,1,,14.536916099773242,
12,43,1,C7,1,,14.804263038548752,
12,44,2,,1,,15.084036281179138,
12,45,3,,1,,15.364716553287982,
12,47,4,,1,,15.662562358276643,
13,48,1,F7,2,A1,15.956757369614513,
13,42,2,,2,,16.23532879818594,
13,43,3,,2,,16.53249433106576,
13,47,4,,2,,16.813718820861677,
14,47,1,Bb7,2,,17.112789115646258,
14,42,2,,2,,17.40780045351474,
14,43,3,,2,,17.68936507936508,
14,47,4,,2,,18.012244897959185,
15,48,1,F7,2,,18.316439909297053,
15,42,2,,2,,18.623242630385487,
15,42,3,,2,,18.922244897959185,
15,45,4,,2,,19.207278911564625,
16,48,1,,2,,19.485714285714284,
16,38,2,,2,,19.786893424036283,
16,33,3,,2,,20.0621768707483,
16,33,4,,2,,20.342766439909298,
17,42,1,Bb7,2,,20.63718820861678,
17,52,2,,2,,20.93285714285714,
17,51,3,,2,,21.229319727891156,
17,50,4,,2,,21.5481179138322,
18,48,1,,2,,21.84673469387755,
18,45,2,,2,,22.143038548752834,
18,47,3,,2,,22.430680272108845,
18,47,4,,2,,22.717233560090705,
19,48,1,F7,2,,23.02231292517007,
19,50,2,,2,,23.2981179138322,
19,51,3,,2,,23.56233560090703,
19,51,4,,2,,23.848321995464854,
20,51,1,A-7,2,,24.120725623582768,
20,40,2,,2,,24.442018140589568,
20,45,3,D7,2,,24.718390022675738,
20,38,4,,2,,25.022290249433105,
21,38,1,G-7,2,,25.29027210884354,
21,45,2,,2,,25.56433106575964,
21,50,3,,2,,25.867324263038547,
21,44,4,,2,,26.15702947845805,
22,43,1,C7,2,,26.43390022675737,
22,50,2,,2,,26.718231292517007,
22,38,3,,2,,27.0346485260771,
22,47,4,,2,,27.323265306122448,
23,48,1,F7,2,,27.624739229024943,
23,41,2,,2,,27.915873015873014,
23,40,3,,2,,28.218049886621316,
23,45,4,,2,,28.506303854875284,
24,38,1,C7,2,,28.81596371882086,
24,37,2,,2,,29.094580498866215,
24,35,3,,2,,29.37514739229025,
24,42,4,,2,,29.654716553287983,
25,48,1,F7,3,A1,29.95031746031746,
25,37,2,,3,,30.237074829931974,
25,38,3,,3,,30.522290249433105,
25,37,4,,3,,30.807097505668935,
26,38,1,Bb7,3,,31.079931972789115,
26,47,2,,3,,31.36907029478458,
26,42,3,,3,,31.671791383219954,
26,43,4,,3,,31.97995464852608,
27,38,1,F7,3,,32.31390022675737,
27,38,2,,3,,32.590544217687075,
27,37,3,,3,,32.88024943310658,
27,50,4,,3,,33.16312925170068,
28,37,1,,3,,33.46950113378685,
28,50,2,,3,,33.749319727891155,
28,48,3,,3,,34.03659863945578,
28,40,4,,3,,34.321927437641726,
29,41,1,Bb7,3,,34.62176870748299,
29,45,2,,3,,34.93555555555555,
29,50,3,,3,,35.22054421768708,
29,48,4,,3,,35.53251700680272,
30,41,1,,3,,35.79356009070295,
30,42,2,,3,,36.09451247165533,
30,45,3,,3,,36.382380952380956,
30,42,4,,3,,36.672721088435374,
31,43,1,F7,3,,36.95789115646259,
31,40,2,,3,,37.25229024943311,
31,45,3,,3,,37.5247619047619,
31,38,4,,3,,37.80619047619047,
32,37,1,A-7,3,,38.103310657596374,
32,40,2,,3,,38.38671201814059,
32,45,3,D7,3,,38.69845804988662,
32,39,4,,3,,38.97582766439909,
33,38,1,G-7,3,,39.25086167800453,
33,39,2,,3,,39.524308390022675,
33,40,3,,3,,39.83607709750567,
33,41,4,,3,,40.12972789115646,
34,42,1,C7,3,,40.43063492063492,
34,41,2,,3,,40.72829931972789,
34,42,3,,3,,41.033469387755105,
34,43,4,,3,,41.320952380952384,
35,42,1,F7,3,,41.59263038548753,
35,43,2,,3,,41.89251700680272,
35,44,3,,3,,42.20655328798186,
35,43,4,,3,,42.50639455782313,
36,44,1,C7,3,,42.797392290249434,
36,33,2,,3,,43.073015873015876,
36,38,3,,3,,43.36219954648526,
36,43,4,,3,,43.63873015873016,
37,48,1,F7,4,A1,43.90768707482993,
37,50,2,,4,,44.20743764172336,
37,51,3,,4,,44.4921768707483,
37,52,4,,4,,44.77077097505669,
38,41,1,Bb7,4,,45.066213151927435,
38,38,2,,4,,45.34848072562358,
38,47,3,,4,,45.62482993197279,
38,43,4,,4,,45.93,
39,42,1,F7,4,,46.21342403628118,
39,42,2,,4,,46.52061224489796,
39,37,3,,4,,46.805192743764174,
39,47,4,,4,,47.09269841269841,
40,48,1,,4,,47.37265306122449,
40,50,2,,4,,47.69412698412698,
40,38,3,,4,,47.97746031746032,
40,33,4,,4,,48.27668934240363,
41,47,1,Bb7,4,,48.59242630385488,
41,47,2,,4,,48.87319727891156,
41,35,3,,4,,49.1830612244898,
41,37,4,,4,,49.46582766439909,
42,38,1,,4,,49.7881179138322,
42,39,2,,4,,50.061632653061224,
42,40,3,,4,,50.355600907029476,
42,41,4,,4,,50.65571428571429,
43,42,1,F7,4,,50.92426303854875,
43,35,2,,4,,51.21759637188209,
43,40,3,,4,,51.50519274376417,
43,38,4,,4,,51.79814058956916,
44,37,1,A-7,4,,52.086938775510205,
44,40,2,,4,,52.371814058956915,
44,45,3,D7,4,,52.678072562358274,
44,33,4,,4,,52.962879818594104,
45,51,1,G-7,4,,53.247074829931975,
45,49,2,,4,,53.559387755102044,
45,48,3,,4,,53.823197278911564,
45,44,4,,4,,54.11546485260771,
46,43,1,C7,4,,54.40353741496599,
46,47,2,,4,,54.68446712018141,
46,50,3,,4,,54.95764172335601,
46,38,4,,4,,55.24793650793651,
47,38,1,F7,4,,55.551859410430836,
47,40,2,,4,,55.82138321995465,
47,45,3,,4,,56.11052154195011,
47,38,4,,4,,56.39798185941043,
48,50,1,C7,4,,56.696281179138325,
48,45,2,,4,,57.01609977324263,
48,45,3,,4,,57.29319727891156,
48,42,4,,4,,57.60156462585034,
49,38,1,F7,5,A1,57.89034013605442,
49,38,2,,5,,58.171950113378685,
49,37,3,,5,,58.45909297052154,
49,42,4,,5,,58.754784580498864,
50,42,1,Bb7,5,,59.05027210884354,
50,33,2,,5,,59.328866213151926,
50,37,3,,5,,59.6340589569161,
50,37,4,,5,,59.93063492063492,
