bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-4,42,3,NC,0,I1,1.3265306122448979,
-4,42,4,,0,,1.4989795918367346,
-3,42,1,,0,,1.6714285714285715,
-3,45,2,,0,,1.8479591836734692,
-3,50,3,,0,,2.024489795918367,
-3,50,4,,0,,2.199365079365079,
-2,50,1,,0,,2.374240362811791,
-2,42,2,,0,,2.5411337868480723,
-2,48,3,,0,,2.708027210884354,
-2,49,4,,0,,2.866213151927438,
-1,34,1,,0,,3.0243990929705213,
-1,42,2,,0,,3.1999546485260772,
-1,47,3,,0,,3.3755102040816327,
-1,47,4,,0,,3.5489795918367344,
0,39,1,,0,,3.7224489795918365,
0,38,2,,0,,3.907482993197279,
0,37,3,,0,,4.092517006802721,
0,37,4,,0,,4.276689342403628,
1,49,1,Bbj7,1,A1,4.460861678004536,4/4
1,49,2,,1,,4.640907029478458,
1,37,3,,1,,4.820952380952381,
1,42,4,,1,,5.012517006802721,
2,42,1,,1,,5.204081632653061,
2,42,2,,1,,5.395215419501134,
2,50,3,,1,,5.586349206349206,
2,42,4,,1,,5.767426303854876,
3,48,1,F-7,1,,5.9485034013605445,
3,42,2,,1,,6.140090702947846,
3,42,3,,1,,6.3316780045351475,
3,45,4,,1,,6.510136054421769,
4,50,1,Bb7,1,,6.68859410430839,
4,48,2,,1,,6.8648185941043085,
4,47,3,,1,,7.0410430839002265,
4,42,4,,1,,7.225022675736961,
5,44,1,Ebj7,1,,7.409002267573696,
5,45,2,,1,,7.582573696145125,
5,47,3,,1,,7.756145124716554,
5,50,4,,1,,7.937312925170068,
6,50,1,,1,,8.118480725623582,
6,42,2,,1,,8.307290249433105,
6,42,3,,1,,8.49609977324263,
6,42,4,,1,,8.66965986394558,
7,42,1,Ab7,1,,8.843219954648527,
7,37,2,,1,,9.019421768707485,
7,38,3,,1,,9.19562358276644,
7,42,4,,1,,9.3697052154195,
8,45,1,,1,,9.543786848072562,
8,37,2,,1,,9.732256235827665,
8,42,3,,1,,9.920725623582767,
8,42,4,,1,,10.111383219954648,
9,38,1,Bbj7,1,,10.30204081632653,
9,45,2,,1,,10.483922902494331,
9,50,3,,1,,10.665804988662131,
9,50,4,,1,,10.8318820861678,
10,45,1,G-7,1,,10.99795918367347,
10,45,2,,1,,11.176825396825397,
10,45,3,,1,,11.355691609977324,
10,42,4,,1,,11.5347052154195,
11,43,1,C7,1,,11.713718820861677,
11,45,2,,1,,11.90202947845805,
11,47,3,,1,,12.090340136054422,
11,47,4,,1,,12.274183673469388,
12,50,1,,1,,12.458027210884353,
12,37,2,,1,,12.629342403628119,
12,50,3,,1,,12.800657596371883,
12,42,4,,1,,12.988990929705215,
13,42,1,C-7,1,,13.177324263038548,
13,38,2,,1,,13.35437641723356,
13,43,3,,1,,13.531428571428572,
13,37,4,,1,,13.718639455782313,
14,42,1,Bo,1,,13.905850340136054,
14,43,2,,1,,14.087902494331065,
14,42,3,,1,,14.269954648526078,
14,42,4,,1,,14.458786848072563,
15,50,1,C-7,1,,14.647619047619047,
15,50,2,,1,,14.826598639455781,
15,50,3,,1,,15.005578231292517,
15,37,4,,1,,15.186213151927438,
16,37,1,F+7,1,,15.366848072562359,
16,42,2,,1,,15.540907029478458,
16,48,3,,1,,15.714965986394558,
16,48,4,,1,,15.881439909297054,
17,41,1,Bbj7,1,A2,16.047913832199548,
17,45,2,,1,,16.23140589569161,
17,50,3,,1,,16.414897959183673,
17,47,4,,1,,16.593843537414966,
18,47,1,,1,,16.77278911564626,
18,49,2,,1,,16.94439909297052,
18,51,3,,1,,17.116009070294783,
18,47,4,,1,,17.30412698412698,
19,42,1,F-7,1,,17.492244897959182,
19,33,2,,1,,17.68098639455782,
19,50,3,,1,,17.86972789115646,
19,47,4,,1,,18.058514739229025,
20,48,1,Bb7,1,,18.24730158730159,
20,47,2,,1,,18.420963718820865,
20,44,3,,1,,18.594625850340137,
20,45,4,,1,,18.7784126984127,
21,47,1,Ebj7,1,,18.962199546485262,
21,50,2,,1,,19.150997732426305,
21,37,3,,1,,19.339795918367347,
21,47,4,,1,,19.523253968253968,
22,47,1,,1,,19.70671201814059,
22,37,2,,1,,19.87800453514739,
22,42,3,,1,,20.049297052154195,
22,50,4,,1,,20.223401360544216,
23,51,1,Ab7,1,,20.39750566893424,
23,47,2,,1,,20.57378684807256,
23,42,3,,1,,20.750068027210883,
23,42,4,,1,,20.923662131519272,
24,39,1,,1,,21.097256235827665,
24,50,2,,1,,21.26858276643991,
24,51,3,,1,,21.439909297052154,
24,47,4,,1,,21.60590702947846,
25,42,1,Bbj7,1,,21.77190476190476,
25,42,2,,1,,21.955827664399095,
25,50,3,,1,,22.139750566893426,
25,48,4,,1,,22.32360544217687,
26,48,1,G-7,1,,22.507460317460318,
26,48,2,,1,,22.685986394557823,
26,47,3,,1,,22.864512471655328,
26,42,4,,1,,23.037879818594103,
27,43,1,C7,1,,23.21124716553288,
27,47,2,,1,,23.388242630385484,
27,47,3,,1,,23.565238095238094,
27,47,4,,1,,23.73611111111111,
28,49,1,,1,,23.906984126984128,
28,50,2,,1,,24.098548752834468,
28,47,3,,1,,24.290113378684808,
28,47,4,,1,,24.466360544217686,
29,47,1,C-7,1,,24.642607709750568,
29,45,2,,1,,24.825986394557823,
29,50,3,,1,,25.00936507936508,
29,47,4,,1,,25.188378684807255,
30,47,1,F7,1,,25.367392290249434,
30,47,2,,1,,25.54357142857143,
30,48,3,,1,,25.719750566893424,
30,48,4,,1,,25.893820861678005,
31,37,1,Bb6,1,,26.067891156462586,
31,45,2,,1,,26.23875283446712,
31,50,3,,1,,26.409614512471656,
31,47,4,,1,,26.588639455782314,
32,48,1,,1,,26.767664399092972,
32,50,2,,1,,26.94670068027211,
32,42,3,,1,,27.125736961451246,
32,42,4,,1,,27.30154195011338,
33,50,1,C#-7,1,B1,27.47734693877551,
33,37,2,,1,,27.65138321995465,
33,37,3,,1,,27.825419501133787,
33,47,4,,1,,28.00933106575964,
34,37,1,F#7,1,,28.193242630385488,
34,37,2,,1,,28.378786848072565,
34,37,3,,1,,28.56433106575964,
34,37,4,,1,,28.728639455782314,
35,39,1,Bj7,1,,28.89294784580499,
35,42,2,,1,,29.06875283446712,
35,37,3,,1,,29.244557823129252,
35,37,4,,1,,29.423594104308393,
36,37,1,,1,,29.60263038548753,
36,37,2,,1,,29.773968253968256,
36,42,3,,1,,29.94530612244898,
36,37,4,,1,,30.118866213151925,
37,49,1,B-7,1,,30.292426303854874,
37,49,2,,1,,30.481213151927438,
37,50,3,,1,,30.67,
37,50,4,,1,,30.853922902494332,
38,42,1,E7,1,,31.037845804988663,
38,47,2,,1,,31.209126984126982,
38,47,3,,1,,31.380408163265304,
38,37,4,,1,,31.558843537414965,
39,37,1,Aj7,1,,31.737278911564626,
39,42,2,,1,,31.926111111111112,
39,42,3,,1,,32.114943310657594,
39,37,4,,1,,32.28902494331066,
40,37,1,,1,,32.46310657596372,
40,37,2,,1,,32.6437641723356,
40,50,3,,1,,32.82442176870748,
40,50,4,,1,,33.008378684807255,
41,52,1,A-7,1,,33.19233560090703,
41,37,2,,1,,33.371269841269836,
41,47,3,,1,,33.55020408163265,
41,47,4,,1,,33.72598639455782,
42,40,1,D7,1,,33.901768707482994,
42,45,2,,1,,34.09329931972789,
42,45,3,,1,,34.28482993197279,
42,49,4,,1,,34.46595238095238,
43,50,1,Gj7,1,,34.647074829931974,
43,50,2,,1,,34.81585034013605,
43,42,3,,1,,34.98462585034014,
43,47,4,,1,,35.1559410430839,
44,47,1,,1,,35.32725623582766,
44,37,2,,1,,35.51122448979592,
44,37,3,,1,,35.695192743764174,
44,37,4,,1,,35.866077097505666,
45,37,1,G-7,1,,36.036961451247166,
45,33,2,,1,,36.20608843537415,
45,45,3,,1,,36.37521541950113,
45,50,4,,1,,36.55102040816327,
46,50,1,C7,1,,36.7268253968254,
46,33,2,,1,,36.90100907029478,
46,42,3,,1,,37.07519274376417,
46,47,4,,1,,37.25904761904762,
47,47,1,C-7,1,,37.442902494331065,
47,48,2,,1,,37.62628117913832,
47,48,3,,1,,37.809659863945576,
47,50,4,,1,,37.99354875283447,
48,50,1,F+7,1,,38.17743764172336,
48,51,2,,1,,38.358605442176874,
48,52,3,,1,,38.53977324263039,
48,42,4,,1,,38.71824263038549,
49,40,1,Bbj7,1,A3,38.89671201814059,
49,33,2,,1,,39.070918367346934,
49,45,3,,1,,39.245124716553285,
49,47,4,,1,,39.43379818594104,
50,48,1,,1,,39.622471655328795,
50,40,2,,1,,39.81126984126984,
50,40,3,,1,,40.00006802721089,
50,33,4,,1,,40.171031746031744,
51,42,1,F-7,1,,40.34199546485261,
51,48,2,,1,,40.52092970521542,
51,37,3,,1,,40.69986394557823,
51,47,4,,1,,40.87837868480726,
52,41,1,Bb7,1,,41.05689342403628,
52,45,2,,1,,41.228208616780044,
52,48,3,,1,,41.39952380952381,
52,48,4,,1,,41.570839002267576,
53,41,1,Ebj7,1,,41.74215419501134,
53,47,2,,1,,41.915941043083905,
53,47,3,,1,,42.089727891156464,
53,50,4,,1,,42.27354875283447,
54,50,1,,1,,42.45736961451247,
54,34,2,,1,,42.641269841269846,
54,34,3,,1,,42.82517006802721,
54,51,4,,1,,43.00587301587302,
55,51,1,Ab7,1,,43.18657596371882,
55,50,2,,1,,43.36549886621315,
55,50,3,,1,,43.54442176870748,
55,50,4,,1,,43.72840136054421,
56,50,1,,1,,43.91238095238095,
56,50,2,,1,,44.09083900226757,
56,52,3,,1,,44.269297052154194,
56,52,4,,1,,44.450476190476195,
57,40,1,Bbj7,1,,44.63165532879819,
57,44,2,,1,,44.810521541950116,
57,45,3,,1,,44.989387755102044,
57,50,4,,1,,45.1777664399093,
58,50,1,G-7,1,,45.36614512471655,
58,50,2,,1,,45.54515873015873,
58,50,3,,1,,45.724172335600905,
58,42,4,,1,,45.90698412698413,
59,41,1,C7,1,,46.089795918367344,
59,43,2,,1,,46.28404761904761,
59,43,3,,1,,46.47829931972789,
59,45,4,,1,,46.66984126984127,
60,47,1,,1,,46.86138321995465,
60,47,2,,1,,47.04248299319728,
60,48,3,,1,,47.22358276643991,
60,50,4,,1,,47.412244897959184,
61,50,1,C-7,1,,47.600907029478456,
61,37,2,,1,,47.78521541950113,
61,42,3,,1,,47.96952380952381,
61,48,4,,1,,48.14657596371882,
62,48,1,F7,1,,48.323628117913835,
62,42,2,,1,,48.49081632653061,
62,42,3,,1,,48.65800453514739,
62,42,4,,1,,48.849501133786845,
63,37,1,Bb6,1,,49.040997732426305,
63,45,2,,1,,49.21722222222222,
63,50,3,,1,,49.39344671201814,
63,47,4,,1,,49.57748299319728,
64,48,1,,1,,49.76151927437642,
64,49,2,,1,,49.94975056689343,
64,51,3,,1,,50.13798185941043,
64,37,4,,1,,50.30934240362812,
65,47,1,Bbj7,2,A1,50.480702947845806,
65,47,2,,2,,50.649421768707484,
65,37,3,,2,,50.81814058956916,
65,47,4,,2,,51.00208616780046,
66,37,1,,2,,51.186031746031745,
66,45,2,,2,,51.36709750566894,
66,50,3,,2,,51.54816326530612,
66,50,4,,2,,51.721814058956916,
67,43,1,F-7,2,,51.89546485260771,
67,42,2,,2,,52.070181405895696,
67,42,3,,2,,52.244897959183675,
67,45,4,,2,,52.42485260770975,
68,50,1,Bb7,2,,52.60480725623583,
68,47,2,,2,,52.788764172335604,
68,47,3,,2,,52.97272108843537,
68,42,4,,2,,53.147222222222226,
69,47,1,Ebj7,2,,53.32172335600907,
69,50,2,,2,,53.49297052154195,
69,50,3,,2,,53.66421768707483,
69,42,4,,2,,53.837641723356015,
70,42,1,,2,,54.01106575963719,
70,42,2,,2,,54.19706349206349,
70,37,3,,2,,54.38306122448979,
70,37,4,,2,,54.55712018140589,
71,42,1,Ab7,2,,54.731179138322,
71,42,2,,2,,54.91465986394558,
71,37,3,,2,,55.09814058956916,
71,37,4,,2,,55.26463718820862,
72,37,1,,2,,55.43113378684807,
72,37,2,,2,,55.597573696145126,
72,42,3,,2,,55.76401360544218,
72,37,4,,2,,55.932698412698414,
73,42,1,Bbj7,2,,56.10138321995465,
73,42,2,,2,,56.28256235827664,
73,48,3,,2,,56.46374149659864,
73,48,4,,2,,56.65253968253968,
74,42,1,G-7,2,,56.84133786848073,
74,33,2,,2,,57.032426303854876,
74,50,3,,2,,57.223514739229024,
74,50,4,,2,,57.41221088435374,
75,42,1,C7,2,,57.600907029478456,
75,50,2,,2,,57.779875283446714,
75,47,3,,2,,57.958843537414964,
75,47,4,,2,,58.13461451247166,
76,50,1,,2,,58.31038548752834,
76,37,2,,2,,58.49920634920635,
76,42,3,,2,,58.68802721088436,
76,42,4,,2,,58.86210884353741,
77,42,1,C-7,2,,59.03619047619048,
77,37,2,,2,,59.21196145124716,
77,43,3,,2,,59.387732426303856,
77,37,4,,2,,59.56187074829932,
78,42,1,Bo,2,,59.736009070294784,
78,47,2,,2,,59.914909297052155,
78,37,3,,2,,60.093809523809526,
78,37,4,,2,,60.26467120181406,
79,37,1,C-7,2,,60.435532879818595,
79,50,2,,2,,60.601950113378685,
79,50,3,,2,,60.768367346938774,
79,47,4,,2,,60.934886621315194,
80,37,1,F+7,2,,61.10140589569161,
80,37,2,,2,,61.28484126984127,
80,37,3,,2,,61.46827664399093,
80,42,4,,2,,61.64234693877551,
81,49,1,Bbj7,2,A2,61.81641723356009,
81,49,2,,2,,61.99265306122449,
81,37,3,,2,,62.16888888888889,
81,47,4,,2,,62.35721088435374,
82,42,1,,2,,62.545532879818595,
82,37,2,,2,,62.73438775510204,
82,37,3,,2,,62.92324263038549,
82,42,4,,2,,63.08927437641724,
83,42,1,F-7,2,,63.25530612244898,
83,47,2,,2,,63.41956916099773,
83,50,3,,2,,63.583832199546485,
83,47,4,,2,,63.75022675736962,
84,47,1,Bb7,2,,63.91662131519274,
84,47,2,,2,,64.08178004535148,
84,42,3,,2,,64.2469387755102,
84,45,4,,2,,64.4191156462585,
85,47,1,Ebj7,2,,64.5912925170068,
85,47,2,,2,,64.78010204081633,
85,50,3,,2,,64.96891156462586,
85,37,4,,2,,65.1478231292517,
86,50,1,,2,,65.32673469387755,
86,50,2,,2,,65.50536281179139,
86,51,3,,2,,65.68399092970522,
86,47,4,,2,,65.86295918367347,
87,37,1,Ab7,2,,66.04192743764172,
87,47,2,,2,,66.21321995464852,
87,42,3,,2,,66.38451247165533,
87,37,4,,2,,66.55425170068027,
88,50,1,,2,,66.72399092970521,
88,50,2,,2,,66.8930612244898,
88,48,3,,2,,67.06213151927437,
88,48,4,,2,,67.23920634920634,
89,42,1,Bbj7,2,,67.41628117913832,
89,47,2,,2,,67.60020408163265,
89,45,3,,2,,67.78412698412698,
89,50,4,,2,,67.95818594104308,
90,50,1,G-7,2,,68.13224489795918,
90,42,2,,2,,68.30319727891157,
90,40,3,,2,,68.47414965986394,
90,42,4,,2,,68.64977324263037,
91,42,1,C7,2,,68.82539682539682,
91,45,2,,2,,69.00462585034013,
91,45,3,,2,,69.18385487528344,
91,47,4,,2,,69.35781179138323,
92,37,1,,2,,69.531768707483,
92,37,2,,2,,69.70312925170069,
92,37,3,,2,,69.87448979591836,
92,42,4,,2,,70.04869614512472,
93,42,1,C-7,2,,70.22290249433107,
93,45,2,,2,,70.39868480725625,
93,50,3,,2,,70.57446712018141,
93,45,4,,2,,70.75827664399094,
94,43,1,F7,2,,70.94208616780045,
94,47,2,,2,,71.11344671201815,
94,47,3,,2,,71.28480725623582,
94,48,4,,2,,71.46325396825397,
95,37,1,Bbj7,2,,71.64170068027211,
95,45,2,,2,,71.82083900226758,
95,50,3,,2,,71.99997732426304,
95,47,4,,2,,72.16642857142858,
96,47,1,,2,,72.33287981859411,
96,50,2,,2,,72.50646258503401,
96,50,3,,2,,72.68004535147392,
96,43,4,,2,,72.84655328798186,
97,47,1,C#-7,2,B1,73.01306122448979,
97,47,2,,2,,73.18255102040817,
97,37,3,,2,,73.35204081632654,
97,47,4,,2,,73.5198866213152,
98,47,1,F#7,2,,73.68773242630385,
98,37,2,,2,,73.85698412698412,
98,37,3,,2,,74.0262358276644,
98,42,4,,2,,74.21178004535147,
99,42,1,Bj7,2,,74.39732426303856,
99,47,2,,2,,74.57625850340136,
99,47,3,,2,,74.75519274376417,
99,37,4,,2,,74.94401360544217,
100,37,1,,2,,75.13283446712018,
100,37,2,,2,,75.30645124716554,
100,42,3,,2,,75.48006802721089,
100,37,4,,2,,75.65146258503401,
101,37,1,B-7,2,,75.82285714285715,
101,37,2,,2,,75.99417233560091,
101,42,3,,2,,76.16548752834467,
101,42,4,,2,,76.3341836734694,
102,43,1,E7,2,,76.50287981859411,
102,42,2,,2,,76.68192743764172,
102,37,3,,2,,76.86097505668934,
102,37,4,,2,,77.04215419501134,
103,38,1,Aj7,2,,77.22333333333333,
103,42,2,,2,,77.39199546485261,
103,42,3,,2,,77.56065759637188,
103,47,4,,2,,77.73208616780045,
104,42,1,,2,,77.90351473922902,
104,37,2,,2,,78.08249433106576,
104,38,3,,2,,78.2614739229025,
104,37,4,,2,,78.44218820861678,
105,37,1,A-7,2,,78.62290249433107,
105,51,2,,2,,78.79204081632653,
105,50,3,,2,,78.961179138322,
105,47,4,,2,,79.14513605442177,
106,33,1,D7,2,,79.32909297052154,
106,33,2,,2,,79.50975056689342,
106,42,3,,2,,79.6904081632653,
106,33,4,,2,,79.85962585034014,
107,50,1,Gj7,2,,80.02884353741497,
107,50,2,,2,,80.19482993197279,
107,42,3,,2,,80.36081632653061,
107,45,4,,2,,80.5272335600907,
108,33,1,,2,,80.69365079365079,
108,37,2,,2,,80.87260770975057,
108,49,3,,2,,81.05156462585035,
108,47,4,,2,,81.22246031746032,
109,45,1,G-7,2,,81.39335600907029,
109,50,2,,2,,81.57730158730158,
109,42,3,,2,,81.76124716553288,
109,42,4,,2,,81.93060090702949,
110,42,1,C7,2,,82.09995464852608,
110,47,2,,2,,82.26176870748299,
110,50,3,,2,,82.4235827664399,
110,50,4,,2,,82.58650793650793,
111,42,1,C-7,2,,82.74943310657596,
111,33,2,,2,,82.91540816326531,
111,50,3,,2,,83.08138321995465,
111,50,4,,2,,83.25538548752834,
112,43,1,F+7,2,,83.42938775510204,
112,47,2,,2,,83.60844671201815,
112,48,3,,2,,83.78750566893424,
112,48,4,,2,,83.95354875283448,
113,49,1,Bbj7,2,A3,84.1195918367347,
113,45,2,,2,,84.3034126984127,
113,50,3,,2,,84.4872335600907,
113,47,4,,2,,84.65861678004535,
114,47,1,,2,,84.83,
114,50,2,,2,,85.01345804988662,
114,37,3,,2,,85.19691609977325,
114,37,4,,2,,85.36828798185941,
115,42,1,F-7,2,,85.53965986394557,
115,45,2,,2,,85.72348072562357,
115,50,3,,2,,85.90730158730159,
115,47,4,,2,,86.0760544217687,
116,47,1,Bb7,2,,86.24480725623583,
116,42,2,,2,,86.41131519274376,
116,42,3,,2,,86.5778231292517,
116,47,4,,2,,86.76168934240363,
117,47,1,Ebj7,2,,86.94555555555556,
117,50,2,,2,,87.12131519274377,
117,50,3,,2,,87.29707482993197,
117,42,4,,2,,87.47606575963718,
118,42,1,,2,,87.6550566893424,
118,47,2,,2,,87.82597505668934,
118,42,3,,2,,87.99689342403629,
118,47,4,,2,,88.17586167800454,
119,47,1,Ab7,2,,88.35482993197279,
119,42,2,,2,,88.54360544217687,
119,42,3,,2,,88.73238095238095,
119,47,4,,2,,88.91142857142857,
120,42,1,,2,,89.0904761904762,
120,43,2,,2,,89.26893424036282,
120,42,3,,2,,89.44739229024944,
120,47,4,,2,,89.62849206349208,
121,47,1,Bbj7,2,,89.8095918367347,
121,42,2,,2,,89.98325396825396,
121,48,3,,2,,90.15691609977324,
121,47,4,,2,,90.32399092970522,
122,42,1,G-7,2,,90.4910657596372,
122,47,2,,2,,90.66462585034014,
122,50,3,,2,,90.83818594104308,
122,47,4,,2,,91.01401360544217,
123,47,1,C7,2,,91.18984126984127,
123,45,2,,2,,91.36386621315192,
123,47,3,,2,,91.53789115646258,
123,47,4,,2,,91.70925170068027,
124,50,1,,2,,91.88061224489796,
124,50,2,,2,,92.05920634920635,
124,42,3,,2,,92.23780045351474,
124,47,4,,2,,92.41891156462586,
125,42,1,C-7,2,,92.60002267573697,
125,45,2,,2,,92.7740702947846,
125,50,3,,2,,92.9481179138322,
125,50,4,,2,,93.11904761904762,
126,42,1,F7,2,,93.28997732426303,
126,43,2,,2,,93.46897959183673,
126,42,3,,2,,93.64798185941044,
126,42,4,,2,,93.81931972789116,
127,37,1,Bb6,2,,93.99065759637188,
127,49,2,,2,,94.16433106575963,
127,49,3,,2,,94.33800453514739,
127,49,4,,2,,94.52181405895692,
128,47,1,,2,,94.70562358276644,
128,49,2,,2,,94.87649659863945,
128,47,3,,2,,95.04736961451248,
128,47,4,,2,,95.2182426303855,
