bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,38,1,Fm7b5,1,A1,4.176689342403628,4/4
1,37,2,,1,,4.442018140589569,
1,37,3,,1,,4.690408163265306,
1,50,4,,1,,4.958458049886621,
2,37,1,Bb79b,1,,5.2168707482993195,
2,40,2,,1,,5.492471655328798,
2,41,3,,1,,5.768208616780045,
2,50,4,,1,,6.03718820861678,
3,45,1,Eb-7,1,,6.2942857142857145,
3,48,2,,1,,6.580816326530612,
3,49,3,,1,,6.866145124716553,
3,50,4,,1,,7.14421768707483,
4,50,1,Ab7,1,,7.409931972789115,
4,40,2,,1,,7.696303854875284,
4,45,3,,1,,7.974126984126984,
4,43,4,,1,,8.249909297052154,
5,42,1,Dbo7,1,,8.51766439909297,
5,47,2,,1,,8.793492063492064,
5,37,3,Db6,1,,9.070204081632653,
5,38,4,,1,,9.327346938775511,
6,39,1,Dbj7,1,,9.605192743764173,
6,43,2,,1,,9.881950113378684,
6,45,3,,1,,10.16734693877551,
6,50,4,,1,,10.435192743764173,
7,51,1,Db-7,1,,10.710975056689342,
7,45,2,,1,,10.997437641723357,
7,44,3,,1,,11.273083900226757,
7,37,4,,1,,11.550702947845805,
8,49,1,Gb7,1,,11.836349206349206,
8,49,2,,1,,12.103197278911564,
8,37,3,,1,,12.371065759637188,
8,37,4,,1,,12.639183673469388,
9,37,1,Fm7b5,1,A2,12.905102040816326,
9,37,2,,1,,13.163197278911564,
9,37,3,,1,,13.44111111111111,
9,37,4,,1,,13.707006802721088,
10,50,1,Bb79b,1,,13.993378684807256,
10,50,2,,1,,14.250566893424036,
10,50,3,,1,,14.528503401360544,
10,50,4,,1,,14.795238095238096,
11,47,1,Eb-7,1,,15.063333333333333,
11,48,2,,1,,15.34875283446712,
11,49,3,,1,,15.634308390022676,
11,50,4,,1,,15.892358276643991,
12,51,1,Ab7,1,,16.170249433106576,
12,40,2,,1,,16.456643990929706,
12,40,3,,1,,16.732244897959184,
12,45,4,,1,,17.00780045351474,
13,44,1,Dbo7,1,,17.2759410430839,
13,48,2,,1,,17.562448979591835,
13,48,3,Db6,1,,17.829433106575962,
13,50,4,,1,,18.106167800453516,
14,51,1,Dbj7,1,,18.374263038548754,
14,42,2,,1,,18.64968253968254,
14,37,3,,1,,18.925374149659863,
