bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.2917460317460314,4,1,0.13877551020408163,4,10.343492063492063,4,65.0,0,1
0,2,0.28662131519274325,4,4,0.17124716553287983,4,10.637641723356008,4,63.0,0,1
0,2,0.28662131519274325,4,4,0.08126984126984127,4,10.843718820861678,4,58.0,0,4
0,3,0.2988435374149674,4,1,0.23510204081632652,4,10.948208616780045,4,61.0,0,1
0,4,0.29712018140589436,4,1,0.1306122448979592,4,11.23265306122449,4,63.0,0,1
1,1,0.3100226757369615,4,1,0.18866213151927438,4,11.551927437641723,4,58.0,0,1
1,2,0.3052834467120178,4,1,0.4818140589569161,4,11.859591836734694,4,58.0,0,1
3,3,0.26997732426303855,4,1,0.15963718820861678,4,14.535691609977324,4,50.0,0,1
3,4,0.303083900226758,4,2,0.14512471655328799,4,14.799818594104309,4,57.0,0,1
3,4,0.303083900226758,4,2,0.11029478458049886,4,14.973968253968254,4,60.0,0,2
4,1,0.3092063492063488,4,4,0.1306122448979592,4,15.116190476190477,4,58.0,0,2
4,1,0.3092063492063488,4,4,0.09723356009070294,4,15.28453514739229,4,55.0,0,4
4,2,0.2904761904761912,4,2,0.08997732426303855,4,15.55156462585034,4,58.0,0,2
4,3,0.2932199546485261,4,1,0.2829931972789116,4,15.663310657596371,4,61.0,0,1
4,4,0.28712018140589635,4,2,0.1509297052154195,4,15.95936507936508,4,60.0,0,1
4,4,0.28712018140589635,4,2,0.08707482993197278,4,16.12625850340136,4,58.0,0,2
5,1,0.2861904761904732,4,1,0.3836734693877551,4,16.23265306122449,4,60.0,0,1
5,2,0.2776870748299345,4,2,0.13351473922902493,4,16.657414965986394,4,58.0,0,2
5,3,0.2949433106575938,4,2,0.1364172335600907,4,16.814149659863947,4,56.0,0,1
5,3,0.2949433106575938,4,2,0.12625850340136055,4,16.976689342403628,4,60.0,0,2
5,4,0.2721768707483001,4,2,0.10594104308390023,4,17.121814058956915,4,59.0,0,1
5,4,0.2721768707483001,4,2,0.1001360544217687,4,17.25968253968254,4,57.0,0,2
6,1,0.2969160997732416,4,2,0.1581859410430839,4,17.374331065759637,4,58.0,0,1
6,1,0.2969160997732416,4,2,0.1654421768707483,4,17.551383219954648,4,54.0,0,2
6,2,0.27907029478458156,4,3,0.09433106575963719,4,17.72988662131519,4,55.0,0,2
6,2,0.27907029478458156,4,3,0.06965986394557823,4,17.851791383219954,4,58.0,0,3
6,3,0.290725623582766,4,4,0.16108843537414966,4,17.941768707482993,4,61.0,0,1
6,3,0.290725623582766,4,4,0.05510204081632653,4,18.172448979591838,4,56.0,0,4
6,4,0.2799773242630401,4,2,0.1357142857142857,4,18.266326530612243,4,61.0,0,1
6,4,0.2799773242630401,4,2,0.11326530612244898,4,18.420408163265307,4,62.0,0,2
7,1,0.29814058956916156,4,2,0.12142857142857143,4,18.551020408163264,4,58.0,0,1
7,1,0.29814058956916156,4,2,0.12040816326530612,4,18.695918367346938,4,60.0,0,2
7,2,0.2805442176870727,4,2,0.12551020408163266,4,18.83265306122449,4,55.0,0,1
7,2,0.2805442176870727,4,2,0.25510204081632654,4,18.979591836734695,4,58.0,0,2
