bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.33613378684807227,4,2,0.15918367346938775,4,2.8448979591836734,4,78.0,0,1
0,4,0.33613378684807227,4,2,0.10612244897959183,4,3.0448979591836736,4,79.0,0,2
1,1,0.3103061224489796,4,4,0.05514739229024943,4,3.1724263038548752,4,78.0,0,1
1,1,0.3103061224489796,4,4,0.03773242630385488,4,3.239183673469388,4,79.0,0,2
1,1,0.3103061224489796,4,4,0.06675736961451247,4,3.317551020408163,4,78.0,0,3
1,1,0.3103061224489796,4,4,0.15963718820861678,4,3.422040816326531,4,77.0,0,4
1,3,0.3000907029478457,4,2,0.12480725623582767,4,3.767437641723356,4,75.0,0,1
1,3,0.3000907029478457,4,2,0.12770975056689343,4,3.924172335600907,4,72.0,0,2
1,4,0.3000907029478457,4,4,0.13931972789115646,4,4.092517006802721,4,70.0,0,1
1,4,0.3000907029478457,4,4,0.40634920634920635,4,4.3363265306122445,4,75.0,0,4
2,2,0.3002947845804993,4,4,0.07546485260770976,4,4.838458049886621,4,67.0,0,3
2,2,0.3002947845804993,4,4,0.18575963718820862,4,4.942947845804989,4,70.0,0,4
2,3,0.3054648526077095,4,2,0.11319727891156463,4,5.157732426303855,4,72.0,0,2
2,4,0.3054648526077104,4,2,0.12770975056689343,4,5.299954648526077,4,75.0,0,1
2,4,0.3054648526077104,4,2,0.09287981859410431,4,5.453786848072562,4,79.0,0,2
3,1,0.3003061224489789,4,1,0.37732426303854877,4,5.613424036281179,4,74.0,0,1
3,3,0.29537414965986386,4,4,0.2089795918367347,4,6.452244897959184,4,66.0,0,4
3,4,0.29537414965986475,4,2,0.8185034013605442,4,6.6873469387755105,4,72.0,0,2
5,2,0.32251700680272144,4,4,0.18285714285714286,4,8.594285714285714,4,84.0,0,4
5,3,0.2827777777777776,4,2,0.08417233560090703,4,8.791655328798186,4,82.0,0,2
5,4,0.2827777777777776,4,2,0.14802721088435375,4,8.901950113378685,4,79.0,0,1
5,4,0.2827777777777776,4,2,0.12480725623582767,4,9.079002267573696,4,77.0,0,2
6,1,0.3051587301587304,4,2,0.11029478458049886,4,9.209614512471655,4,75.0,0,1
6,1,0.3051587301587304,4,2,0.11900226757369614,4,9.354739229024943,4,72.0,0,2
6,2,0.3051587301587304,4,2,0.1509297052154195,4,9.505668934240363,4,70.0,0,1
6,2,0.3051587301587304,4,2,0.12770975056689343,4,9.688526077097505,4,67.0,0,2
6,3,0.3103628117913839,4,3,0.14802721088435375,4,9.824943310657597,4,65.0,0,1
6,3,0.3103628117913839,4,3,0.03192743764172336,4,10.0281179138322,4,64.0,0,3
6,4,0.31036281179138214,4,2,0.18866213151927438,4,10.10358276643991,4,70.0,0,1
6,4,0.31036281179138214,4,2,0.09287981859410431,4,10.303854875283447,4,75.0,0,2
7,1,0.3054421768707485,4,1,0.23510204081632652,4,10.425759637188209,4,80.0,0,1
