bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.3401133786848072,4,1,0.1364172335600907,4,2.8444444444444446,4,70.0,0,1
1,2,0.31247165532879784,4,1,0.11029478458049886,4,3.175328798185941,4,70.0,0,1
1,3,0.33294784580498904,4,3,0.1073922902494331,4,3.4917006802721087,4,70.0,0,1
1,3,0.33294784580498904,4,3,0.29315192743764173,4,3.7268027210884354,4,70.0,0,3
2,1,0.34741496598639454,4,1,0.21188208616780047,4,4.188299319727891,4,67.0,0,1
2,3,0.352358276643991,4,2,0.23061224489795917,4,5.071428571428571,4,75.0,0,2
2,4,0.3376190476190475,4,2,0.11224489795918367,4,5.371428571428571,4,70.0,0,2
3,1,0.30777777777777793,4,3,0.1306122448979592,4,5.53265306122449,4,72.0,0,1
3,1,0.30777777777777793,4,3,0.10612244897959183,4,5.7326530612244895,4,66.0,0,3
3,2,0.3124489795918368,4,1,0.1673469387755102,4,5.851020408163265,4,67.0,0,1
3,3,0.34276643990929756,4,1,0.29591836734693877,4,6.191836734693878,4,65.0,0,1
4,1,0.3510204081632651,4,2,0.15714285714285714,4,6.826666666666667,4,65.0,0,1
4,1,0.3510204081632651,4,2,0.09183673469387756,4,7.035646258503402,4,64.0,0,2
4,2,0.3290929705215424,4,2,0.1489795918367347,4,7.197959183673469,4,75.0,0,1
4,2,0.3290929705215424,4,2,0.10816326530612246,4,7.369387755102041,4,72.0,0,2
4,3,0.32222222222222197,4,1,0.2653061224489796,4,7.502040816326531,4,75.0,0,1
4,4,0.3384126984126983,4,2,0.13351473922902493,4,7.828027210884354,4,72.0,0,1
4,4,0.3384126984126983,4,2,0.16399092970521542,4,8.015238095238095,4,63.0,0,2
5,1,0.33290249433106567,4,2,0.2234920634920635,4,8.343219954648527,4,65.0,0,2
5,3,0.3319954648526071,4,1,0.2597732426303855,4,8.813424036281178,4,68.0,0,1
6,1,0.3417233560090711,4,3,0.15383219954648525,4,9.47374149659864,4,62.0,0,1
6,1,0.3417233560090711,4,3,0.06965986394557823,4,9.7015873015873,4,63.0,0,3
6,2,0.3133560090702936,4,1,0.156734693877551,4,9.807528344671201,4,65.0,0,1
6,3,0.3329478458049895,4,2,0.17705215419501133,4,10.141315192743765,4,65.0,0,1
6,3,0.3329478458049895,4,2,0.1306122448979592,4,10.337233560090702,4,63.0,0,2
