bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.3918367346938776,4,1,0.25918367346938775,4,1.0714285714285714,4,62.0,0,1
1,1,0.3918367346938776,4,2,0.18453514739229024,4,1.4070748299319729,4,65.0,0,1
1,1,0.3918367346938776,4,2,0.12693877551020408,4,1.6454875283446713,4,65.0,0,2
2,3,0.38623582766439934,4,3,0.14591836734693878,4,3.6061224489795918,4,60.0,0,1
2,3,0.38623582766439934,4,3,0.10408163265306122,4,3.7561224489795917,4,62.0,0,2
2,3,0.38623582766439934,4,3,0.12040816326530612,4,3.8683673469387756,4,65.0,0,3
2,4,0.3579818594104305,4,3,0.16326530612244897,4,3.9989795918367346,4,67.0,0,1
2,4,0.3579818594104305,4,3,0.06312925170068028,4,4.167256235827664,4,62.0,0,2
2,4,0.3579818594104305,4,3,0.47165532879818595,4,4.243446712018141,4,65.0,0,3
4,2,0.36718820861678036,4,1,0.28551020408163263,4,6.223219954648526,4,60.0,0,1
4,3,0.3775963718820865,4,3,0.08775510204081632,4,6.6387755102040815,4,61.0,0,1
4,3,0.3775963718820865,4,3,0.1326530612244898,4,6.733673469387755,4,62.0,0,2
4,3,0.3775963718820865,4,3,0.12244897959183673,4,6.8795918367346935,4,65.0,0,3
4,4,0.3674149659863941,4,1,0.24693877551020407,4,7.036734693877551,4,67.0,0,1
5,1,0.38659863945578277,4,4,0.27138321995464854,4,7.375238095238095,4,68.0,0,1
5,1,0.38659863945578277,4,4,0.11938775510204082,4,7.6538775510204085,4,65.0,0,4
6,2,0.38705215419501116,4,1,0.3219274376417234,4,9.260408163265305,4,65.0,0,1
6,3,0.387142857142857,4,4,0.2424716553287982,4,9.661224489795918,4,68.0,0,1
6,3,0.387142857142857,4,4,0.08272108843537415,4,9.94249433106576,4,72.0,0,4
6,4,0.3829251700680274,4,4,0.2583219954648526,4,10.039727891156463,4,75.0,0,1
6,4,0.3829251700680274,4,4,0.8533333333333334,4,10.327074829931973,4,73.0,0,4
8,1,0.3774376417233558,4,4,0.058049886621315196,4,11.933605442176871,4,70.0,0,1
8,1,0.3774376417233558,4,4,0.09723356009070294,4,12.003265306122449,4,71.0,0,2
8,1,0.3774376417233558,4,4,0.06675736961451247,4,12.122267573696146,4,73.0,0,3
8,1,0.3774376417233558,4,4,0.08126984126984127,4,12.197732426303855,4,72.0,0,4
8,2,0.39269841269841343,4,4,0.08571428571428572,4,12.285714285714286,4,68.0,0,1
8,2,0.39269841269841343,4,4,0.16224489795918368,4,12.38469387755102,4,65.0,0,2
8,2,0.39269841269841343,4,4,0.15145124716553288,4,12.622448979591837,4,61.0,0,4
8,3,0.3620634920634913,4,4,0.16326530612244897,4,12.798979591836735,4,63.0,0,2
8,3,0.3620634920634913,4,4,0.1349659863945578,4,12.978503401360545,4,61.0,0,4
8,4,0.36764172335601053,4,4,0.2002721088435374,4,13.139591836734693,4,56.0,0,2
8,4,0.36764172335601053,4,4,0.08126984126984127,4,13.357278911564626,4,58.0,0,4
9,1,0.38235827664398947,4,4,0.21188208616780047,4,13.458866213151927,4,60.0,0,1
9,1,0.38235827664398947,4,4,0.09095238095238095,4,13.734603174603174,4,60.0,0,4
10,2,0.3933333333333344,4,3,0.07244897959183673,4,15.377551020408163,4,72.0,0,1
