bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.1838321995464831,4,2,0.12770975056689338,4,29.068480725623584,4,64.0,0,2
1,2,0.18383219954648666,4,3,0.046439909297052155,4,29.196190476190477,4,63.0,0,2
1,2,0.18383219954648666,4,3,0.156734693877551,4,29.254240362811792,4,64.0,0,3
1,3,0.1936167800453532,4,4,0.04353741496598639,4,29.454512471655327,4,65.0,0,4
1,4,0.19361678004534966,4,3,0.04934240362811791,4,29.518367346938774,4,66.0,0,1
1,4,0.19361678004534966,4,3,0.08707482993197146,4,29.579319727891157,4,68.0,0,2
1,4,0.19361678004534966,4,3,0.06675736961451247,4,29.66639455782313,4,70.0,0,3
2,1,0.21547619047619193,4,4,0.1219047619047619,4,29.736054421768706,4,74.0,0,2
2,1,0.21547619047619193,4,4,0.040634920634920635,4,29.866666666666667,4,75.0,0,4
2,2,0.21547619047618838,4,4,0.1364172335600907,4,29.933424036281178,4,78.0,0,1
2,2,0.21547619047618838,4,4,0.1306122448979592,4,30.09596371882086,4,74.0,0,4
2,3,0.19643990929705524,4,2,0.13351473922902493,4,30.238185941043085,4,78.0,0,2
2,4,0.19643990929705168,4,2,0.301859410430839,4,30.39201814058957,4,73.0,0,2
5,2,0.18886621315193253,4,2,0.1073922902494331,4,32.243809523809524,4,62.0,0,1
5,2,0.18886621315193253,4,2,0.046439909297052155,4,32.35700680272109,4,61.0,0,2
5,3,0.20619047619047848,4,4,0.1509297052154195,4,32.4324716553288,4,62.0,0,1
5,3,0.20619047619047848,4,4,0.058049886621315196,4,32.597913832199545,4,64.0,0,4
5,4,0.20619047619047137,4,2,0.08707482993197278,4,32.682086167800456,4,66.0,0,1
5,4,0.20619047619047137,4,2,0.13931972789115646,4,32.789478458049885,4,68.0,0,2
6,1,0.19310657596371783,4,2,0.10448979591836735,4,32.92879818594104,4,72.0,0,2
6,2,0.19310657596371783,4,1,0.17705215419501133,4,33.04780045351474,4,76.0,0,1
6,3,0.1915759637188188,4,4,0.13931972789115646,4,33.24226757369615,4,72.0,0,1
6,3,0.1915759637188188,4,4,0.12770975056689343,4,33.393197278911565,4,76.0,0,4
6,4,0.1915759637188259,4,2,0.4179591836734694,4,33.523809523809526,4,71.0,0,2
7,2,0.21654195011338118,4,2,0.10158730158730159,4,34.00272108843537,4,76.0,0,2
7,3,0.20061224489796103,4,4,0.05514739229024943,4,34.115918367346936,4,74.0,0,2
7,3,0.20061224489796103,4,4,0.040634920634920635,4,34.173968253968255,4,73.0,0,3
7,4,0.20061224489796103,4,2,0.0783673469387755,4,34.26684807256236,4,64.0,0,1
7,4,0.20061224489796103,4,2,0.0783673469387755,4,34.35392290249433,4,66.0,0,2
8,1,0.20329931972788984,4,2,0.09868480725623582,4,34.43809523809524,4,68.0,0,1
8,1,0.20329931972788984,4,2,0.08997732426303855,4,34.56,4,71.0,0,2
8,2,0.20329931972788984,4,2,0.1073922902494331,4,34.6528798185941,4,68.0,0,1
8,2,0.20329931972788984,4,2,0.07256235827664399,4,34.76027210884354,4,69.0,0,2
8,3,0.21068027210884566,4,4,0.06095238095238095,4,34.84734693877551,4,71.0,0,1
8,3,0.21068027210884566,4,4,0.12480725623582767,4,34.91990929705216,4,73.0,0,2
8,3,0.21068027210884566,4,4,0.18575963718820862,4,35.05342403628118,4,76.0,0,4
9,3,0.20607709750566983,4,4,0.14512471655328799,4,35.70068027210884,4,69.0,0,1
9,3,0.20607709750566983,4,4,0.07546485260770908,4,35.854512471655326,4,72.0,0,4
9,4,0.20607709750566983,4,2,0.08126984126984127,4,35.929977324263035,4,76.0,0,1
9,4,0.20607709750566983,4,2,0.09578231292517007,4,36.019954648526074,4,79.0,0,2
10,1,0.21103174603175034,4,2,0.08707482993197278,4,36.12734693877551,4,78.0,0,1
10,1,0.21103174603175034,4,2,0.10158730158730159,4,36.23183673469388,4,76.0,0,2
10,2,0.21103174603174324,4,2,0.10739229024942887,4,36.35083900226758,4,74.0,0,1
10,2,0.21103174603174324,4,2,0.06385487528344672,4,36.458231292517006,4,73.0,0,2
10,3,0.19363945578231068,4,1,0.14512471655328799,4,36.55111111111111,4,72.0,0,1
11,2,0.19114512471654876,4,2,0.10158730158730159,4,37.17804988662132,4,74.0,0,2
11,3,0.1860430839002234,4,2,0.09868480725623582,4,37.282539682539685,4,72.0,0,1
11,3,0.1860430839002234,4,2,0.10448979591836735,4,37.39283446712018,4,67.0,0,2
11,4,0.1860430839002305,4,1,0.1073922902494331,4,37.51764172335601,4,64.0,0,1
12,1,0.20226757369614745,4,2,0.08997732426303855,4,37.64244897959183,4,63.0,0,1
12,1,0.20226757369614745,4,2,0.08417233560090703,4,37.75274376417234,4,62.0,0,2
12,2,0.20226757369614035,4,3,0.0783673469387755,4,37.85142857142857,4,59.0,0,1
12,2,0.20226757369614035,4,3,0.07256235827664399,4,37.94140589569161,4,60.0,0,2
12,2,0.20226757369614035,4,3,0.06095238095238095,4,38.02557823129251,4,68.0,0,3
12,3,0.1997619047619068,4,4,0.08417233560090703,4,38.12136054421769,4,69.0,0,2
12,3,0.1997619047619068,4,4,0.08126984126984127,4,38.211337868480726,4,66.0,0,4
12,4,0.1997619047619068,4,4,0.06095238095238095,4,38.31292517006803,4,67.0,0,2
12,4,0.1997619047619068,4,4,0.04934240362811791,4,38.38258503401361,4,68.0,0,3
12,4,0.1997619047619068,4,4,0.046439909297052155,4,38.43773242630385,4,74.0,0,4
13,1,0.19860544217686993,4,1,0.14802721088435375,4,38.48997732426304,4,77.0,0,1
13,2,0.19860544217686993,4,2,0.11029478458049886,4,38.655419501133785,4,75.0,0,1
13,2,0.19860544217686993,4,2,0.15092970521541815,4,38.786031746031746,4,76.0,0,2
13,3,0.21107709750567238,4,3,0.03773242630385488,4,38.936961451247164,4,72.0,0,2
13,3,0.21107709750567238,4,3,0.07836734693877645,4,38.992108843537416,4,73.0,0,3
13,4,0.21107709750566528,4,2,0.11609977324263039,4,39.07047619047619,4,74.0,0,1
13,4,0.21107709750566528,4,2,0.08126984126984127,4,39.20108843537415,4,72.0,0,2
14,1,0.2110544217687078,4,2,0.0783673469387755,4,39.29687074829932,4,70.0,0,1
14,1,0.2110544217687078,4,2,0.06965986394557823,4,39.389750566893426,4,69.0,0,2
14,2,0.2110544217687078,4,2,0.11029478458050335,4,39.47392290249433,4,67.0,0,1
14,2,0.2110544217687078,4,2,0.11609977324263039,4,39.58421768707483,4,65.0,0,2
14,3,0.20065759637188307,4,2,0.07256235827664399,4,39.71192743764173,4,64.0,0,1
14,3,0.20065759637188307,4,2,0.07546485260770976,4,39.790294784580496,4,67.0,0,2
14,4,0.20065759637187597,4,3,0.07256235827664399,4,39.88607709750567,4,70.0,0,1
14,4,0.20065759637187597,4,3,0.1364172335600907,4,39.96154195011338,4,74.0,0,2
15,1,0.18390022675736617,4,4,0.07256235827664399,4,40.09795918367347,4,72.0,0,1
15,1,0.18390022675736617,4,4,0.1451247165532905,4,40.24018140589569,4,72.0,0,4
15,2,0.18390022675737328,4,2,0.0725623582766417,4,40.38530612244898,4,74.0,0,2
15,3,0.1963945578231261,4,4,0.04353741496598639,4,40.45786848072562,4,75.0,0,1
15,3,0.1963945578231261,4,4,0.11319727891156463,4,40.52172335600907,4,74.0,0,2
15,3,0.1963945578231261,4,4,0.07546485260770976,4,40.6378231292517,4,73.0,0,4
15,4,0.1963945578231332,4,2,0.0783673469387755,4,40.71328798185941,4,72.0,0,1
15,4,0.1963945578231332,4,2,0.06965986394557823,4,40.81197278911564,4,71.0,0,2
16,1,0.1984013605442172,4,2,0.052244897959183675,4,40.89324263038549,4,68.0,0,1
