bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-7,3,0.30696145124716523,4,4,0.049614512471655325,4,5.585850340136054,4,78.0,0,1
-7,3,0.30696145124716523,4,4,0.05310657596371882,4,5.658412698412699,4,79.0,0,2
-7,3,0.30696145124716523,4,4,0.04909297052154195,4,5.725170068027211,4,78.0,0,3
-7,3,0.30696145124716523,4,4,0.0653061224489796,4,5.796281179138322,4,76.0,0,4
-7,4,0.30358276643990934,4,2,0.07766439909297052,4,5.889160997732426,4,74.0,0,1
-7,4,0.30358276643990934,4,2,0.12625850340136055,4,6.038639455782313,4,73.0,0,2
-6,1,0.28725623582766424,4,2,0.09566893424036281,4,6.204081632653061,4,71.0,0,1
-6,1,0.28725623582766424,4,2,0.11174603174603175,4,6.362267573696145,4,69.0,0,2
-6,2,0.31331065759637244,4,2,0.12045351473922902,4,6.491428571428571,4,67.0,0,1
-6,2,0.31331065759637244,4,2,0.11174603174603175,4,6.672834467120182,4,66.0,0,2
-6,3,0.31766439909296995,4,3,0.07145124716553287,4,6.84843537414966,4,64.0,0,2
-6,3,0.31766439909296995,4,3,0.08775510204081632,4,6.9688888888888885,4,62.0,0,3
-6,4,0.2930158730158734,4,3,0.08702947845804988,4,7.160453514739229,4,61.0,0,2
-6,4,0.2930158730158734,4,3,0.08272108843537415,4,7.285260770975056,4,64.0,0,3
-5,1,0.27834467120181383,4,4,0.1581859410430839,4,7.388299319727891,4,67.0,0,1
-5,1,0.27834467120181383,4,4,0.15963718820861678,4,7.587120181405895,4,71.0,0,4
-5,2,0.307097505668934,4,4,0.060430839002267575,4,7.893219954648526,4,67.0,0,4
-5,3,0.3035374149659873,4,4,0.09693877551020408,4,8.012063492063492,4,69.0,0,2
-5,3,0.3035374149659873,4,4,0.12514739229024943,4,8.216598639455782,4,64.0,0,4
-4,2,0.28730158730158806,4,4,0.04201814058956916,4,8.991927437641724,4,62.0,0,3
-4,2,0.28730158730158806,4,4,0.04777777777777778,4,9.058684807256236,4,61.0,0,4
-4,3,0.29798185941043087,4,6,0.03458049886621315,4,9.190748299319727,4,60.0,0,2
-4,3,0.29798185941043087,4,6,0.04167800453514739,4,9.260408163265305,4,59.0,0,3
-4,3,0.29798185941043087,4,6,0.03430839002267574,4,9.344580498866213,4,57.0,0,5
-4,3,0.29798185941043087,4,6,0.030589569160997733,4,9.410612244897958,4,55.0,0,6
-4,4,0.30358276643990934,4,1,0.06936507936507937,4,9.483174603174604,4,54.0,0,1
-3,2,0.3035374149659855,4,2,0.06569160997732426,4,10.221836734693877,4,62.0,0,2
-3,3,0.3079138321995458,4,6,0.05020408163265306,4,10.319092970521542,4,63.0,0,1
-3,3,0.3079138321995458,4,6,0.04324263038548753,4,10.391655328798185,4,65.0,0,2
-3,3,0.3079138321995458,4,6,0.07183673469387755,4,10.454784580498867,4,67.0,0,3
-3,3,0.3079138321995458,4,6,0.051519274376417235,4,10.551292517006802,4,69.0,0,5
-3,3,0.3079138321995458,4,6,0.03700680272108844,4,10.61297052154195,4,71.0,0,6
-3,4,0.2927664399092986,4,3,0.036281179138321996,4,10.681904761904763,4,76.0,0,1
-3,4,0.2927664399092986,4,3,0.036281179138321996,4,10.757369614512472,4,73.0,0,2
-3,4,0.2927664399092986,4,3,0.04208616780045352,4,10.82702947845805,4,74.0,0,3
-2,1,0.28827664399092967,4,2,0.10115646258503475,4,10.956916099773242,4,79.0,0,1
-2,1,0.28827664399092967,4,2,0.062426303854875284,4,11.058072562358277,4,79.0,0,2
-2,2,0.2973242630385471,4,3,0.12263038548752835,4,11.245714285714286,4,76.0,0,1
-2,2,0.2973242630385471,4,3,0.23800453514739228,4,11.447437641723356,4,69.0,0,3
