bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,2,0.3134693877551018,4,4,0.1653061224489796,4,3.427845804988662,4,64.0,0,2
1,2,0.3134693877551018,4,4,0.04285714285714286,4,3.620408163265306,4,67.0,0,4
1,3,0.3373922902494333,4,3,0.18775510204081633,4,3.7035827664399092,4,69.0,0,1
1,3,0.3373922902494333,4,3,0.26326530612244897,4,3.936734693877551,4,71.0,0,3
2,1,0.3319727891156461,4,3,0.17346938775510204,4,4.3428571428571425,4,64.0,0,1
2,1,0.3319727891156461,4,3,0.07346938775510205,4,4.56734693877551,4,67.0,0,3
2,2,0.3231292517006805,4,3,0.22040816326530613,4,4.658503401360544,4,69.0,0,1
2,2,0.3231292517006805,4,3,0.2693877551020408,4,4.890702947845805,4,70.0,0,3
2,4,0.31251700680272076,4,3,0.1872108843537415,4,5.362358276643991,4,64.0,0,1
2,4,0.31251700680272076,4,3,0.07256235827664399,4,5.5626303854875285,4,67.0,0,3
3,1,0.33287981859410465,4,4,0.20204081632653062,4,5.651020408163265,4,69.0,0,1
3,1,0.33287981859410465,4,4,0.09591836734693877,4,5.904081632653061,4,69.0,0,4
3,2,0.31247165532879784,4,1,0.22653061224489796,4,6.0173469387755105,4,70.0,0,1
3,3,0.3329705215419505,4,2,0.16253968253968254,4,6.2940589569161,4,69.0,0,1
3,3,0.3329705215419505,4,2,0.13265306122448983,4,6.489795918367347,4,67.0,0,2
3,4,0.32303854875283466,4,3,0.2040816326530619,4,6.622448979591836,4,65.0,0,1
3,4,0.32303854875283466,4,3,0.12040816326530612,4,6.826530612244898,4,67.0,0,3
4,1,0.30712018140589503,4,1,0.2653061224489796,4,6.959183673469388,4,65.0,0,1
4,2,0.33823129251700745,4,3,0.23877551020408205,4,7.2326530612244895,4,63.0,0,1
4,2,0.33823129251700745,4,3,0.4204081632653061,4,7.4714285714285715,4,58.0,0,3
4,4,0.33287981859410376,4,4,0.08775510204081632,4,8.061224489795919,4,60.0,0,3
4,4,0.33287981859410376,4,4,0.18571428571428572,4,8.179591836734694,4,62.0,0,4
5,1,0.30362811791383315,4,2,0.3979591836734694,4,8.416326530612245,4,64.0,0,2
5,3,0.3326757369614519,4,1,0.21428571428571427,4,8.863265306122448,4,66.0,0,1
6,3,0.33206349206349195,4,3,0.22857142857142856,4,10.124489795918368,4,69.0,0,1
6,3,0.33206349206349195,4,3,0.11632653061224489,4,10.363265306122448,4,66.0,0,3
6,4,0.3133333333333326,4,2,0.12480725623582767,4,10.499773242630386,4,67.0,0,1
6,4,0.3133333333333326,4,2,0.12770975056689343,4,10.640544217687076,4,69.0,0,2
7,1,0.30689342403628217,4,2,0.1364172335600907,4,10.810340136054421,4,70.0,0,1
7,1,0.30689342403628217,4,2,0.13351473922902493,4,10.96562358276644,4,72.0,0,2
7,2,0.33287981859410287,4,2,0.14077097505668934,4,11.131065759637188,4,73.0,0,1
7,2,0.33287981859410287,4,2,0.17959183673469387,4,11.279591836734694,4,75.0,0,2
7,3,0.31335600907029537,4,2,0.14657596371882087,4,11.469206349206349,4,72.0,0,1
7,3,0.31335600907029537,4,2,0.20204081632653062,4,11.626530612244897,4,70.0,0,2
9,1,0.3220861678004532,4,1,0.17959183673469387,4,13.353061224489796,4,69.0,0,1
9,2,0.3129251700680271,4,1,0.26326530612244897,4,13.628571428571428,4,71.0,0,1
9,3,0.3366893424036288,4,3,0.2367346938775512,4,13.979591836734693,4,72.0,0,1
9,3,0.3366893424036288,4,3,0.17551020408163265,4,14.216326530612244,4,74.0,0,3
9,4,0.3384353741496593,4,2,0.38603174603174606,4,14.5037641723356,4,76.0,0,2
10,1,0.3232653061224493,4,6,0.23061224489795917,4,14.920408163265305,4,79.0,0,6
10,2,0.332108843537414,4,2,0.4078004535147392,4,15.155374149659863,4,78.0,0,2
10,4,0.3026984126984118,4,3,0.21428571428571427,4,15.575510204081633,4,76.0,0,1
10,4,0.3026984126984118,4,3,0.4122448979591837,4,15.793877551020408,4,74.0,0,3
11,3,0.3230612244897948,4,4,0.156734693877551,4,16.510839002267574,4,74.0,0,1
11,3,0.3230612244897948,4,4,0.06326530612244897,4,16.68265306122449,4,75.0,0,3
11,3,0.3230612244897948,4,4,0.07040816326530612,4,16.753061224489795,4,74.0,0,4
11,4,0.3342176870748297,4,1,0.16689342403628118,4,16.837369614512472,4,73.0,0,1
12,2,0.31927437641723344,4,3,0.10204081632653061,4,17.48469387755102,4,73.0,0,1
12,2,0.31927437641723344,4,3,0.4091836734693878,4,17.596938775510203,4,74.0,0,2
12,3,0.30970521541949836,4,4,0.16108843537414966,4,18.04625850340136,4,71.0,0,4
12,4,0.3172335600907026,4,6,0.14077097505668934,4,18.23201814058957,4,67.0,0,3
12,4,0.3172335600907026,4,6,0.14657596371882087,4,18.393106575963717,4,66.0,0,6
13,1,0.28734693877551365,4,2,0.40634920634920635,4,18.581768707482993,4,64.0,0,2
13,3,0.3134467120181412,4,2,0.14512471655328799,4,19.02857142857143,4,66.0,0,1
13,3,0.3134467120181412,4,2,0.14947845804988663,4,19.213061224489795,4,63.0,0,2
13,4,0.30696145124716523,4,2,0.12625850340136055,4,19.387210884353742,4,64.0,0,1
13,4,0.30696145124716523,4,2,0.1469387755102041,4,19.524489795918367,4,66.0,0,2
14,1,0.3133786848072546,4,3,0.11319727891156463,4,19.71954648526077,4,67.0,0,2
14,1,0.3133786848072546,4,3,0.13786848072562358,4,19.835646258503402,4,69.0,0,3
14,2,0.3319727891156461,4,2,0.12653061224489795,4,19.987755102040815,4,66.0,0,1
14,2,0.3319727891156461,4,2,0.10594104308390023,4,20.16362811791383,4,67.0,0,2
14,3,0.29378684807256406,4,3,0.18866213151927438,4,20.272471655328797,4,69.0,0,1
14,3,0.29378684807256406,4,3,0.1458503401360544,4,20.473469387755102,4,70.0,0,3
