bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,1,0.3524036281179139,4,2,0.16834467120181407,4,1.933061224489796,4,71.0,0,2
-1,2,0.3475510204081633,4,6,0.23219954648526078,4,2.1072108843537416,4,74.0,0,1
-1,2,0.3475510204081633,4,6,0.2089795918367347,4,2.449705215419501,4,66.0,0,6
-1,3,0.3430158730158728,4,2,0.14512471655328799,4,2.6586848072562357,4,69.0,0,2
-1,4,0.3561678004535147,4,1,0.35410430839002266,4,2.8328344671201813,4,71.0,0,1
0,1,0.34249433106575955,4,1,0.34249433106575966,4,3.1927437641723357,4,74.0,0,1
0,2,0.3657142857142861,4,2,0.19736961451247165,4,3.541043083900227,4,72.0,0,1
0,2,0.3657142857142861,4,2,0.17414965986394557,4,3.755827664399093,4,70.0,0,2
0,3,0.3715192743764173,4,2,0.18575963718820862,4,3.9299773242630387,4,67.0,0,1
0,3,0.3715192743764173,4,2,0.11609977324263039,4,4.144761904761904,4,65.0,0,2
0,4,0.37151927437641685,4,1,0.301859410430839,4,4.272471655328798,4,63.0,0,1
1,1,0.3635374149659869,4,1,0.5746938775510204,4,4.649795918367347,4,62.0,0,1
3,3,0.3402721088435374,4,2,0.16834467120181407,4,8.115374149659864,4,64.0,0,1
3,3,0.3402721088435374,4,2,0.07546485260770976,4,8.312743764172335,4,62.0,0,2
4,1,0.3623809523809527,4,2,0.14512471655328799,4,8.806167800453515,4,66.0,0,1
4,1,0.3623809523809527,4,2,0.12770975056689343,4,8.997732426303855,4,64.0,0,2
4,2,0.3377777777777773,4,2,0.1219047619047619,4,9.183492063492064,4,63.0,0,1
4,2,0.3377777777777773,4,2,0.13931972789115646,4,9.380861678004536,4,64.0,0,2
4,3,0.3453968253968256,4,2,0.12770975056689343,4,9.531791383219955,4,66.0,0,1
4,3,0.3453968253968256,4,2,0.19156462585034006,4,9.694331065759638,4,67.0,0,2
4,4,0.3644671201814056,4,2,0.11029478458049886,4,9.885895691609978,4,69.0,0,1
4,4,0.3644671201814056,4,2,0.1219047619047619,4,10.071655328798187,4,70.0,0,2
5,1,0.3423582766439903,4,2,0.156734693877551,4,10.210975056689342,4,71.0,0,1
5,1,0.3423582766439903,4,2,0.13931972789115646,4,10.379319727891156,4,74.0,0,2
5,2,0.34968253968254004,4,4,0.1509297052154195,4,10.541859410430838,4,76.0,0,1
5,2,0.34968253968254004,4,4,0.226394557823129,4,10.837913832199547,4,78.0,0,4
5,3,0.3366893424036288,4,2,0.7836734693877551,4,11.064308390022676,4,79.0,0,2
6,1,0.336689342403627,4,4,0.08707482993197278,4,11.859591836734694,4,78.0,0,4
6,2,0.3308843537414976,4,2,0.11029478458049886,4,11.95827664399093,4,79.0,0,1
6,2,0.3308843537414976,4,2,0.10448979591836735,4,12.085986394557823,4,78.0,0,2
6,3,0.3424943310657582,4,2,0.18575963718820862,4,12.207891156462585,4,76.0,0,1
