bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,3,0.31927437641723433,4,2,0.1364172335600907,4,5.337687074829932,4,74.0,0,2
0,4,0.32671201814058914,4,4,0.09868480725623582,4,5.50312925170068,4,79.0,0,1
0,4,0.32671201814058914,4,4,0.11174603174603175,4,5.6540589569161,4,74.0,0,3
0,4,0.32671201814058914,4,4,0.12045351473922902,4,5.806439909297052,4,72.0,0,4
1,1,0.2886167800453512,4,2,0.24235827664399093,4,5.9602721088435375,4,72.0,0,2
1,2,0.30766439909297105,4,4,0.1364172335600907,4,6.222947845804988,4,70.0,0,2
1,2,0.30766439909297105,4,4,1.036190476190476,4,6.404353741496599,4,74.0,0,4
2,2,0.31265306122448955,4,2,0.14077097505668934,4,7.568253968253968,4,70.0,0,2
2,3,0.30378684807256295,4,2,0.16979591836734695,4,7.784489795918367,4,70.0,0,2
2,4,0.2962811791383224,4,3,0.10594104308390023,4,7.980408163265306,4,69.0,0,1
2,4,0.2962811791383224,4,3,0.26267573696145124,4,8.187936507936508,4,70.0,0,3
3,2,0.3135600907029463,4,1,0.15383219954648525,4,8.585578231292518,4,67.0,0,1
3,3,0.29621315192743936,4,4,0.23800453514739228,4,8.897596371882086,4,67.0,0,1
3,3,0.29621315192743936,4,4,0.10594104308390023,4,9.154467120181407,4,65.0,0,4
3,4,0.2850793650793637,4,2,0.446984126984127,4,9.366349206349206,4,67.0,0,2
4,4,0.2941496598639457,4,2,0.17705215419501133,4,10.553469387755102,4,75.0,0,2
5,1,0.2902494331065757,4,1,0.19882086167800453,4,10.776961451247166,4,75.0,0,1
5,2,0.2757369614512477,4,1,0.1509297052154195,4,10.990294784580499,4,77.0,0,1
5,3,0.2901360544217688,4,1,0.8533333333333334,4,11.280544217687074,4,79.0,0,1
6,2,0.2853968253968251,4,2,0.15528344671201813,4,12.157097505668935,4,77.0,0,1
6,2,0.2853968253968251,4,2,0.14657596371882087,4,12.345759637188209,4,75.0,0,2
6,3,0.3036734693877552,4,1,0.21913832199546485,4,12.508299319727891,4,74.0,0,1
6,4,0.28548752834467095,4,4,0.1306122448979592,4,12.798548752834467,4,72.0,0,1
6,4,0.28548752834467095,4,4,0.44117913832199546,4,13.0162358276644,4,74.0,0,4
7,2,0.2852380952380962,4,2,0.1436734693877551,4,13.540136054421769,4,72.0,0,2
7,3,0.3059863945578236,4,1,0.20317460317460317,4,13.718639455782313,4,72.0,0,1
7,4,0.2852607709750554,4,4,0.09142857142857143,4,13.934875283446711,4,70.0,0,1
7,4,0.2852607709750554,4,4,0.44263038548752837,4,14.159818594104308,4,72.0,0,4
8,2,0.3061451247165543,4,2,0.15963718820861678,4,14.735963718820862,4,70.0,0,2
8,3,0.2929931972789106,4,1,0.20752834467120182,4,14.923174603174603,4,70.0,0,1
8,4,0.3135374149659871,4,1,0.14512471655328799,4,15.155374149659863,4,70.0,0,1
9,1,0.2950566893424025,4,1,1.4280272108843537,4,15.454331065759638,4,71.0,0,1
10,2,0.27643990929705353,4,1,0.21768707482993196,4,16.928798185941044,4,70.0,0,1
10,3,0.30292517006802555,4,1,0.21333333333333335,4,17.271292517006803,4,70.0,0,1
10,4,0.3059410430839016,4,4,0.1799546485260771,4,17.531065759637187,4,67.0,0,1
10,4,0.3059410430839016,4,4,0.05514739229024943,4,17.761814058956915,4,65.0,0,4
11,1,0.3134013605442192,4,1,0.39183673469387753,4,17.84308390022676,4,67.0,0,1
11,2,0.29390022675736915,4,2,0.23365079365079366,4,18.326349206349207,4,67.0,0,2
13,1,0.31349206349206327,4,2,0.10594104308390023,4,20.365351473922903,4,67.0,0,2
13,2,0.2962358276644004,4,2,0.15963718820861678,4,20.507573696145126,4,70.0,0,1
13,2,0.2962358276644004,4,2,0.1306122448979592,4,20.684625850340137,4,72.0,0,2
13,3,0.3028798185941035,4,3,0.16036281179138323,4,20.854421768707482,4,72.0,0,1
13,3,0.3028798185941035,4,3,0.10158730158730159,4,21.045986394557822,4,74.0,0,3
13,4,0.2862358276643988,4,2,0.978140589569161,4,21.28253968253968,4,74.0,0,2
14,4,0.2962131519274358,4,2,0.13786848072562358,4,22.321632653061226,4,72.0,0,1
14,4,0.2962131519274358,4,2,0.12263038548752835,4,22.488526077097507,4,72.0,0,2
15,1,0.31258503401360827,4,1,0.16399092970521542,4,22.66702947845805,4,72.0,0,1
15,2,0.3038321995464841,4,4,0.07546485260770976,4,22.86657596371882,4,69.0,0,1
15,2,0.3038321995464841,4,4,0.3577324263038549,4,23.126349206349207,4,69.0,0,4
15,4,0.31365079365079396,4,1,0.08417233560090703,4,23.53560090702948,4,65.0,0,1
16,1,0.3134013605442192,4,1,0.24235827664399093,4,23.828027210884354,4,65.0,0,1
16,2,0.29519274376417215,4,4,0.11174603174603175,4,24.095056689342403,4,65.0,0,1
16,2,0.29519274376417215,4,4,0.09723356009070294,4,24.3287074829932,4,62.0,0,4
17,1,0.3125396825396827,4,2,0.10666666666666667,4,25.219773242630385,4,63.0,0,2
17,2,0.28650793650793815,4,1,0.10376417233560091,4,25.37142857142857,4,65.0,0,1
17,3,0.31349206349206327,4,1,0.38675736961451246,4,25.641360544217687,4,67.0,0,1
17,4,0.28532879818594026,4,2,0.15020408163265306,4,26.07963718820862,4,63.0,0,2
18,1,0.305011337868482,4,1,0.11609977324263039,4,26.281360544217687,4,62.0,0,1
18,4,0.2863945578231295,4,2,0.11632653061224489,4,27.28061224489796,4,60.0,0,2
19,1,0.305011337868482,4,2,0.14795918367346939,4,27.40918367346939,4,58.0,0,1
19,1,0.305011337868482,4,2,0.10306122448979592,4,27.586734693877553,4,60.0,0,2
19,2,0.2915419501133769,4,2,0.12142857142857143,4,27.727551020408164,4,62.0,0,1
19,2,0.2915419501133769,4,2,0.11428571428571428,4,27.894897959183673,4,58.0,0,2
19,3,0.3160317460317472,4,1,0.16834467120181407,4,28.02938775510204,4,55.0,0,1
19,4,0.2951473922902501,4,3,0.14222222222222222,4,28.318185941043083,4,57.0,0,1
19,4,0.2951473922902501,4,3,0.5151927437641723,4,28.52281179138322,4,55.0,0,3
20,2,0.2953061224489808,4,2,0.13931972789115646,4,29.06702947845805,4,57.0,0,2
20,3,0.31362811791383294,4,2,0.12625850340136055,4,29.229569160997734,4,58.0,0,1
20,3,0.31362811791383294,4,2,0.1364172335600907,4,29.38920634920635,4,60.0,0,2
20,4,0.2854421768707489,4,2,0.14081632653061224,4,29.556122448979593,4,62.0,0,1
20,4,0.2854421768707489,4,2,0.09795918367346938,4,29.720408163265308,4,65.0,0,2
21,1,0.3135147392290243,4,2,0.14591836734693878,4,29.83877551020408,4,63.0,0,1
21,1,0.3135147392290243,4,2,0.11326530612244898,4,30.01734693877551,4,65.0,0,2
21,4,0.3072789115646266,4,1,0.10303854875283447,4,30.76498866213152,4,66.0,0,1
22,1,0.3012471655328781,4,2,0.11464852607709751,4,31.18875283446712,4,69.0,0,2
22,2,0.29614512471655274,4,1,0.13931972789115646,4,31.352743764172335,4,72.0,0,1
22,3,0.31362811791383294,4,2,0.36426303854875286,4,31.776507936507937,4,77.0,0,2
23,1,0.29521541950113317,4,1,0.41941043083900226,4,32.2031746031746,4,74.0,0,1
23,3,0.2851700680272131,4,6,0.17414965986394557,4,32.78077097505669,4,79.0,0,1
23,3,0.2851700680272131,4,6,0.21428571428571427,4,33.04897959183673,4,73.0,0,6
23,4,0.2962585034013614,4,2,1.1081632653061224,4,33.265306122448976,4,72.0,0,2
24,4,0.2951020408163245,4,2,0.12346938775510204,4,34.43469387755102,4,70.0,0,2
25,1,0.31351473922902784,4,3,0.15816326530612246,4,34.6,4,72.0,0,1
25,1,0.31351473922902784,4,3,0.3377551020408163,4,34.803061224489795,4,74.0,0,3
25,3,0.30380952380951953,4,6,0.16020408163265307,4,35.21224489795918,4,70.0,0,2
25,3,0.30380952380951953,4,6,0.32142857142857145,4,35.42755102040816,4,72.0,0,6
26,1,0.30598639455782006,4,4,0.15510204081632653,4,35.80612244897959,4,67.0,0,2
26,1,0.30598639455782006,4,4,0.3326530612244898,4,35.98673469387755,4,70.0,0,4
26,3,0.2960317460317441,4,1,0.18571428571428572,4,36.38265306122449,4,72.0,0,1
